question_id,question,choice_A,choice_B,choice_C,choice_D,choice_E,choice_F,choice_G,choice_H,choice_I,choice_J,answer,answer_index,category,src,cot_content,split,instance,generated_options,option_a,option_b,option_c,option_d
4512,Which of the following is an n-type semiconductor?,Silicon,Boron-doped silicon,Pure germanium,Arsenic-doped silicon,Indium Phosphide,Zinc-doped silicon,Pure silicon,Gallium arsenide,Silicon carbide,Diamond,D,3,chemistry,ori_mmlu-college_chemistry,,test,question: Which of the following is an n-type semiconductor?,"A)
question: Which of the following constitutes an n-type semiconductor?

B)
question: Which one of the following is an n-type semiconductor?

C)
question: Which among the following represents an n-type semiconductor?

D)
question: Which of these is an n-type semiconductor?",question: Which of the following constitutes an n-type semiconductor?,question: Which one of the following is an n-type semiconductor?,question: Which among the following represents an n-type semiconductor?,question: Which of these is an n-type semiconductor?
3883,"(a) (z = 11) 1s^2 2s^2 2p^6, (b) (z = 25) 1s^2 2s^2 2p^6 3s^2 3p^6 3d^5, and (c) (z = 29) 1s^2 2s^2 2p^6 3s^2 3p^6 3d^10; provide the proper ionic symbol.","(a) K^+, (b) Fe^+2, (c) Zn^+1","(a) F^-, (b) Cr^+3, (c) Cu^+2","(a) Mg^+, (b) Cr^+2, (c) Ag^+1","(a) Ne^+, (b) Fe^+3, (c) Cu^+1","(a) Be^2+, (b) Mn^+3, (c) Cu^+2","(a) Al^3+, (b) Co^+2, (c) Cu^+1","(a) Na^+, (b) Mn^+2, (c) Cu^+1","(a) Li^+, (b) Co^+2, (c) Ni^+1","(a) Na^+, (b) Mn^+7, (c) Cu^2+","(a) Na^+, (b) Fe^+2, (c) Ag^+1",G,6,chemistry,stemez-Chemistry,,test,"question: (a) (z = 11) 1s^2 2s^2 2p^6, (b) (z = 25) 1s^2 2s^2 2p^6 3s^2 3p^6 3d^5, and (c) (z = 29) 1s^2 2s^2 2p^6 3s^2 3p^6 3d^10; provide the proper ionic symbol.","A)
prompt: (a) (z = 11) 1s^2 2s^2 2p^6, (b) (z = 25) 1s^2 2s^2 2p^6 3s^2 3p^6 3d^5, and (c) (z = 29) 1s^2 2s^2 2p^6 3s^2 3p^6 3d^10; give the correct ionic symbol.

B)
query: (a) (z = 11) 1s^2 2s^2 2p^6, (b) (z = 25) 1s^2 2s^2 2p^6 3s^2 3p^6 3d^5, and (c) (z = 29) 1s^2 2s^2 2p^6 3s^2 3p^6 3d^10; supply the appropriate ionic symbol.

C)
inquiry: (a) (z = 11) 1s^2 2s^2 2p^6, (b) (z = 25) 1s^2 2s^2 2p^6 3s^2 3p^6 3d^5, and (c) (z = 29) 1s^2 2s^2 2p^6 3s^2 3p^6 3d^10; present the suitable ionic symbol.

D)
problem: (a) (z = 11) 1s^2 2s^2 2p^6, (b) (z = 25) 1s^2 2s^2 2p^6 3s^2 3p^6 3d^5, and (c) (z = 29) 1s^2 2s^2 2p^6 3s^2 3p^6 3d^10; state the proper ionic symbol.","prompt: (a) (z = 11) 1s^2 2s^2 2p^6, (","query: (a) (z = 11) 1s^2 2s^2 2p^6, (b) (z = 25) 1s^2 2s^2 2p^6 3s^2 3p^6 3d^5, and (","inquiry: (a) (z = 11) 1s^2 2s^2 2p^6, (b) (z = 25) 1s^2 2s^2 2p^6 3s^2 3p^6 3d^5, and (c) (z = 29) 1s^2 2s^2 2p^6 3s^2 3p^6 3d^10; present the suitable ionic symbol.","problem: (a) (z = 11) 1s^2 2s^2 2p^6, (b) (z = 25) 1s^2 2s^2 2p^6 3s^2 3p^6 3d^5, and (c) (z = 29) 1s^2 2s^2 2p^6 3s^2 3p^6 3d^10; state the proper ionic symbol."
9423,"In a hydraulic press operation, the output piston cannot",function without fluid,exceed the input piston’s speed,produce decreased energy,exceed the pressure input,operate without the input piston,move at the same speed as the input piston,exceed the force input,move farther than the input piston,exceed the input piston's weight,produce increased energy,J,9,physics,ori_mmlu-conceptual_physics,,test,"question: In a hydraulic press operation, the output piston cannot","A)
question: During a hydraulic press operation, the output piston cannot

B)
question: In a hydrostatic press operation, the output piston cannot

C)
question: In a hydraulic ram operation, the output piston cannot

D)
question: Within a hydraulic press procedure, the output piston cannot","question: During a hydraulic press operation, the output piston cannot","question: In a hydrostatic press operation, the output piston cannot","question: In a hydraulic ram operation, the output piston cannot","question: Within a hydraulic press procedure, the output piston cannot"
1838,"A corporation owns a shopping mall that includes a grocery store. The union that bags fruit wants to strike in front of the store, even though it is in the mall. The mall has a Social Security Office and the real estate is owned by the state. The grocery store pays rent to the state. Any type of picketers are prevented from entering the mall to picket inside by the owners of the mall, who also pay rent to the state for the land, and there is no outside entrance of the store at the mall where the picketers could strike. If the picketers go before the court to claim violations of First and Fourteenth Amendment rights, will state action likely be found against the store and the mall owners?","Yes, because the mall and store are infringing on the picketers' right to protest, which is protected by the First Amendment.","No, because the state's only involvement is in the ownership of the land, and it does not influence the day-to-day operations of the mall and store.","Yes, because the equal protection balancing test shows that there is state action in renting the property to private actors who are discriminating.","No, because the mall and store are private entities and have the right to control who can enter their property.","Yes, because First Amendment violations require strict scrutiny, and here the connection between the state and the mall cloaks the mall and store with state action status.","No, because a private actor can never be held liable in a constitutional rights claim that requires state action.","No, under the mantle of authority test there are not enough connections between the state and the private actions of the mall and the store.","Yes, because the mall and store are public spaces, and therefore they must respect the constitutional rights of all individuals.","Yes, because the state owns the land and therefore has direct influence over the actions of the mall and store.","No, because the state has no direct control over the operations of the mall and store, even though it owns the land.",G,6,law,ori_mmlu-professional_law,,test,"question: A corporation owns a shopping mall that includes a grocery store. The union that bags fruit wants to strike in front of the store, even though it is in the mall. The mall has a Social Security Office and the real estate is owned by the state. The grocery store pays rent to the state. Any type of picketers are prevented from entering the mall to picket inside by the owners of the mall, who also pay rent to the state for the land, and there is no outside entrance of the store at the mall where the picketers could strike. If the picketers go before the court to claim violations of First and Fourteenth Amendment rights, will state action likely be found against the store and the mall owners?","A)
question: A company owns a shopping mall that includes a supermarket. The union that bags fruit wants to strike in front of the store, even though it is in the mall. The mall has a Social Security Office and the real estate is owned by the state. The grocery store pays rent to the state. Any type of picketers are prevented from entering the mall to picket inside by the owners of the mall, who also pay rent to the state for the land, and there is no outside entrance of the store at the mall where the picketers could strike. If the picketers go before the court to claim violations of First and Fourteenth Amendment rights, will state action likely be found against the store and the mall owners?

B)
question: A firm owns a shopping mall that includes a grocery outlet. The union that bags fruit wants to strike in front of the store, even though it is in the mall. The mall has a Social Security Office and the real estate is held by the state. The grocery store pays rent to the state. Any type of picketers are prevented from entering the mall to picket inside by the owners of the mall, who also pay rent to the state for the land, and there is no outside entrance of the store at the mall where the picketers could strike. If the picketers go before the court to claim violations of First and Fourteenth Amendment rights, will state action likely be found against the store and the mall owners?

C)
question: A business owns a shopping complex that includes a grocery shop. The union that packs fruit wants to strike in front of the store, even though it is in the mall. The mall has a Social Security Office and the real estate is owned by the state. The grocery shop pays rent to the state. Any type of picketers are prevented from entering the mall to picket inside by the owners of the mall, who also pay rent to the state for the land, and there is no outside entrance of the store at the mall where the picketers could strike. If the picketers go before the court to allege violations of First and Fourteenth Amendment rights, will state action likely be found against the store and the mall owners?

D)
question: A corporation possesses a shopping mall that includes a grocery store. The union that bags fruit intends to strike in front of the store, even though it is in the mall. The mall has a Social Security Office and the real estate is owned by the state. The grocery store pays rent to the state. Any type of picketers are prevented from entering the mall to picket inside by the owners of the mall, who also pay rent to the state for the land, and there is no outside entrance of the store at the mall where the picketers could strike. If the picketers go before the court to claim violations of First and Fourteenth Amendment rights, will state action likely be found against the store and the mall owners?","question: A company owns a shopping mall that includes a supermarket. The union that bags fruit wants to strike in front of the store, even though it is in the mall. The mall has a Social Security Office and the real estate is owned by the state. The grocery store pays rent to the state. Any type of picketers are prevented from entering the mall to picket inside by the owners of the mall, who also pay rent to the state for the land, and there is no outside entrance of the store at the mall where the picketers could strike. If the picketers go before the court to claim violations of First and Fourteenth Amendment rights, will state action likely be found against the store and the mall owners?","question: A firm owns a shopping mall that includes a grocery outlet. The union that bags fruit wants to strike in front of the store, even though it is in the mall. The mall has a Social Security Office and the real estate is held by the state. The grocery store pays rent to the state. Any type of picketers are prevented from entering the mall to picket inside by the owners of the mall, who also pay rent to the state for the land, and there is no outside entrance of the store at the mall where the picketers could strike. If the picketers go before the court to claim violations of First and Fourteenth Amendment rights, will state action likely be found against the store and the mall owners?","question: A business owns a shopping complex that includes a grocery shop. The union that packs fruit wants to strike in front of the store, even though it is in the mall. The mall has a Social Security Office and the real estate is owned by the state. The grocery shop pays rent to the state. Any type of picketers are prevented from entering the mall to picket inside by the owners of the mall, who also pay rent to the state for the land, and there is no outside entrance of the store at the mall where the picketers could strike. If the picketers go before the court to allege violations of First and Fourteenth Amendment rights, will state action likely be found against the store and the mall owners?","question: A corporation possesses a shopping mall that includes a grocery store. The union that bags fruit intends to strike in front of the store, even though it is in the mall. The mall has a Social Security Office and the real estate is owned by the state. The grocery store pays rent to the state. Any type of picketers are prevented from entering the mall to picket inside by the owners of the mall, who also pay rent to the state for the land, and there is no outside entrance of the store at the mall where the picketers could strike. If the picketers go before the court to claim violations of First and Fourteenth Amendment rights, will state action likely be found against the store and the mall owners?"
10862," Use the following key to translate the given formula of PL to natural, English sentences.
A: Marina reads a Percy Jackson book.
B: Izzy plays Minecraft.
C: Emily stops working.
D: Russell makes dinner.
E: Ashleigh stops by.
(A ∨ ~E) ≡ (D • ~B)",Either Marina reading a Percy Jackson book or Ashleigh not stopping by is a necessary condition for both Russell not making dinner and Izzy not playing Minecraft.,Either Marina reads a Percy Jackson book or Ashleigh does not stop by just in case both Russell makes dinner and Izzy doesn't play Minecraft.,Marina reads a Percy Jackson book or Ashleigh doesn't stop by only if Russell doesn't make dinner and Izzy plays Minecraft.,"Marina reads a Percy Jackson book unless Ashleigh stops by if, and only if, both Russell makes dinner and Izzy doesn't play Minecraft.",Marina reads a Percy Jackson book or Ashleigh does not stop by only when Russell is making dinner and Izzy is not playing Minecraft.,Either Marina reads a Percy Jackson book or Ashleigh doesn't stop by whenever Russell makes dinner and Izzy doesn't play Minecraft.,Marina reading a Percy Jackson book or Ashleigh not stopping by is a necessary condition for Russell not making dinner and Izzy playing Minecraft.,Either Marina reading a Percy Jackson book or Ashleigh not stopping by is a necessary and sufficient condition for Russell making dinner and Izzy playing Minecraft.,Either Marina reading a Percy Jackson book or Ashleigh not stopping by is a necessary condition for both Russell making dinner and Izzy not playing Minecraft.,Either Marina reading a Percy Jackson book or Ashleigh not stopping by is a necessary and sufficient condition for Russell not making dinner and Izzy playing Minecraft.,B,1,philosophy,ori_mmlu-formal_logic,,test,"question:  Use the following key to translate the given formula of PL to natural, English sentences.
A: Marina reads a Percy Jackson book.
B: Izzy plays Minecraft.
C: Emily stops working.
D: Russell makes dinner.
E: Ashleigh stops by.
(A ∨ ~E) ≡ (D • ~B)","A)
Either Marina reads a Percy Jackson book or Ashleigh does not stop by, if and only if Russell makes dinner and Izzy does not play Minecraft.

B)
Either Marina is reading a Percy Jackson book or Ashleigh does not drop by, if and only if Russell prepares dinner and Izzy does not play Minecraft.

C)
Either Marina reads a Percy Jackson novel or Ashleigh does not stop by, if and only if Russell makes supper and Izzy does not play Minecraft.

D)
Either Marina reads a Percy Jackson book or Ashleigh does not stop over, if and only if Russell cooks dinner and Izzy does not play Minecraft.","Either Marina reads a Percy Jackson book or Ashleigh does not stop by, if and only if Russell makes dinner and Izzy does not play Minecraft.","Either Marina is reading a Percy Jackson book or Ashleigh does not drop by, if and only if Russell prepares dinner and Izzy does not play Minecraft.","Either Marina reads a Percy Jackson novel or Ashleigh does not stop by, if and only if Russell makes supper and Izzy does not play Minecraft.","Either Marina reads a Percy Jackson book or Ashleigh does not stop over, if and only if Russell cooks dinner and Izzy does not play Minecraft."
2645,___________ has implications for internal validity and ___________ has implications for external validity.,"Random assignment, temporal precedence","Nonspuriousness, temporal precedence","Generalizability, causality","Temporal precedence, nonspuriousness","Temporal precedence, random selection","Nonspuriousness, random assignment","Causality, generalizability","Random selection, causality","Random selection, random assignment","Random assignment, random selection",J,9,psychology,ori_mmlu-professional_psychology,,test,question: ___________ has implications for internal validity and ___________ has implications for external validity.,"A)
question: ___________ has consequences for internal validity and ___________ has consequences for external validity.

B)
question: ___________ has ramifications for internal validity and ___________ has ramifications for external validity.

C)
question: ___________ affects internal validity and ___________ affects external validity.

D)
question: ___________ bears on internal validity and ___________ bears on external validity.",question: ___________ has consequences for internal validity and ___________ has consequences for external validity.,question: ___________ has ramifications for internal validity and ___________ has ramifications for external validity.,question: ___________ affects internal validity and ___________ affects external validity.,question: ___________ bears on internal validity and ___________ bears on external validity.
6141,Fast-twitch fibres contain:,a relatively large number of mitochondria and high ATPase activity.,no mitochondria and high ATPase activity.,a relatively large number of mitochondria and low ATPase activity.,a relatively small number of mitochondria and high ATPase activity.,a moderate number of mitochondria and high ATPase activity.,a moderate number of mitochondria and low ATPase activity.,a relatively large number of mitochondria and no ATPase activity.,a relatively small number of mitochondria and no ATPase activity.,a relatively small number of mitochondria and low ATPase activity.,a relatively small number of mitochondria and moderate ATPase activity.,D,3,health,ori_mmlu-college_medicine,,test,question: Fast-twitch fibres contain:,"A)
question: Rapid-twitch fibres include:

B)
question: Quick-twitch fibres comprise:

C)
question: Fast-contractile fibres hold:

D)
question: Rapid-contractile fibres possess:",question: Rapid-twitch fibres include:,question: Quick-twitch fibres comprise:,question: Fast-contractile fibres hold:,question: Rapid-contractile fibres possess:
1040,"A woman was in a public restroom at a mall. While the woman was at the sink, a man entered the restroom and told her not to make a sound. Frightened, the woman ran to an open window in the bathroom and jumped onto the fire escape. As she exited down the fire escape, the woman accidentally fell, bruising her legs. Which of the following crimes, if any, would the man most likely be convicted of?",Intimidation.,Assault.,Stalking.,Assault with intent to commit rape.,Harassment.,False imprisonment.,Battery.,Kidnapping.,No crime.,Trespassing.,I,8,law,ori_mmlu-professional_law,,test,"question: A woman was in a public restroom at a mall. While the woman was at the sink, a man entered the restroom and told her not to make a sound. Frightened, the woman ran to an open window in the bathroom and jumped onto the fire escape. As she exited down the fire escape, the woman accidentally fell, bruising her legs. Which of the following crimes, if any, would the man most likely be convicted of?","A)
question: A female was in a public lavatory at a mall. While the female was at the sink, a man entered the lavatory and told her not to make a sound. Frightened, the female ran to an open window in the bathroom and jumped onto the fire escape. As she exited down the fire escape, the female accidentally fell, bruising her legs. Which of the following crimes, if any, would the man most likely be convicted of?

B)
question: A lady was in a public washroom at a mall. While the lady was at the sink, a man entered the washroom and told her not to make a sound. Frightened, the lady ran to an open window in the bathroom and jumped onto the fire escape. As she exited down the fire escape, the lady accidentally fell, bruising her legs. Which of the following offenses, if any, would the man most likely be convicted of?

C)
question: A woman was in a public bathroom at a mall. While the woman was at the sink, a man entered the bathroom and told her not to make a sound. Frightened, the woman ran to an open window in the restroom and jumped onto the fire escape. As she exited down the fire escape, the woman accidentally fell, bruising her legs. Which of the following crimes, if any, would the man most likely be convicted of?

D)
question: A woman was in a public toilet at a mall. While the woman was at the sink, a man entered the toilet and told her not to make a sound. Frightened, the woman ran to an open window in the lavatory and jumped onto the fire escape. As she exited down the fire escape, the woman accidentally fell, bruising her legs. Which of the following crimes, if any, would the man most likely be convicted of?","question: A female was in a public lavatory at a mall. While the female was at the sink, a man entered the lavatory and told her not to make a sound. Frightened, the female ran to an open window in the bathroom and jumped onto the fire escape. As she exited down the fire escape, the female accidentally fell, bruising her legs. Which of the following crimes, if any, would the man most likely be convicted of?","question: A lady was in a public washroom at a mall. While the lady was at the sink, a man entered the washroom and told her not to make a sound. Frightened, the lady ran to an open window in the bathroom and jumped onto the fire escape. As she exited down the fire escape, the lady accidentally fell, bruising her legs. Which of the following offenses, if any, would the man most likely be convicted of?","question: A woman was in a public bathroom at a mall. While the woman was at the sink, a man entered the bathroom and told her not to make a sound. Frightened, the woman ran to an open window in the restroom and jumped onto the fire escape. As she exited down the fire escape, the woman accidentally fell, bruising her legs. Which of the following crimes, if any, would the man most likely be convicted of?","question: A woman was in a public toilet at a mall. While the woman was at the sink, a man entered the toilet and told her not to make a sound. Frightened, the woman ran to an open window in the lavatory and jumped onto the fire escape. As she exited down the fire escape, the woman accidentally fell, bruising her legs. Which of the following crimes, if any, would the man most likely be convicted of?"
406,"The workers of ""K. Industry"" are paid a bonus if they produce more than 180 micro circuits in a 40-hour workweek. The premium paid is 50% of the hours saved. They are paid $2.40 an hour. If worker 'A' completes 150 circuits in a week, and worker 'B' completes 198 circuits, how much more than worker 'A' must worker 'B' be paid?",$4.80,$12,$72,$48,$120,$96,$24,$2.40,$60,$100.80,A,0,business,stemez-Business,,test,"question: The workers of ""K. Industry"" are paid a bonus if they produce more than 180 micro circuits in a 40-hour workweek. The premium paid is 50% of the hours saved. They are paid $2.40 an hour. If worker 'A' completes 150 circuits in a week, and worker 'B' completes 198 circuits, how much more than worker 'A' must worker 'B' be paid?","A)
question: The employees of ""K. Industry"" receive a bonus if they produce more than 180 micro circuits in a 40-hour workweek. The premium paid is 50% of the hours saved. They are paid $2.40 an hour. If worker 'A' completes 150 circuits in a week, and worker 'B' completes 198 circuits, how much more than worker 'A' must worker 'B' be paid?

B)
question: The workers of ""K. Industry"" receive a premium if they manufacture more than 180 micro circuits in a 40-hour workweek. The premium paid is 50% of the hours saved. They are paid $2.40 an hour. If worker 'A' completes 150 circuits in a week, and worker 'B' completes 198 circuits, how much more than worker 'A' must worker 'B' be paid?

C)
question: The staff of ""K. Industry"" are given a bonus if they produce over 180 micro circuits in a 40-hour workweek. The premium paid is 50% of the hours saved. They are paid $2.40 an hour. If worker 'A' completes 150 circuits in a week, and worker 'B' completes 198 circuits, how much more than worker 'A' must worker 'B' be paid?

D)
question: The workers of ""K. Industry"" are paid a bonus if they produce more than 180 micro circuits in a 40-hour workweek. The bonus paid is 50% of the hours saved. They are paid $2.40 an hour. If worker 'A' completes 150 circuits in a week, and worker 'B' completes 198 circuits, how much more than worker 'A' must worker 'B' be paid?","question: The employees of ""K. Industry"" receive a bonus if they produce more than 180 micro circuits in a 40-hour workweek. The premium paid is 50% of the hours saved. They are paid $2.40 an hour. If worker 'A' completes 150 circuits in a week, and worker 'B' completes 198 circuits, how much more than worker 'A' must worker 'B' be paid?","question: The workers of ""K. Industry"" receive a premium if they manufacture more than 180 micro circuits in a 40-hour workweek. The premium paid is 50% of the hours saved. They are paid $2.40 an hour. If worker 'A' completes 150 circuits in a week, and worker 'B' completes 198 circuits, how much more than worker 'A' must worker 'B' be paid?","question: The staff of ""K. Industry"" are given a bonus if they produce over 180 micro circuits in a 40-hour workweek. The premium paid is 50% of the hours saved. They are paid $2.40 an hour. If worker 'A' completes 150 circuits in a week, and worker 'B' completes 198 circuits, how much more than worker 'A' must worker 'B' be paid?","question: The workers of ""K. Industry"" are paid a bonus if they produce more than 180 micro circuits in a 40-hour workweek. The bonus paid is 50% of the hours saved. They are paid $2.40 an hour. If worker 'A' completes 150 circuits in a week, and worker 'B' completes 198 circuits, how much more than worker 'A' must worker 'B' be paid?"
826," When there is little or no personal contact between customer and service provider, this is classified as:",Medium-contact service.,Indirect-contact service.,Intense-contact service.,Remote-contact service.,Non-personal service.,Infrequent-contact service.,Low-contact service.,Zero-contact service.,Minimal-contact service.,High-contact service.,G,6,business,ori_mmlu-marketing,,test,"question:  When there is little or no personal contact between customer and service provider, this is classified as:","A)
question:  Whenever there is minimal or no personal interaction between client and service provider, this is categorized as:

B)
question:  When there is scant or no face-to-face contact between customer and supplier, this is designated as:

C)
question:  When there is negligible or no direct contact between patron and service provider, this is classed as:

D)
question:  Whenever there is scant or no interpersonal contact between client and supplier, this is identified as:","question:  Whenever there is minimal or no personal interaction between client and service provider, this is categorized as:","question:  When there is scant or no face-to-face contact between customer and supplier, this is designated as:","question:  When there is negligible or no direct contact between patron and service provider, this is classed as:","question:  Whenever there is scant or no interpersonal contact between client and supplier, this is identified as:"
