question,тақырып,таңдаулар,жауап,sheet,instance,generated_options,option_a,option_b,option_c,option_d
 Табиғи сұрыпталудың тікелей әсер ететін ең кіші бірлігі қайсысы?, орта мектеп_биологиясы,"[""түрдің ген жиілігі"" ""популяцияның ген жиілігі"" ""жеке тұлғаның геномы"" ""жеке тұлғаның фенотипі""]",3,Sheet1,question:  Табиғи сұрыпталудың тікелей әсер ететін ең кіші бірлігі қайсысы?,"A)
question:  Жаратылыстық іріктелудің тура ықпал ететін ең ұсақ элементі қайсысы?

B)
question:  Табиғи іріктелудің тікелей ықпал ететін ең кішкентай бөлігі қайсысы?

C)
question:  Табиғи таңдаудың тура әсері болатын ең ұсақ бірлігі қайсысы?

D)
question:  Жаратылыстық сұрыпталудың тура ықпал ететін ең ұсақ бірлігі қайсысы?",question:  Жаратылыстық іріктелудің тура ықпал ететін ең ұсақ элементі қайсысы?,question:  Табиғи іріктелудің тікелей ықпал ететін ең кішкентай бөлігі қайсысы?,question:  Табиғи таңдаудың тура әсері болатын ең ұсақ бірлігі қайсысы?,question:  Жаратылыстық сұрыпталудың тура ықпал ететін ең ұсақ бірлігі қайсысы?
 Егде жастағы адамдардың оптимизмнің жоғары деңгейін көрсетуінің бір себебі -, адам_қартаюы, ['Көптеген пессимистер жас кезінде қайтыс болады' 'Олар не болып жатқанын шынымен білмейді' 'Бұл деменцияның ескерту белгісі болуы мүмкін' 'Біздің өлшемдеріміздің жарамдылығы төмен'],0,Sheet1,question:  Егде жастағы адамдардың оптимизмнің жоғары деңгейін көрсетуінің бір себебі -,"A)
question:  Қарт адамдардың үмітшілдіктің биік деңгейін білдіруінің бір себебі -

B)
question:  Жасы үлкен адамдардың үміттіліктің жоғары дәрежесін көрсетуінің бір себебі -

C)
question:  Жетілген жастағы адамдардың оптимистік көңіл-күйдің жоғары деңгейін білдіруінің бір себебі -

D)
question:  Қартайған адамдардың оң сезімнің жоғары көрсеткішін көрсетуінің бір себебі -",question:  Қарт адамдардың үмітшілдіктің биік деңгейін білдіруінің бір себебі -,question:  Жасы үлкен адамдардың үміттіліктің жоғары дәрежесін көрсетуінің бір себебі -,question:  Жетілген жастағы адамдардың оптимистік көңіл-күйдің жоғары деңгейін білдіруінің бір себебі -,question:  Қартайған адамдардың оң сезімнің жоғары көрсеткішін көрсетуінің бір себебі -
 II ТИПТІ ҚАТЕЛІК – жалған нөлдік гипотезаны қабылдамау. Дәреже – II типті қателік жасамау ықтималдығы және бірнеше факторларға байланысты. Дәрежеге әсер ететін келесі факторлардың қайсысы дұрыс анықталмаған?, кәсіби_психология," ['Үлгі өлшемі→ қуат үлгі өлшемінің ұлғаюымен төмендейді' 'Альфа→ қуат альфа деңгейі жоғарылаған сайын артады' '1-жақты тесттердің қуаты жоғарырақ' 'популяциялар арасындағы айырмашылықтар артуды білдіреді, қуат артады']",0,Sheet1,question:  II ТИПТІ ҚАТЕЛІК – жалған нөлдік гипотезаны қабылдамау. Дәреже – II типті қателік жасамау ықтималдығы және бірнеше факторларға байланысты. Дәрежеге әсер ететін келесі факторлардың қайсысы дұрыс анықталмаған?,"A)
question:  II ТИПТІ ҚАТЕЛІК – шын емес нөлдік гипотезаны қабылдамау. Дәреже – II типті қате жасамау мүмкіндігі және бірнеше факторларға тәуелді. Дәрежеге әсер ететін келесі факторлардың қайсысы дұрыс белгіленбеген?

B)
question:  II ТИПТІ ҚАТЕ – жалған нөлдік гипотезаны қабылдамау. Дәреже – II типті қателік жасамау ықтималдығы және бірнеше факторларға тәуелді. Дәрежеге әсер ететін төмендегі факторлардың қайсысы дұрыс анықталмаған?

C)
question:  II ТИПТІ ҚАТЕЛІК – жалған нөлдік гипотезаны қабылдамай қалу. Дәреже – II типті қате жасамау мүмкіндігі және бірқатар факторларға байланысты. Дәрежеге әсер ететін келесі факторлардың қайсысы дұрыс анықталмаған?

D)
question:  II ТИПТІ ҚАТЕЛІК – жалған нөлдік гипотезаны қабылдамау. Дәреже – II типті қате жасамау ықтималдығы және бірнеше факторларға тәуелді. Дәрежеге әсер ететін төмендегі факторлардың қайсысы дұрыс белгіленбеген?",question:  II ТИПТІ ҚАТЕЛІК – шын емес нөлдік гипотезаны қабылдамау. Дәреже – II типті қате жасамау мүмкіндігі және бірнеше факторларға тәуелді. Дәрежеге әсер ететін келесі факторлардың қайсысы дұрыс белгіленбеген?,question:  II ТИПТІ ҚАТЕ – жалған нөлдік гипотезаны қабылдамау. Дәреже – II типті қателік жасамау ықтималдығы және бірнеше факторларға тәуелді. Дәрежеге әсер ететін төмендегі факторлардың қайсысы дұрыс анықталмаған?,question:  II ТИПТІ ҚАТЕЛІК – жалған нөлдік гипотезаны қабылдамай қалу. Дәреже – II типті қате жасамау мүмкіндігі және бірқатар факторларға байланысты. Дәрежеге әсер ететін келесі факторлардың қайсысы дұрыс анықталмаған?,question:  II ТИПТІ ҚАТЕЛІК – жалған нөлдік гипотезаны қабылдамау. Дәреже – II типті қате жасамау ықтималдығы және бірнеше факторларға тәуелді. Дәрежеге әсер ететін төмендегі факторлардың қайсысы дұрыс белгіленбеген?
" Сатып алу мінез-құлқына көзқарастардың әртүрлілігін атап өту үшін Сван мен Вестерлунд (2009) ұйымдар қолданатын алты негізгі сатып алу стратегиясын анықтайды. __________ стратегиясы сатып алушының тиімділік бағытын білдіреді, мұндағы негізгі сатып алу мақсаты ұсыныс үшін ең төменгі бағаны іздеу болып табылады. Бұған қол жеткізу үшін сатып алушы бірнеше әлеуетті жеткізушілер арасында бәсекелестікті белсенді түрде ынталандырады.", маркетинг," [""'Келесі' сатып алу."" ""'Адаптер' сатып алу."" ""Бағаны азайтушы сатып алу."" ""'Проектор' сатып алу.""]",2,Sheet1,"question:  Сатып алу мінез-құлқына көзқарастардың әртүрлілігін атап өту үшін Сван мен Вестерлунд (2009) ұйымдар қолданатын алты негізгі сатып алу стратегиясын анықтайды. __________ стратегиясы сатып алушының тиімділік бағытын білдіреді, мұндағы негізгі сатып алу мақсаты ұсыныс үшін ең төменгі бағаны іздеу болып табылады. Бұған қол жеткізу үшін сатып алушы бірнеше әлеуетті жеткізушілер арасында бәсекелестікті белсенді түрде ынталандырады.","A)
question:  Сатып алу мінез-құлқына көзқарастардың әртүрлілігін көрсету үшін Сван мен Вестерлунд (2009) ұйымдар қолданатын алты негізгі сатып алу стратегиясын анықтайды. __________ стратегиясы сатып алушының тиімділік бағытын білдіреді, мұндағы негізгі сатып алу мақсаты ұсынысқа ең төменгі бағаны іздеу болып табылады. Бұған қол жеткізу үшін сатып алушы бірнеше әлеуетті жеткізушілер арасында бәсекелестікті белсенді түрде ынталандырады.

B)
question:  Сатып алу мінез-құлқына көзқарастардың әртүрлілігін айқындау үшін Сван мен Вестерлунд (2009) ұйымдар қолданатын алты негізгі сатып алу стратегиясын анықтайды. __________ стратегиясы сатып алушының тиімділік бағытын білдіреді, мұндағы негізгі сатып алу мақсаты ұсыныс үшін ең төменгі бағаны табу болып табылады. Бұған қол жеткізу үшін сатып алушы бірнеше мүмкін жеткізушілер арасында бәсекелестікті белсенді түрде ынталандырады.

C)
question:  Сатып алу мінез-құлқына көзқарастардың ерекшелігін атап өту үшін Сван мен Вестерлунд (2009) ұйымдар қолданатын алты негізгі сатып алу стратегиясын анықтайды. __________ стратегиясы сатып алушының тиімділік бағытын білдіреді, мұндағы негізгі сатып алу мақсаты ұсыныс үшін ең төмен бағаны іздеу болып табылады. Бұған қол жеткізу үшін сатып алушы бірнеше әлеуетті жабдықтаушылар арасында бәсекелестікті белсенді түрде ынталандырады.

D)
question:  Сатып алу мінез-құлқына көзқарастардың әртүрлілігін назар аудару үшін Сван мен Вестерлунд (2009) ұйымдар қолданатын алты басты сатып алу стратегиясын анықтайды. __________ стратегиясы сатып алушының тиімділік бағытын білдіреді, онда негізгі сатып алу мақсаты ұсынысқа ең төменгі бағаны іздеу болып табылады. Бұған қол жеткізу үшін сатып алушы бірнеше әлеуетті жеткізушілер арасында бәсекелестікті ынталандыруды белсенді түрде жүргізеді.","question:  Сатып алу мінез-құлқына көзқарастардың әртүрлілігін көрсету үшін Сван мен Вестерлунд (2009) ұйымдар қолданатын алты негізгі сатып алу стратегиясын анықтайды. __________ стратегиясы сатып алушының тиімділік бағытын білдіреді, мұндағы негізгі сатып алу мақсаты ұсынысқа ең төменгі бағаны іздеу болып табылады. Бұған қол жеткізу үшін сатып алушы бірнеше әлеуетті жеткізушілер арасында бәсекелестікті белсенді түрде ынталандырады.","question:  Сатып алу мінез-құлқына көзқарастардың әртүрлілігін айқындау үшін Сван мен Вестерлунд (2009) ұйымдар қолданатын алты негізгі сатып алу стратегиясын анықтайды. __________ стратегиясы сатып алушының тиімділік бағытын білдіреді, мұндағы негізгі сатып алу мақсаты ұсыныс үшін ең төменгі бағаны табу болып табылады. Бұған қол жеткізу үшін сатып алушы бірнеше мүмкін жеткізушілер арасында бәсекелестікті белсенді түрде ынталандырады.","question:  Сатып алу мінез-құлқына көзқарастардың ерекшелігін атап өту үшін Сван мен Вестерлунд (2009) ұйымдар қолданатын алты негізгі сатып алу стратегиясын анықтайды. __________ стратегиясы сатып алушының тиімділік бағытын білдіреді, мұндағы негізгі сатып алу мақсаты ұсыныс үшін ең төмен бағаны іздеу болып табылады. Бұған қол жеткізу үшін сатып алушы бірнеше әлеуетті жабдықтаушылар арасында бәсекелестікті белсенді түрде ынталандырады.","question:  Сатып алу мінез-құлқына көзқарастардың әртүрлілігін назар аудару үшін Сван мен Вестерлунд (2009) ұйымдар қолданатын алты басты сатып алу стратегиясын анықтайды. __________ стратегиясы сатып алушының тиімділік бағытын білдіреді, онда негізгі сатып алу мақсаты ұсынысқа ең төменгі бағаны іздеу болып табылады. Бұған қол жеткізу үшін сатып алушы бірнеше әлеуетті жеткізушілер арасында бәсекелестікті ынталандыруды белсенді түрде жүргізеді."
" Төмендегілердің барлығы түраралық көбеюдің алдын алатын оқиғалардың мысалдары болып табылады, ТЕК БАСҚАСЫ", орта мектеп_биологиясы, ['әлеуетті жұптар географиялық оқшаулануды бастан кешіреді' 'әлеуетті жұптар мінез-құлық оқшаулануын бастан кешіреді' 'әлеуетті жұптардың кездесу рәсімдері әртүрлі' 'әлеуетті жұптардың көбею маусымдары ұқсас'],3,Sheet1,"question:  Төмендегілердің барлығы түраралық көбеюдің алдын алатын оқиғалардың мысалдары болып табылады, ТЕК БАСҚАСЫ","A)
question:  Келесілердің барлығы түраралық көбеюдің алдын алатын оқиғалардың мысалдары болып табылады, ТЕК БАСҚАСЫ

B)
question:  Төмендегі мысалдардың бәрі түрлер арасындағы көбеюді болдырмайтын жағдайлардың үлгілері болып табылады, ТЕК БАСҚАСЫ

C)
question:  Келесі берілгендердің барлығы түраралық көбеюді тежейтін процестердің мысалдары болып табылады, ТЕК БАСҚАСЫ

D)
question:  Төмендегілердің барлығы түраралық ұрпақтасудың алдын алатын жағдайлардың мысалдары болып табылады, ТЕК БАСҚАСЫ","question:  Келесілердің барлығы түраралық көбеюдің алдын алатын оқиғалардың мысалдары болып табылады, ТЕК БАСҚАСЫ","question:  Төмендегі мысалдардың бәрі түрлер арасындағы көбеюді болдырмайтын жағдайлардың үлгілері болып табылады, ТЕК БАСҚАСЫ","question:  Келесі берілгендердің барлығы түраралық көбеюді тежейтін процестердің мысалдары болып табылады, ТЕК БАСҚАСЫ","question:  Төмендегілердің барлығы түраралық ұрпақтасудың алдын алатын жағдайлардың мысалдары болып табылады, ТЕК БАСҚАСЫ"
 Шың ағын өлшегіштерінің рекорды:, клиникалық_білім, ['ашық ауыз арқылы өкпеден ауаның ең төменгі жылдамдығы.' 'мәжбүрлі тыныс шығару көлемі.' 'мәжбүрлі тіршілік сыйымдылығы.' 'ашық ауыз арқылы өкпеден ауаның ең жоғары жылдамдығы.'],3,Sheet1,question:  Шың ағын өлшегіштерінің рекорды:,"A)
question:  Үздік ағым өлшеуіштерінің жазбасы:

B)
question:  Төбе ағын өлшеуіштерінің рекорды:

C)
question:  Шың ағым өлшегіштерінің жазбасы:

D)
question:  Шың ағын өлшеуіштерінің жазбасы:",question:  Үздік ағым өлшеуіштерінің жазбасы:,question:  Төбе ағын өлшеуіштерінің рекорды:,question:  Шың ағым өлшегіштерінің жазбасы:,question:  Шың ағын өлшеуіштерінің жазбасы:
 Федералдық резерв жүйесі рецессияға қарсы тұру үшін келесі саясаттардың қайсысын қолдануы мүмкін?, орта мектеп_макроэкономикасы, ['Салықтардың төмендеуі' 'Мемлекеттік шығындардың өсуі' 'Дисконт мөлшерлемесінің өсуі' 'Облигацияларды сатып алу'],3,Sheet1,question:  Федералдық резерв жүйесі рецессияға қарсы тұру үшін келесі саясаттардың қайсысын қолдануы мүмкін?,"A)
question:  Федералдық резерв жүйесі дағдарысқа қарсы тұру үшін келесі саясаттардың қайсысын қолдануы мүмкін?

B)
question:  Федералдық резерв жүйесі рецессияға қарсы тұру үшін келесі саясаттардың қайсысын қолдануы ықтимал?

C)
question:  Федералдық резерв жүйесі рецессияға қарсы тұру үшін төмендегі саясаттардың қайсысын қолдануы мүмкін?

D)
question:  Федералдық резерв жүйесі рецессияға қарсы әрекет ету үшін келесі саясаттардың қайсысын қолдануы мүмкін?",question:  Федералдық резерв жүйесі дағдарысқа қарсы тұру үшін келесі саясаттардың қайсысын қолдануы мүмкін?,question:  Федералдық резерв жүйесі рецессияға қарсы тұру үшін келесі саясаттардың қайсысын қолдануы ықтимал?,question:  Федералдық резерв жүйесі рецессияға қарсы тұру үшін төмендегі саясаттардың қайсысын қолдануы мүмкін?,question:  Федералдық резерв жүйесі рецессияға қарсы әрекет ету үшін келесі саясаттардың қайсысын қолдануы мүмкін?
" Мемлекеттік шығындардың өзгеруі нақты өнімге қысқа мерзімді әсер етеді, егер:", орта мектеп_макроэкономикасы, ['тұтынуға шекті бейімділік төмен.' 'ақша айналымының жылдамдығы төмен.' 'ақша айналымының жылдамдығы жоғары.' 'тұтынуға шекті бейімділік жоғары.'],3,Sheet1,"question:  Мемлекеттік шығындардың өзгеруі нақты өнімге қысқа мерзімді әсер етеді, егер:","A)
question:  Үкіметтік шығыстардың өзгерісі нақты өнімге қысқа мерзімді әсер етеді, егер:

B)
question:  Мемлекеттің шығындарының өзгеруі нақты өнімге қысқа мерзімді әсер етеді, егер:

C)
question:  Мемлекеттік шығындардың өзгерісі нақты өнімге уақытша әсер етеді, егер:

D)
question:  Үкіметтің шығындарының өзгерісі нақты өнімге қысқа мерзімді ықпал етеді, егер:","question:  Үкіметтік шығыстардың өзгерісі нақты өнімге қысқа мерзімді әсер етеді, егер:","question:  Мемлекеттің шығындарының өзгеруі нақты өнімге қысқа мерзімді әсер етеді, егер:","question:  Мемлекеттік шығындардың өзгерісі нақты өнімге уақытша әсер етеді, егер:","question:  Үкіметтің шығындарының өзгерісі нақты өнімге қысқа мерзімді ықпал етеді, егер:"
 Тегіс беттен шағылысқан жарық өзгеріске ұшырайды, тұжырымдамалық_физика, ['жиілік.' 'толқын ұзындығы.' 'Мұлардың барлығы.' 'Ешқайсысы емес.'],3,Sheet1,question:  Тегіс беттен шағылысқан жарық өзгеріске ұшырайды,"A)
question:  Жазық беттен шағылысқан сәуле өзгеріске ұшырайды

B)
question:  Біркелкі беттен шағылған сәуле өзгереді

C)
question:  Жатық беттен қайтарылған жарық өзгеріске түседі

D)
question:  Тегіс беттен шағылып келген сәуле өзгеріске ұшырайды",question:  Жазық беттен шағылысқан сәуле өзгеріске ұшырайды,question:  Біркелкі беттен шағылған сәуле өзгереді,question:  Жатық беттен қайтарылған жарық өзгеріске түседі,question:  Тегіс беттен шағылып келген сәуле өзгеріске ұшырайды
Хлор газы ең оңай әрекеттеседі, орта мектеп химиясы, ['толуол' 'этилен' 'этан қышқылы' 'этан']],1,Sheet1,question: Хлор газы ең оңай әрекеттеседі,"A)
question: Хлор буы ең оңай әрекеттеседі

B)
question: Хлор газы ең жеңіл әрекеттеседі

C)
question: Хлор газы ең оңай реакцияға түседі

D)
question: Cl2 газы ең оңай әрекеттеседі",question: Хлор буы ең оңай әрекеттеседі,question: Хлор газы ең жеңіл әрекеттеседі,question: Хлор газы ең оңай реакцияға түседі,question: Cl2 газы ең оңай әрекеттеседі
