subject,question,choice_A,choice_B,choice_C,choice_D,answer,answer_letter,split
global_facts,"As of 2017, how many people in the world have some access to electricity?",60%,70%,80%,90%,2,C,test
professional_law,"A state's constitution reserves to the people of each municipality in the state the power of referendum with respect to all questions that the municipality is authorized to control by legislation. A real estate developer applied for a zoning change to permit construction of a water park on land he owned in a city within the state. While the application was pending, the city's charter was amended by popular vote so as to require that any changes in land use agreed to by the city council be approved by a 55% vote in a referendum. The city planning commission and the city council both approved the proposed zoning change. However, the commission rejected the developer's subsequent application for ""recreational area"" approval for the proposed water park on the grounds that the council's rezoning action had not been submitted to a referendum. Assume that while the action was pending in the state court, the proposed zoning change was defeated in a referendum. Which would be the most applicable rule of constitutional law with respect to the referendum procedure when applied to a rezoning ordinance?",The referendum procedure as a basic instrument of the democratic process does not violate the due process clause of the Fourteenth Amendment.,The referendum procedure is arbitrary and capricious and thus should be held invalid as an unlawful delegation of legislative power.,The referendum procedure is violative of the due process clause of the FourteenthAmendment.,The referendum procedure in this context is invalid as against publicpolicy.,0,A,test
professional_law,"A manufacturer of widgets sent a letter to an international widget retailer offering to sell ten truckloads of construction-quality widgets for $1,000 per truck. The retailer emailed a note back saying ""Please send 10 truckloads as promised."" No shipment was sent, but four months later when the market demand for widgets skyrocketed, the retailer sued the manufacturer for breach claiming that the retailer suffered damages by not having received the shipment of ten trucks as agreed. Does the retailer have a legal right to collect damages under these facts?","Yes, there is a specific and detailed enough offer, followed by an unequivocal acceptance, indicating an intent to form a contract.","No, the parties do not set a date for delivery, which always invalidates a contract between merchants for the delivery of goods.","No, the retailer never called back and asked for the widgets, which means that the contract was not finally confirmed and legalized.","Yes, the retailer is entitled to collect damages because the manufacturer violated the doctrine of avoidable consequences.",0,A,test
college_medicine,Karen is a college student working on developing a stronger sense of self-esteem and self-efficacy with her therapist. She has noticed a great change in her ability to handle situations after 3 months of therapy. Which of the following would NOT be a strategy that her therapist would ask her to employ to raise her sense of self-efficacy?,Seek positive feedback from friends.,Put in daily practice on the tasks she wishes to improve on.,Find others her age and ability who excel at tasks she is interested in.,Avoid potential pitfalls by withholding from tasks she is not proficient in.,3,D,test
human_aging,Research has offered some longitudinal as well as cross sectional support for the theory put forth by,Peck,Foos,Levenson,Erikson,3,D,test
high_school_macroeconomics,The domestic purchasing power of a currency,varies directly with the cost of living,is inversely related to the savings rate,is inversely related to the price level,varies directly with economic growth,2,C,test
professional_law,"A woman and a defendant entered into an arrangement where the woman promised to pay the defendant $10,000 to act as a surrogate mother. In return, the defendant agreed to be implanted with the woman's embryo and carry the baby to term. The woman paid the defendant the $10,000 upfront. During the seventh month of the pregnancy, the defendant changed her mind and decided to keep the child herself. The defendant moved out of state and gave birth to the baby, which she refuses to turn over to the woman. The defendant is guilty of",no crime.,embezzlement.,kidnapping.,false pretenses.,0,A,validation
college_biology,Which of the following statements is true of air as compared to water?,Air provides more physical support.,Air has a higher O2 concentration.,Air offers more resistance to motion.,Air has more thermal inertia.,1,B,test
astronomy,What dangers are currently faced by each Mars Exploration Rover?,Opportunity may not be able to drive out of Victoria Crater due to its broken sixth wheel; Spirit's instruments are being corroded by the acidic hot spring environment it is exploring.,Opportunity may not be able to move its arm again; Spirit may not be able to drive out of Victoria Crater due to its broken sixth wheel.,Opportunity may not be able to drive out of Victoria Crater due to its broken sixth wheel; Spirit may not get enough solar power during the winter months immediately ahead.,Opportunity may not be able to move its arm again; Spirit may not get enough solar power during the winter months immediately ahead.,3,D,validation
computer_security,Exploitation of the Heartbleed bug permits,overwriting cryptographic keys in memory,a kind of code injection,a read outside bounds of a buffer,a format string attack,2,C,dev
