question,предмет,выбор,отвечать,sheet
 Теплопроводность включает в себя главным образом, концептуальная_физика, ['электроны' 'протоны' 'нейтроны' 'ионы'],0,Sheet1
"Полиция заподозрила женщину в торговле крадеными кредитными картами. Сотрудник полиции под прикрытием постучал в дверь женщины и сказал ей, что готов заплатить за исправные кредитные карты. Когда женщина спросила, полицейский ли он, офицер ответил: «Нет», назвав ей ложное имя и сказав: «Можете позвонить Харви — он поручится за меня». Женщина впустила его в свой дом. После того как она вышла из комнаты, чтобы позвонить Харви, офицер поднял с стола какие-то бумаги и обнаружил под ними три кредитные карты на разные имена. Он изъял карты, а когда женщина вернулась, арестовал её. Женщина подала ходатайство об исключении изъятых доказательств на том основании, что были нарушены её права, гарантированные Четвёртой поправкой к Конституции США. Должен ли суд удовлетворить ходатайство об исключении доказательств?", профессиональное_право,"['Нет, потому что сразу стало очевидно, что карты были украдены.' 'Нет, потому что женщина приняла на себя риск того, что офицер изъят вещи на виду у всех.' 'Да, потому что права женщины были нарушены, когда офицер забрал бумаги.' 'Да, потому что права женщины были нарушены, когда офицер проник внутрь обманным путем.']",2,Sheet1
" 68-летний мужчина находится в больнице, поскольку ему требуется искусственная вентиляция легких из-за обострения хронической обструктивной болезни легких. На второй день после госпитализации у него развился правосторонний пневмоторакс, потребовавший дренирования плевральной полости. В течение следующих 24 часов отмечалась утечка воздуха, которая сейчас прекратилась. Однако пациент стал беспокойным и агрессивным. Дыхательные шумы в правой половине грудной клетки ослаблены, и у пациента появилась тахикардия. Артериальное давление составляет 130/80 мм рт. ст. После назначения срочной портативной рентгенографии грудной клетки, какой из следующих шагов является наиболее целесообразным?", профессиональная_медицина,['Назначить бета-блокаторы' 'Назначить алпразолам' 'Отключить пациента от аппарата ИВЛ и проводить вентиляцию легких с помощью мешка Амбу' 'Изменить положение дренажной трубки в грудной клетке'],3,Sheet1
Что из перечисленного НЕ является частью внутренней структуры женской груди?, человеческая_сексуальность, ['Моль молочной железы' 'Млечный проток' 'Млечный синус' 'Мышца Дартоса'],3,Sheet1
" Это деятельность в сфере маркетинговых коммуникаций, направленная на оказание поддержки сотрудникам отдела продаж и мерчандайзинга:", маркетинг, ['Магазинный маркетинг.' 'Полевой маркетинг.' 'Стимулирование продаж.' 'Личные продажи.'],1,Sheet1
" Согласно де Марнеффу, какая из следующих причин может послужить основанием для того, чтобы назвать кого-либо наркоманом?", моральные_споры,"['Они употребляют наркотики, чтобы утолить тягу.' 'Они употребляют наркотики, даже если им явно не следует этого делать.' 'Хотя они считают, что должны употреблять наркотики, когда решают это сделать, в другое время они считают, что больше не должны их употреблять.' 'все вышеперечисленное']",3,Sheet1
" Стоимость кошачьего корма составляет 0,47 доллара за фунт. Сколько стоит мешок весом 6 фунтов?", элементарная_математика, ['$2.82 ' '$2.97 ' '$6.47 ' '$12.77 '],0,Sheet1
 Каким образом вирусы семейства папиллом вызывают рак?, вирусология," ['Реплицируется в делящихся клетках и кодирует три онкогенных белка: E5, E6 и E7' 'Интегрирует вирусный геном в клеточную ДНК' 'Имеет онкоген, способный инициировать рак' 'Действует как кофактор для клеточного онкогена']",1,Sheet1
 Какое из следующих утверждений о метаболической потребности в аминокислотах является правильным?, питание," «Потребность в метаболизме удовлетворяется только за счет пищи», «Потребность в метаболизме заключается в поддержании белкового обмена», «Потребление аминокислот включает в себя их потребление в результате ряда необратимых процессов, которые могут быть как обязательными, так и адаптивными», «Потребность в метаболизме представляет собой фиксированное количество».",2,Sheet1
" Поле имеет форму трапеции. Длина короткого основания трапеции составляет 130 ярдов, а длинного — 390 ярдов. Расстояние между основаниями равно 75 ярдам. Какова площадь поля?", элементарная_математика," ['9,750 ярдов^2' '19,500 ярдов^2' '29,250 ярдов^2' '39,000 ярдов^2']",1,Sheet1
" В каком из этих двух сценариев главный герой (использующий местоимения «я/мне/мой») совершает явно аморальный поступок, согласно общепринятым моральным нормам в США по состоянию на 2020 год? Сценарий 1 | Поскольку моя подруга боится пауков, я убиваю их для неё. Сценарий 2 | Я купил пачку сигарет для своего мужа.", моральные_сценарии," ['Неправильно, неправильно' 'Неправильно, не неправильно' 'Не неправильно, неправильно' 'Не неправильно, не неправильно']",3,Sheet1
 Гоббс определяет несправедливость как:, философия, [«Присвоение большей доли блага». «Неисполнение своего завета». «Обращение с другим человеком как с простым средством». «Нарушение закона природы».],1,Sheet1
