question,предмет,выбор,отвечать,sheet
" С точки зрения поведенческой психологии, фобические реакции на безобидные объекты или события возникают, когда эти объекты или события начинают ассоциироваться со стимулом, который естественным образом вызывает реакцию страха. Другими словами, фобические реакции обусловлены:", профессиональная_психология, ['Отрицательное подкрепление'.' 'Отрицательное наказание'.' 'Обобщение стимулов'.' 'Классическое обусловливание'.],3,Sheet1
 В период своего расцвета лишь около _______ инкской империи состояло из этнических инков., доисторический период, ['1 процент' '10 процентов' '30 процентов' '50 процентов'],0,Sheet1
 Синдром ДиДжорджа/Шпринтцена вызван делецией в какой хромосоме?, медицинская генетика, ['4' '7' '15' '22'],3,Sheet1
 Какое из следующих утверждений лучше всего описывает практику «разделения билетов»?, школьное_правительство_и_политика," ['Кандидат в президенты выбирает себе напарника, который сможет заручиться поддержкой групп избирателей, чья поддержка кандидата слаба.' 'Избиратель выбирает кандидата в президенты от одной крупной партии, но выбирает кандидатов в Конгресс от другой крупной партии.' 'Мэр приказывает местной полиции выписывать меньше штрафов за нарушение правил парковки в течение нескольких недель, предшествующих всеобщим выборам.' 'Делегат на национальном партийном съезде поддерживает лидера гонки, но не определился с партийной платформой.']",1,Sheet1
" Каковы основные причины, по которым организации привлекают сторонних консультантов по связям с общественностью?", связи с общественностью,"«Они обеспечивают гибкость в использовании талантов и навыков. Они повышают авторитет работы. Они обеспечат ощутимую окупаемость инвестиций в проект или программу. Они могут уделять проекту больше внимания и внимания к деталям, чем штатные сотрудники».",0,Sheet1
 Что из перечисленного верно для типичного спада делового цикла?, макроэкономика для старшей школы,"['Потребление падает, но богатство домохозяйств растет.' 'Потребление увеличивается.' 'Частные инвестиции растут.' 'Занятость и инфляция низкие.']",3,Sheet1
" Утверждение 1 | После отображения в пространство признаков Q с помощью радиальной базисной функции ядра, 1-NN с использованием невзвешенного евклидова расстояния может обеспечить лучшую производительность классификации, чем в исходном пространстве (хотя мы не можем этого гарантировать). Утверждение 2 | Размерность VC персептрона меньше, чем размерность VC простого линейного SVM.", машинное обучение,"['Истина, Истина' 'Ложь, Ложь' 'Истина, Ложь' 'Ложь, Истина']",1,Sheet1
"Этот вопрос относится к следующей информации. «Далеко простирающееся, безграничное будущее станет эпохой величия Америки. В своем великолепном пространстве и времени нация многих наций призвана явить человечеству превосходство божественных принципов; воздвигнуть на земле самый благородный храм, когда-либо посвященный поклонению Всевышнему — Священному и Истинному. Его полом будет полусфера, его крышей — небесная твердь, усеянная звездами, а его собранием — Союз многих республик, включающий сотни счастливых миллионов, призывающих, не признающих никого своим господином, но управляемых естественным и моральным законом равенства Бога, законом братства — законом «мира и доброй воли между людьми».» Джон Л. О’Салливан, «Великая нация будущего», 1839. Какое из следующих изменений в миграции на запад, скорее всего, произошло в 1840-х годах?", история США в старшей школе,"«Число пионеров, направлявшихся на территорию Орегона, уменьшилось, в то время как число тех, кто направлялся в Калифорнию, значительно увеличилось». «Первая крупная волна миграции закончилась, и число мигрантов оставалось крайне низким до окончания Гражданской войны». «Впервые пионеры начали селиться в районах к западу от реки Миссисипи». «Большое количество свободных чернокожих, нежелательных на Востоке, начали переселяться на Запад».",0,Sheet1
 В настоящее время в отношении местного бизнесмена проводится заседание большого жюри. Что не соответствует действительности в отношении заседаний большого жюри?, профессиональное_право, ['Судебное разбирательство проводится в тайне.' 'Право на адвоката отсутствует.' 'Право на заслушивание предупреждений Миранды имеется.' 'Право на исключение доказательств отсутствует.'],2,Sheet1
Какое из следующих утверждений является основным отличием между системой «точно в срок» (JIT) и традиционным подходом к производству?, профессиональный_бухгалтерский_учет," «Подход JIT обычно предполагает большое количество поставщиков, в то время как традиционные подходы, как правило, предполагают лишь небольшое количество поставщиков». «Подход JIT требует централизованных закупок, в то время как традиционные подходы поощряют принятие решений о закупках производственными сотрудниками». «Подход JIT использует систему ""проталкивания"", в то время как традиционные подходы используют систему ""вытягивания""». «Подход JIT работает с низким уровнем запасов, в то время как традиционные подходы могут работать с высоким уровнем запасов».",3,Sheet1
