question_id,question,choice_A,choice_B,choice_C,choice_D,choice_E,choice_F,choice_G,choice_H,choice_I,choice_J,answer,answer_index,category,src,cot_content,split
4512,Which of the following is an n-type semiconductor?,Silicon,Boron-doped silicon,Pure germanium,Arsenic-doped silicon,Indium Phosphide,Zinc-doped silicon,Pure silicon,Gallium arsenide,Silicon carbide,Diamond,D,3,chemistry,ori_mmlu-college_chemistry,,test
3883,"(a) (z = 11) 1s^2 2s^2 2p^6, (b) (z = 25) 1s^2 2s^2 2p^6 3s^2 3p^6 3d^5, and (c) (z = 29) 1s^2 2s^2 2p^6 3s^2 3p^6 3d^10; provide the proper ionic symbol.","(a) K^+, (b) Fe^+2, (c) Zn^+1","(a) F^-, (b) Cr^+3, (c) Cu^+2","(a) Mg^+, (b) Cr^+2, (c) Ag^+1","(a) Ne^+, (b) Fe^+3, (c) Cu^+1","(a) Be^2+, (b) Mn^+3, (c) Cu^+2","(a) Al^3+, (b) Co^+2, (c) Cu^+1","(a) Na^+, (b) Mn^+2, (c) Cu^+1","(a) Li^+, (b) Co^+2, (c) Ni^+1","(a) Na^+, (b) Mn^+7, (c) Cu^2+","(a) Na^+, (b) Fe^+2, (c) Ag^+1",G,6,chemistry,stemez-Chemistry,,test
9423,"In a hydraulic press operation, the output piston cannot",function without fluid,exceed the input piston’s speed,produce decreased energy,exceed the pressure input,operate without the input piston,move at the same speed as the input piston,exceed the force input,move farther than the input piston,exceed the input piston's weight,produce increased energy,J,9,physics,ori_mmlu-conceptual_physics,,test
1838,"A corporation owns a shopping mall that includes a grocery store. The union that bags fruit wants to strike in front of the store, even though it is in the mall. The mall has a Social Security Office and the real estate is owned by the state. The grocery store pays rent to the state. Any type of picketers are prevented from entering the mall to picket inside by the owners of the mall, who also pay rent to the state for the land, and there is no outside entrance of the store at the mall where the picketers could strike. If the picketers go before the court to claim violations of First and Fourteenth Amendment rights, will state action likely be found against the store and the mall owners?","Yes, because the mall and store are infringing on the picketers' right to protest, which is protected by the First Amendment.","No, because the state's only involvement is in the ownership of the land, and it does not influence the day-to-day operations of the mall and store.","Yes, because the equal protection balancing test shows that there is state action in renting the property to private actors who are discriminating.","No, because the mall and store are private entities and have the right to control who can enter their property.","Yes, because First Amendment violations require strict scrutiny, and here the connection between the state and the mall cloaks the mall and store with state action status.","No, because a private actor can never be held liable in a constitutional rights claim that requires state action.","No, under the mantle of authority test there are not enough connections between the state and the private actions of the mall and the store.","Yes, because the mall and store are public spaces, and therefore they must respect the constitutional rights of all individuals.","Yes, because the state owns the land and therefore has direct influence over the actions of the mall and store.","No, because the state has no direct control over the operations of the mall and store, even though it owns the land.",G,6,law,ori_mmlu-professional_law,,test
10862," Use the following key to translate the given formula of PL to natural, English sentences.
A: Marina reads a Percy Jackson book.
B: Izzy plays Minecraft.
C: Emily stops working.
D: Russell makes dinner.
E: Ashleigh stops by.
(A ∨ ~E) ≡ (D • ~B)",Either Marina reading a Percy Jackson book or Ashleigh not stopping by is a necessary condition for both Russell not making dinner and Izzy not playing Minecraft.,Either Marina reads a Percy Jackson book or Ashleigh does not stop by just in case both Russell makes dinner and Izzy doesn't play Minecraft.,Marina reads a Percy Jackson book or Ashleigh doesn't stop by only if Russell doesn't make dinner and Izzy plays Minecraft.,"Marina reads a Percy Jackson book unless Ashleigh stops by if, and only if, both Russell makes dinner and Izzy doesn't play Minecraft.",Marina reads a Percy Jackson book or Ashleigh does not stop by only when Russell is making dinner and Izzy is not playing Minecraft.,Either Marina reads a Percy Jackson book or Ashleigh doesn't stop by whenever Russell makes dinner and Izzy doesn't play Minecraft.,Marina reading a Percy Jackson book or Ashleigh not stopping by is a necessary condition for Russell not making dinner and Izzy playing Minecraft.,Either Marina reading a Percy Jackson book or Ashleigh not stopping by is a necessary and sufficient condition for Russell making dinner and Izzy playing Minecraft.,Either Marina reading a Percy Jackson book or Ashleigh not stopping by is a necessary condition for both Russell making dinner and Izzy not playing Minecraft.,Either Marina reading a Percy Jackson book or Ashleigh not stopping by is a necessary and sufficient condition for Russell not making dinner and Izzy playing Minecraft.,B,1,philosophy,ori_mmlu-formal_logic,,test
2645,___________ has implications for internal validity and ___________ has implications for external validity.,"Random assignment, temporal precedence","Nonspuriousness, temporal precedence","Generalizability, causality","Temporal precedence, nonspuriousness","Temporal precedence, random selection","Nonspuriousness, random assignment","Causality, generalizability","Random selection, causality","Random selection, random assignment","Random assignment, random selection",J,9,psychology,ori_mmlu-professional_psychology,,test
6141,Fast-twitch fibres contain:,a relatively large number of mitochondria and high ATPase activity.,no mitochondria and high ATPase activity.,a relatively large number of mitochondria and low ATPase activity.,a relatively small number of mitochondria and high ATPase activity.,a moderate number of mitochondria and high ATPase activity.,a moderate number of mitochondria and low ATPase activity.,a relatively large number of mitochondria and no ATPase activity.,a relatively small number of mitochondria and no ATPase activity.,a relatively small number of mitochondria and low ATPase activity.,a relatively small number of mitochondria and moderate ATPase activity.,D,3,health,ori_mmlu-college_medicine,,test
1040,"A woman was in a public restroom at a mall. While the woman was at the sink, a man entered the restroom and told her not to make a sound. Frightened, the woman ran to an open window in the bathroom and jumped onto the fire escape. As she exited down the fire escape, the woman accidentally fell, bruising her legs. Which of the following crimes, if any, would the man most likely be convicted of?",Intimidation.,Assault.,Stalking.,Assault with intent to commit rape.,Harassment.,False imprisonment.,Battery.,Kidnapping.,No crime.,Trespassing.,I,8,law,ori_mmlu-professional_law,,test
406,"The workers of ""K. Industry"" are paid a bonus if they produce more than 180 micro circuits in a 40-hour workweek. The premium paid is 50% of the hours saved. They are paid $2.40 an hour. If worker 'A' completes 150 circuits in a week, and worker 'B' completes 198 circuits, how much more than worker 'A' must worker 'B' be paid?",$4.80,$12,$72,$48,$120,$96,$24,$2.40,$60,$100.80,A,0,business,stemez-Business,,test
826," When there is little or no personal contact between customer and service provider, this is classified as:",Medium-contact service.,Indirect-contact service.,Intense-contact service.,Remote-contact service.,Non-personal service.,Infrequent-contact service.,Low-contact service.,Zero-contact service.,Minimal-contact service.,High-contact service.,G,6,business,ori_mmlu-marketing,,test
6128,"The body mass index (BMI) of vegetarians differs on average from meat-eaters by how much?
",1 unit of BMI,2.5 units of BMI,0.75 units of BMI,3 units of BMI,0.5 units of BMI,5 units of BMI,4 units of BMI,0.25 units of BMI,1.5 units of BMI,2 units of BMI,A,0,health,ori_mmlu-nutrition,,test
6915,"Suppose that we are interested in testing the null hypothesis that a GARCH(2,2) model can be restricted to a process with a constant conditional variance using the likelihood ratio test approach. Which of the following statements are true?",The test statistic will follow a chi-squared distribution with 2 degrees of freedom under the null hypothesis,The value of the log-likelihood function will almost always be bigger for the restricted model than for the unrestricted model,"If the relevant values of the log-likelihood functions are -112.3 and -118.4, the value of the test statistic is 12.2",The likelihood ratio test compares the slopes of the log-likelihood function at the maximum and at the restricted parameter value.,,,,,,,C,2,economics,ori_mmlu-econometrics,,test
2749,What does research suggest is the major result of breastfeeding an infant?,Stronger infant immunity solely based on the duration of breastfeeding,specific method used in feeding,the attitude the parents have towards the child during feeding time,Predictable sleep patterns established immediately through breastfeeding,Enhanced cognitive development exclusively due to nutrient composition,oral stimulation and eating,Long-term taste preferences determined by breast milk flavor variety,Development of a more diverse palate by the age of one,intimate contact with the mother,Increased physical growth rate compared to formula-fed infants,C,2,psychology,stemez-Psychology,,test
345,"A piano, priced at $1250, plus 4(1/2)% tax, was purchased on the installment plan with a down payment of 10% of the cash value, with 18 months in which to pay the balance. If a service charge of 12% was added to the unpaid balance, what was the monthly installment? What was the total cost of the piano?",$68.25 and $1365,$70 and $1400,$85 and $1700,$71.10 and $1422,$75 and $1500,$78.90 and $1578,$77.50 and $1550,$73.40 and $1448,$80 and $1600,$65 and $1300,H,7,business,stemez-Business,,test
11848,"A communication link between two (\lambda/2) dipole antennas is establishedwith a free space environment. If the transmitter delivers1 (kW) of power to the transmitting antenna, how muchpower will be received by a receiver connected to the receivingdipole 500(km) from the transmitter if the frequency is200(MHz) ? Assume that the path between dipoles is normalto each dipole; i.e., \texttheta = 90°, and the dipoles are aligned.",7.85 × 10^-10 W,3.21 × 10^-11 W,1.53 × 10^-10 W,1.03 × 10^-10 W,5.67 × 10^-11 W,1.64 × 10^-10 W,2.05 × 10^-9 W,4.28 × 10^-11 W,9.42 × 10^-10 W,2.53 × 10^-10 W,C,2,engineering,stemez-Electromagnetics,,test
10105,A rod measures 1.00 m in its rest system. How fast must an observer move parallel to the rod to measure its length to be 0.80 m?,0.90c,0.80c,0.50c,0.55c,0.60c,0.75c,0.40c,0.70c,0.65c,0.20c,E,4,physics,ori_mmlu-college_physics,,test
3639,"Nelson, et al. (Science 238, 1670 (1987)) examined several weakly bound gas-phase complexes of ammonia in search of examples in which the $\mathrm{H}$ atoms in $\mathrm{NH}_3$ formed hydrogen bonds, but found none. For example, they found that the complex of $\mathrm{NH}_3$ and $\mathrm{CO}_2$ has the carbon atom nearest the nitrogen (299 pm away): the $\mathrm{CO}_2$ molecule is at right angles to the $\mathrm{C}-\mathrm{N}$ 'bond', and the $\mathrm{H}$ atoms of $\mathrm{NH}_3$ are pointing away from the $\mathrm{CO}_2$. The magnitude of the permanent dipole moment of this complex is reported as $1.77 \mathrm{D}$. If the $\mathrm{N}$ and $\mathrm{C}$ atoms are the centres of the negative and positive charge distributions, respectively, what is the magnitude of those partial charges (as multiples of $e$ )?",0.150,0.123,0.135,0.098,0.157,0.091,0.112,0.176,0.204,0.085,B,1,chemistry,scibench-matter,,test
11575,Two infinite parallel metal plates are charged with equal surface charge density of the same polarity. The electric field in the gap between the plates is,inversely proportional to the distance between the plates.,quadruple the field produced by one plate.,zero.,dependent on the thickness of the plates.,dependent on coordinates of field points.,proportional to the square of the distance between the plates.,double the field produced by one plate.,half the field produced by one plate.,triple the field produced by one plate.,same as that produced by one plate.,C,2,engineering,ori_mmlu-electrical_engineering,,test
