id,domain,subject,question,choice_A,choice_B,choice_C,choice_D,answer,instruction,split
10258,prehistory,История,Что из следующего указывает на первичный контекст?,"свалка, где скопился мусор от целого сообщества","артефакты, экофакты и кости, обнаженные на поверхности земли в результате эрозии","существование тайника или коллекции артефактов, найденных там, где они были оставлены",все вышеперечисленное,C,"В вопросе ""{text}"" по теме ""{subject}"" есть только один правильный ответ. Варианты ответа:
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Все варианты индексируются одной буквой. Найди правильный ответ и выведи только его букву. Ответ:",test
4011,high_school_macroeconomics,Экономика,"Кевин хочет обувь и выращивает репу. Лиза хочет репу и делает из листового металла. Бобу нужен листовой металл, и он делает обувь. Какая функция денег будет наиболее непосредственно соответствовать текущей ситуации?",Хранилище ценностей,Расчетная единица,Средство обмена,Средства отсрочки платежа,C,"Задание содержит вопрос по теме {subject} и 4 варианта ответа A, B, C, D, из которых только один правильный. Выберите букву правильного ответа:
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответ:",test
4801,high_school_physics,Физика,"Автомобиль трогается с места и равномерно разгоняется до конечной скорости 20,0 м/с за 15,0 с. Как далеко проезжает автомобиль за это время?",150 м,300 м,450 м,600 м,A,"Задание содержит вопрос по теме {subject} и 4 варианта ответа A, B, C, D, из которых только один правильный. Выберите букву правильного ответа:
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответ:",test
3657,high_school_government_and_politics,Политика,"Президент применяет ""карманное вето"", делая что из следующего?",Публично выражая отказ от законопроекта,Издавая исполнительный указ о признании недействительным недавно принятого законопроекта,"Отказываясь подписать законопроект после того, как Конгресс прекратил работу",Отзывая послов с мирных переговоров,C,"Вопрос:
{text}. Варианты ответа:
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Используй знания по теме {subject} и выбери правильный ответ. Выведи только одну букву. Ответ:",test
314,astronomy,Физика,Сколько земных лет длится год на Марсе?,1/2,1,2,4,C,"Дайте ответ на задание по теме {subject}:
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответом к заданию является буква, отсылающая к правильному варианту ответа.
Ответ:",test
8367,moral_disputes,Философия,"При терапевтическом клонировании цель состоит в том, чтобы",произвести на свет и воспитать ребенка.,идти по пути с чревато тяжелыми последствиями.,лечить болезнь.,ничего из вышеперечисленного,C,"Вопрос:
{text}. Варианты ответа:
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Используй знания по теме {subject} и выбери правильный ответ. Выведи только одну букву. Ответ:",test
3767,high_school_government_and_politics,Политика,Что из перечисленного ниже относится к федеральным судьям?,"Они работают в течение четырех лет, что совпадают с президентским сроком.",Они назначаются пожизненно и могут быть смещены с должности только в результате импичмента.,Они избираются Конгрессом и работают в течение десяти лет.,Они назначаются пожизненно и не могут быть отстранены от должности.,B,"Вопрос:
{text}. Варианты ответа:
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Используй знания по теме {subject} и выбери правильный ответ. Выведи только одну букву. Ответ:",test
11226,professional_law,Право,"Супермаркет подписал контракт с пекарней на поставку супермаркету 100 буханок цельнозернового хлеба в неделю в течение 12 недель подряд. Буханки должны были доставляться в первый день каждой недели, а оплата должна была производиться в течение четырех дней с момента доставки. В течение первых четырех недель пекарня поставляла буханки в супермаркет, и супермаркет производил соответствующие платежи. Когда прибыла пятая партия, в супермаркете обнаружили, что в посылке было 80 цельнозерновых батонов и 20 батонов на закваске. Менеджер супермаркета немедленно позвонил в пекарню, чтобы пожаловаться на отправку. Оператор пекарни извинился и предложил отправить 20 буханок цельнозернового хлеба в течение 24 часов. Каковы вероятные юридические последствия разговора оператора с менеджером в отношении пятой партии?",Супермаркет имел бы право отклонить пятую партию товара и расторгнуть свой контракт.,"Супермаркет имел бы право отклонить пятую партию, но был бы привлечен к ответственности за остальные поставки.","Супермаркет не имел бы права отклонять предложение оператора ""вылечить"".","Супермаркет имел бы право ""покрыть расходы"", покупая заменители хлеба.",C,"Реши задачу по теме {subject}
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответ:",test
4928,high_school_psychology,Общество,"Мишель смотрит Дэвида Леттермана по телевизору, но не узнает его, когда проходит мимо него на Манхэттене. Какое воздействие на восприятие это лучше всего иллюстрирует?",конвергенция,эффект контекста,близость,закрытие,B,"В вопросе ""{text}"" по теме ""{subject}"" есть только один правильный ответ. Варианты ответа:
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Все варианты индексируются одной буквой. Найди правильный ответ и выведи только его букву. Ответ:",test
10683,professional_law,Право,"В одном из штатов был построен ипподром, специально спроектированный и построенный для скачек чистокровных лошадей. Для финансирования строительства ипподрома были выпущены государственные облигации. Облигационный заём предусматривал, что в течение первых пяти лет эксплуатации ипподрома не менее 2 долларов с каждого входного билета будет использоваться для погашения долга по облигациям. Далее в облигационном заёме оговаривалось, что если поступлений от платы за вход в течение первых пяти лет будет недостаточно для погашения долга по облигациям, то не менее 1 доллара от каждой платы за вход в течение следующих пяти лет будет использовано для осуществления необходимых выплат по облигациям. После того как ипподром был построен и проработал два года, законодательное собрание штата приняло закон, обязывающий ипподром продавать всем пожилым людям старше 65 лет льготный входной билет стоимостью 50 центов. Этот закон, вероятно,","конституционный, поскольку является оправданным применением полицейских полномочий штата.","неконституционный, поскольку он лишает граждан моложе 65 лет равной защиты закона.","неконституционный, поскольку нарушает обязательства по договору с держателями облигаций.","неконституционный, поскольку является законом с обратной силой.",C,"Найдите правильный ответ на вопрос по теме {subject} в задании ниже. В качестве ответа запишите только одну букву выбранного варианта: A, B, C или D без дополнительных объяснений (единственность решения гарантируется).
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответ:",test
