id,source,group,subject,level,language,subset,question,choice_A,choice_B,choice_C,choice_D,choice_E,answer,split
20759,https://oltest.kz/tests/obshchestvennye_nauki/,"Social Science





",Social Science,University,Russian,Social Science (Professional & University in rus),"Какое направление было первым в социологии?
",материализм,"интернационализм
",идеализм,позитивизм,"марксизм
",D,test
21909,https://itest.kz/kz/endless,Humanities,World_History,High School,Kazakh,World History (High School in kaz),«Тайпалар мекені» деп аталатын аймақ:,Пәкістан аймақтары,Ауғаныстан-Пәкістан шекарасындағы таулы-қыраттар,Шығыс Бенгалия жері,Хайдараб пен Кашмир өңірі,,B,test
14922,https://itest.kz/kz/endless,STEM,Math,High School,Kazakh,Math (High School in kaz),"Бірінші қорапта – \(\frac{3}{10}\) кг, екінші қорапта \(\frac{3}{5}\) кг кәмпит бар. Екі қорапта қанша кәмпит бар?",\({6\over15}\) кг,\(\frac{9}{10}\) кг,1 кг,\({7\over10}\) кг,,B,test
17813,https://itest.kz/kz/endless,STEM,Physics,High School,Kazakh,Physics (High School in kaz),Оң зарядталған бөлшектерден тұратын табиғи радиоактивті сәулеленудің түрі,Альфа-сәулелену,Бета-сәулелену,Гамма-сәулелену,Нейтрондық сәулелену,,A,test
12400,https://ymnik.kz/tests_old/literature_kz/?v=55,Humanities,Kazakh_Literature,High School,Kazakh,Kazakh Literature (High School in kaz),"Ғылымға берілудің, ғалым болудың жолдары айтылған Абайдың өлеңін табыңыз.",«Шәкірт ойы».,«Қазақ қалпы».,«Ғылым таппай мақтанба».,"«Кел, балалар, оқылық».",«Өнер - білім бар жұрттар».,C,test
14837,https://itest.kz/kz/endless,STEM,Math,High School,Kazakh,Math (High School in kaz),"Теңдеулер жүйесін шешіңіз: \(\begin{cases} 3^{log_3(3x-y)}&=8,\\ log_{16}(x+y)&=0,5\end{cases}\)",(3; 1),(2; 1),(3; 4),(4; 1),,A,test
5660,https://oltest.kz/tests/finansy_i_kredit/,"Social Science





","Finance, credit, insurance ",University,Russian,Finance (Professional & University in rus),"Краткосрочный кредит, который погашается по первому требованию (с предупреждением за 2-7 дней) и выдается, как правило, под обеспечение ценными бумагами и товарами:
","ипотечный кредит
","онкольный кредит
","ломбардный кредит
","вексельный кредит
","дисконтный кредит
",B,test
18288,https://itest.kz/ru/endless,STEM,Physics,High School,Russian,Physics (High School in rus),Уравнение движения материальной точки имеет вид \(x = 8 + 4t - 5t^2\). Проекция ускорения и проекция перемещения через 2 секунды соответственно равны,5 м/с²; −12 м,5 м/с²; 16 м,−10 м/с²; −4 м,−10 м/с²; −12 м,,C,test
20401,https://itest.kz/ru/endless,Humanities,Russian_Literature,High School,Russian,Russian Literature (High School in rus),Малыми нелирическими жанрами фольклора являются,былины и сказки,хороводы и ряжение,частушки и лирические песни,пословицы и поговорки,,D,test
1052,https://itest.kz/kz/endless,STEM,Biology,High School,Kazakh,Biology (High School in kaz),Бір жасушалы жәндіктер типіне жататын ағза,ішекқуыстылар,споралылар,табақшатәріздестер,гидратәріздестер,,B,test
17581,https://itest.kz/kz/endless,STEM,Physics,High School,Kazakh,Physics (High School in kaz),Дененің ішкі энергиясы деп,Денені құрайтын бөлшектердің ішіндегі нуклондардың байланыс энергиясы,Денені құрайтын бөлшектердің ретсіз қозғалысының кинетикалық энергиясы мен өзара әсерлесуінің потенциалдық энергиясының қосындысы,Денені құрайтын бөлшектердің өзара әсерлесу энергиясы,Денені құрайтын бөлшектердің ретсіз қозғалысының кинетикалық энергиясы,,B,test
9182,https://itest.kz/kz/endless,Humanities,Kazakh_History,High School,Kazakh,Kazakh History (High School in kaz),Керейіт мемлекетінің екіге бөлінген кезі,Х ғасырдың соңы,ХІ ғасырдың басы,ХІ ғасырдың соңы,ХІІ ғасырдың соңы,,D,test
921,https://itest.kz/kz/endless,STEM,Biology,High School,Kazakh,Biology (High School in kaz),Кез келген организмнің негізгі тіршілік ортасын қалай атаймыз?,Организмдердің өзі,Топырақ,Барлығы дұрыс,Құрлық-ауа,,C,test
20767,https://oltest.kz/tests/obshchestvennye_nauki/,"Social Science





",Social Science,University,Russian,Social Science (Professional & University in rus),"Первобытное общество состояло из...
","локальных родственных групп
","патриархальных групп
","неродственных групп
",семей,"территориальных групп
",A,test
12385,https://itest.kz/kz/endless,Humanities,Kazakh_Literature,High School,Kazakh,Kazakh Literature (High School in kaz),Ғ. Мүсіреповке қатысты мәліметтер,"«Қазақ солдаты», Ақбота","«Көксерек», Бақтығұл","«Көкшетау», Хамит","«Боран», Раушан",,A,test
21295,https://itest.kz/kz/endless,Humanities,World_History,High School,Kazakh,World History (High School in kaz),Ежелгі Қытай данышпаны:,Конфуций,Фан Чун,Сыма Сяньжу,Сыма Цянь,,A,test
1333,https://ymnik.kz/tests_old/biology/?v=64,STEM,Biology,High School,Russian,Biology (High School in rus),Баобаб относится к семейству:,Маковы,Маревы,Бомбаксовы,Касатиковы,Паслёновы,C,test
15799,https://itest.kz/ru/endless,STEM,Math,High School,Russian,Math (High School in rus),Найдите координаты точек пересечения графика линейной функции \(-3x + 5y = 15\) с осью \(Oy\).,\((-3; 0)\),\((0; 3)\),\((0; -3)\),\((3; 0)\),,B,test
19879,https://itest.kz/ru/endless,Humanities,Russian_Literature,High School,Russian,Russian Literature (High School in rus),"Проблемы совести, долга, любви к ближнему, любви к природе раскрываются в произведении",Л. Н. Андреева «Баргамот и Гараська»,В. В. Набокова «Рождество»,Ю. П. Казакова «Тихое утро»,А. П. Чехова «Толстый и тонкий»,,C,test
6498,https://ymnik.kz/tests_old/geography_kz/?v=35,Social Science,Geography,High School,Kazakh,Geography (High School in kaz),География ғылымы... саладан тұрады:,3,4,1,5,2,E,test
6977,https://ymnik.kz/tests_old/geography_kz/?v=24,Social Science,Geography,High School,Kazakh,Geography (High School in kaz),Техникалық дақылдар:,"Мақта, күнбағыс, қызылша.","Сұлы, күріш, арпа.","Жүзім, бидай, жүгері.","Бидай, күнбағыс, арпа.","Картоп, бау- бақша, күнбағыс.",A,test
