id,domain,subject,question,choice_A,choice_B,choice_C,choice_D,answer,instruction,split
9020,moral_scenarios,Философия,"В каком из этих двух сценариев главный герой (использующий ""я/мне/мой"") совершает поступок, явно противоречащий моральным нормам, принятым в США по состоянию на 2020 год? Сценарий 1 | Я решил подать омлет из мозгов и бекона. Сценарий 2 | Я бросил раскаленный уголь своему другу.","Неправильно, Неправильно","Неправильно, Правильно","Правильно, Неправильно","Правильно, Правильно",A,"Задание содержит вопрос по теме {subject} и 4 варианта ответа A, B, C, D, из которых только один правильный.
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Запишите букву правильного ответа
Ответ:",test
9058,moral_scenarios,Философия,"Для какого из этих двух сценариев главный герой (использующий ""я/мне/мой"") совершает что-то явно морально неправильное, согласно обычным моральным стандартам в США по состоянию на 2020 год?  Сценарий 1 | Я вызвал полицию на группу за хорошую музыку Сценарий 2 | Я толкнул старушку в инвалидном кресле через оживленное шоссе.","Неправильно, Неправильно","Неправильно, Правильно","Правильно, Неправильно","Правильно, Правильно",B,"В вопросе ""{text}"" по теме ""{subject}"" есть только один правильный ответ. Варианты ответа:
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Все варианты индексируются одной буквой. Найди правильный ответ и выведи только его букву. Ответ:",test
9645,nutrition,Медицина,Что из перечисленного будет увеличено при дефиците витамина К,Концентрация кальцитонина в плазме крови,Концентрация протромбина в плазме крови,Время свертывания крови,Гемолиз вследствие окислительного повреждения мембран эритроцитов,C,"Дан вопрос по теме {subject}: {text}. Варианты ответа:
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Определи, какой вариант ответа правильный. Напиши только букву этого ответа: A, B, C, D. Ответ:",test
10781,professional_law,Право,"Как это называется, когда остаток в наследствах наследников лица, предоставляющего право, признается недействительным и становится возвратом в наследство наследодателя?",Правило в деле Шелли,Связанная доктрина слияния,Условное выжидательное право,Доктрина более достойного титула,D,"Задание содержит вопрос по теме {subject} и 4 варианта ответа A, B, C, D, из которых только один правильный. Выберите букву правильного ответа:
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответ:",test
9227,moral_scenarios,Философия,"В каком из этих двух сценариев главный герой (использующий ""я/мне/мой"") совершает поступок, явно противоречащий моральным нормам, принятым в США по состоянию на 2020 год? Сценарий 1 | Находясь в походе, я собрал для костра деревья, охраняемые государством. Сценарий 2 | Я подслушал слух о пандемии, но я потрачу время на проверку фактов, прежде чем поделиться им.","Неправильно, Неправильно","Неправильно, Правильно","Правильно, Неправильно","Правильно, Правильно",B,"Вопрос:
{text}. Варианты ответа:
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Используй знания по теме {subject} и выбери правильный ответ. Выведи только одну букву. Ответ:",test
1880,econometrics,Экономика,"Прочитайте запрос, посмотрите результаты поиска
Если МНК применяется отдельно к каждому уравнению, входящему в одновременную систему, то результирующими оценками будут",Несмещенными и согласованными,"Несмещенными, но согласованными",Предвзятыми и непоследовательными,"Невозможно применить МНК к уравнениям, которые являются частью одновременной системы",C,"Задание содержит вопрос по теме {subject} и 4 варианта ответа A, B, C, D, из которых только один правильный.
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Запишите букву правильного ответа
Ответ:",test
5279,high_school_psychology,Общество,"Какой термин описывает явление, когда группы единомышленников занимают более экстремальные позиции, чем отдельные люди, входящие в группу?",социальная фасилитация,деиндивидуализация,групповое мышление,групповая поляризация,D,"Реши задачу. В качестве ответа выведи только одну букву в формате ""letter"", где letter - буква, которой соответствует правильный ответ. Тема вопроса:
{subject}
Вопрос:
{text}Ответы:
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответ:",test
5230,high_school_psychology,Общество,"Радиостанция, спонсируемая слушателями, хочет оценить, сколько денег вносит типичный сторонник во время сбора средств. В ходе выборки из 30 сторонников выяснилось, что 22 из них пожертвовали 60$, шесть - $1000$ и двое - 10000$. На основе этой выборки какой из следующих показателей центральной тенденции даст радиостанции наиболее полезную информацию?",Медиана,Мода,Гистограмма,Дисперсный анализ,B,"Задание содержит вопрос по теме {subject} и 4 варианта ответа A, B, C, D, из которых только один правильный.
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Запишите букву правильного ответа
Ответ:",test
11878,professional_law,Право,"Мужчина и женщина являются соседствующими землевладельцами в районе крупных поместий, расположенных в регионе ""шато"" на юго-востоке Луизианы. В 2000 году, мужчина унаследовал свое поместье от отца, чья семья непрерывно владела имением с 1812 года. Женщина приобрела свое поместье в 2008 году. У этого человека на территории была конюшня, в которой содержалось много ценных скаковых лошадей. Конюшня, построенная в 2002 году, стояла на участке земли мужчины, расположенном всего в 10 футах от границы собственности женщины. Нередко, от собственности мужчины исходила гнилостная вонь, вызванная большими скоплениями конского навоза, которые были оставлены без присмотра. Женщина часто жаловалась мужчине на шум и запахи, исходящие из конюшни. Женщина подала соответствующий иск, чтобы запретить мужчине пользоваться конюшне. Чью сторону, вероятнее всего, примет суд?","Мужчины, потому что женщина переехала в свое владение после того, как была построена конюшня.","Мужчины, потому что землевладелец имеет право на разумное использование своего имущества.","Женщины, потому что поскольку шум в сочетании с запахами существенно мешал ей пользоваться и наслаждаться своим земельным участком.","Женщины, потому что мужчина проявил небрежность, позволив оставить навоз без присмотра.",C,"В вопросе ""{text}"" по теме ""{subject}"" есть только один правильный ответ. Варианты ответа:
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Все варианты индексируются одной буквой. Найди правильный ответ и выведи только его букву. Ответ:",test
12878,professional_psychology,Общество,"Оперантное угасание НЕ было бы методом выбора, когда:",невозможно найти альтернативное поведение.,поведение подкрепляется в непрерывном режиме.,временное усиление такого поведения недопустимо.,невозможно установить базовый уровень поведения.,C,"В вопросе ""{text}"" по теме ""{subject}"" есть только один правильный ответ. Варианты ответа:
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Все варианты индексируются одной буквой. Найди правильный ответ и выведи только его букву. Ответ:",test
