question,choice_A,choice_B,choice_C,choice_D,answer,category,split
From which of the following Chalcolithic cultural sites has the largest Copper Hoard been recovered?, Gungeria, Malwa, Almora, Bithur,A,,val
"When faced with limited training data, which technique is more advisable to use: bagging or stacking, and for what reason?"," Bagging, because we use the same classification algorithms on all samples of the training data"," Stacking, because we can use different classification algorithms on the training data"," Bagging, because we can combine as many classifier as we want by training each on a different sample of the training data"," Stacking, because each classifier is trained on all of the available data",D,,val
"To whom does the Chargé d'Affaires, appointed in a foreign country, have to report?", Head of government, Foreign Office, Head of State, None of these,B,,val
Which of the following options represents an ideal transition curve?, None of the other choices, Cubic parabola, Lemniscate, Clothoid,D,,val
How can primary alcohols be synthesized using the reaction of RMgX with …………?, CH3CHO, None of the other choices, CO2, HCHO,D,,val
Deconstruction is widely used as a research method in which fields?, Applied Science, None of the other choices, Basic Science, Literature,D,,val
What is related to the impression of an organism's external structure preserved in wet soil?, Cast fossil, Coprolites, Mould fossil, Print fossil,C,,val
"Between 1889 and 1916, where was the Second International, which developed under the influence of Socialist Philosophy, organized?", None of the other choices, London, Paris, Brussels,C,,val
How can the unpaid seller exercise their right to stop the goods in transit?, Both (a) and (b), Taking actual possession of the goods, Neither (a) nor (b), Giving notice of the sellers claim to the carrier,A,,val
Which of the following statements about capabilities is accurate?, Capabilities based on human capital are more vulnerable to obsolescence than other intangible capabilities because of the tendency for employee knowledge to become outdated.," Capabilities are often developed in specific functional areas such as manufacturing, R&D, and marketing.", The link between firm financial performance and capabilities is dependent on whether the capabilities are based on tangible or intangible resources., None of the other choices,B,,val
Which event in Islamic history is referred to as Fath-e-Mubeen in the Holy Quran?, Conquest of Makkah, None of the other choices, Badr, Treaty of Hudaybia,D,,val
What actions are deemed unacceptable when administering first aid to someone with a cold injury?," rubbing with a warm, clean hand;", rubbing with a soft cloth;, treatment of warmed areas with alcohol;, rubbing with snow;,D,,val
Who is set to be honored with the 2016 Sarala Award?, Sunita Jain, Mahadevi Singh, Padma Sachdeva, None of the other choices,D,,val
"Which of the following individuals stated that 'Natural justice is a great humanizing principle intended to invest law with fairness and to secure justice; and over the years, it has grown into a widely pervasive rule affecting large areas of administrative action'?", Justice PN Bhagwati, Lord Gordon Hewart, Lord Evershed, Justice Krishnaiyer,A,,val
A dense object with __________ might indicate the presence of a neutron star within a binary system., zero mass and no emitted light.," a hot, x-ray emitting accretion disk.", regularly timed x-ray pulses., repeated nova bursts.,C,,val
What is produced when zinc interacts with sodium hydroxide?, Zinc hydroxide and sodium, Sodium zinc-oxide and hydrogen gas, Sodium zincate and hydrogen gas, Sodium zincate and water,C,,val
What blood test value will be elevated in patients who are taking the drug heparin?, None of the other choices, hemoglobin, mean cell volume, thrombocytes,A,,val
"Charlie Chancetaker appreciates the low interest rate associated with the 360/60 balloon loan he has chosen. He is unconcerned about potential foreclosure since his job relocates him every four years, and he plans to sell the house and fully repay the loan before the balloon payment is due. Which of the following scenarios would not be a potential issue when it comes time to handle the balloon payment?", He might no longer be working for his employer in four years and therefore won’t be transferred, He might still work for his employer but his employer might not transfer him, He might not meet one of the conditions of modification, His home might be worth less than what he owes when the time arrives to sell,C,,val
What is the journal entry for establishing a Provision for bad debts?, Debit Provision for Bad Debts A/c and credit Profit & Loss A/c, Debit Provision for Bad Debts A/c and credit Debtors A/c, None of the other choices, Debit Debtors A/c and credit Provision for Bad Debts A/c,C,,val
Milk from a cow suffering from mastitis will contain __________?, both abnormal freezing point and a high somatic cell count, a high somatic cell count, abnormal freezing point, None of the other choices,B,,val
The Chandrasekar limit is equivalent to how many times the mass of the sun?, None of the other choices,1.4,1.8,1.6,B,,val
"The number of successful candidates in this year's School Leaving Certificate Examination has reached a record high. Action Plan: The government should create strategies to increase the number of intermediate course seats in current colleges. Additionally, the government should proactively work on establishing new colleges to accommodate all these qualified candidates.", None of the other choices, Only II follows, Neither I nor II follows, Either I or II follows,A,,val
What type of blood pattern is produced on denim jeans by a knife in this case called?, Transfer pattern, None of the other choices, Drip Pattern, Skeletonized bloodstain,A,,val
"The interwoven nature of social categories like race, class, sexuality, and gender as they are currently examined in literary-cultural analysis is referred to as_______.", Cross-culturalism, None of the other choices, Connectedness, lntersectionality,D,,val
