question_id,question,choice_A,choice_B,choice_C,choice_D,choice_E,choice_F,choice_G,choice_H,choice_I,choice_J,answer,answer_index,category,src,cot_content,split
2525,"A school psychologist is providing feedback to a student's parents regarding the student's performance on a measure of academic achievement. To explain the concept of grade equivalent, the school psychologist should explain that it is",the grade in which a student should be placed in school,the average score on that measure obtained by students in a given grade,the score that represents the student's potential ability in a particular grade level,a measure of a student's academic progress compared to national standards,the score that represents the student's current grade level performance regardless of age,the score that represents the student's individual performance compared to other students,the average score on that measure obtained by students at a given age,utilized to determine accountability among peers,used to determine a student's eligibility for special education services,,B,1,psychology,ori_mmlu-high_school_psychology,,test
10996, Singer argues that developing nations are harming poor nations by,exploiting their natural resources without adequate compensation.,indoctrinating them with Western values.,forcing them to adopt Western educational systems.,imposing their political systems on them.,promoting consumerism and materialistic values.,causing global warming.,ignoring important aspects of their culture.,refusing to help with debt relief.,imposing trade restrictions and tariffs.,"handing out too much foreign aid, which increases need.",F,5,philosophy,ori_mmlu-moral_disputes,,test
11127," Which of the given formulas of PL is the best symbolization of the following sentence?
Either England's importing beef is a necessary condition for France's subsidizing agriculture or China promotes human rights given that South Africa doesn't supply diamonds.",(F ⊃ E) ∨ (~S ⊃ C),(E ≡ F) ∨ (C ⊃ ~S),(F ≡ E) ∨ (S ≡ ~C),(F ⊃ E) ∨ (S ≡ C),(E ⊃ F) ∨ (S ⊃~C),(F ⊃ E) ∨ (~S ≡ C),(E ⊃ F) ∨ (C ⊃ S),(E ⊃ F) ∨ (~C ⊃ S),(E ⊃ F) ∨ (~S ≡ ~C),(E ⊃ F) ∨ (C ≡ ~S),A,0,philosophy,ori_mmlu-formal_logic,,test
10928,Which of the following describes he fallacy of appeal to pride?,arguing someone should accept a claim based only on the evidence that he or she has the favorable characteristics to understand the truth of the claim.,arguing that a claim should be accepted based only on the evidence that it's in line with traditional or cultural beliefs.,arguing that a claim should be accepted based only on the evidence that it's supported by a famous or respected figure.,arguing that a claim should be accepted based only on the evidence that rejecting it will lead to negative consequences.,"arguing that an act or series of acts should be carried out because they will have no significant consequences, when there is no evidence for the lack of significant effects.","arguing something should be done based only on evidence that it's been done that way in the past, or should be believed only because it's been believed for a long time.",arguing that a claim should be accepted based only on the evidence that it's widely accepted by the public.,arguing that a claim should be accepted based only on the evidence that it's appealing or desirable.,arguing a claim should be accepted based only on evidence that unidentified authorities accept it.,"arguing that a claim should be accepted based only on the evidence that it's been scientifically proven, without providing the actual proof.",A,0,philosophy,ori_mmlu-logical_fallacies,,test
10261,A simple and correct way to comprehend satellites orbiting Earth is to view them as,defying gravity through an internal mechanism.,in mechanical equilibrium with a net force of zero.,being propelled by constant rocket thrust.,beyond the main pull of Earth gravity.,moving in a straight line at a constant speed.,having sufficient tangential velocities to fall around rather than into Earth.,being pushed by solar winds.,suspended in the atmosphere by helium balloons.,balanced between gravitational and centripetal forces.,being held up by the magnetic field of the Earth.,F,5,physics,ori_mmlu-conceptual_physics,,test
605,"You have just redesigned your kitchen. The new floor dimensions are 7'6"" × 11'8"". Now you want to cover the floor with linoleum, which sells for $1.79 per running foot in 6' width, what is the best way to cover the floor? How much will it cost?",$48.60,$26.85,$30.99,$42.56,$29.99,$38.40,$31.50,$23.94,$20.12,$35.70,B,1,business,stemez-Business,,test
5264,"While performing interim audit procedures of accounts receivable, numerous unexpected errors are found resulting in a change of risk assessment. Which of the following audit responses would be most appropriate?",Send negative accounts receivable confirmations instead of positive accounts receivable confirmations,Use more experienced audit team members to perform year-end testing,Ignore the errors as they are not material to the audit conclusion,Use less experienced audit team members to perform year-end testing,Decrease the use of sampling during audit procedures,Perform fewer audit procedures to save time,Move detailed analytical procedures from interim to year-end,Increase the dollar threshold of vouching customer invoices,,,B,1,other,ori_mmlu-professional_accounting,,test
9740,determine the ratio of the radius of a uranium-238 nucleus to the radius of a helium-4 nucleus.,4.8,7.1,5.5,1.8,4.2,3.9,6.3,3.0,2.5,2.0,F,5,physics,theoremQA-Physics,,test
9780,"A particular type of x-ray equipment discharges a capacitor to obtain its electrical energy. The capacitor of capacitance 0.25\muFis charged to 100 kV and discharged to 40 kV during a 0.1-s exposure. Calculate the quantity of charge supplied to the x-ray tube, the average current through it, and the energy dissipated.","Charge: 0.02 C, Current: 160 mA, Energy: 1150 J","Charge: 0.015 C, Current: 150 mA, Energy: 1050 J","Charge: 0.022 C, Current: 220 mA, Energy: 1100 J","Charge: 0.01 C, Current: 100 mA, Energy: 850 J","Charge: 0.018 C, Current: 180 mA, Energy: 950 J","Charge: 0.025 C, Current: 200 mA, Energy: 1250 J","Charge: 0.008 C, Current: 80 mA, Energy: 800 J","Charge: 0.012 C, Current: 120 mA, Energy: 900 J","Charge: 0.03 C, Current: 300 mA, Energy: 1350 J","Charge: 0.017 C, Current: 170 mA, Energy: 1200 J",B,1,physics,stemez-Physics,,test
6738,Identity refers to one's,Financial status and societal position,Control over one's own life story,Level of intelligence and education,Individual perception of societal norms,Coherent sense of self,Physical appearance and overall personality,Capacity to maintain emotional balance,Use of a particular coping strategy,Ability to adapt to change,Influence on others,E,4,health,ori_mmlu-human_aging,,test
