question,тақырып,таңдаулар,жауап,sheet
" Стивенсонның айтуынша, эмпирикалық әдістер:", философия," ['этикалық келіспеушіліктерді шешуде ешқашан пайдалы емес.' 'кейде этикалық келіспеушіліктерді шешуде пайдалы, бірақ әрқашан жеткілікті емес.' 'негізінде этикалық келіспеушіліктерді шешу үшін әрқашан жеткілікті.' 'моральдық философиямен айналысудың жалғыз жауапты жолын қамтамасыз етеді.']",1,Sheet1
 Файольдің басқарудың 14 қағидасының бірін қайсысы құрамайды?, басқару, ['Esprit de Corps' 'Бастама' 'Тәртіп' 'Индивидуализм'],3,Sheet1
" → 2B реакциясын зерттеу барысында химик бірнеше график құрастырады. [A] уақытқа қатысты графигі және ln [A] уақытқа қатысты графигі қисық сызықты береді; дегенмен, 1/[A] уақытқа қатысты графигі және түзу сызықты береді. Бұл жылдамдық заңының ... екенін білдіреді.", орта мектеп химиясы, ['Бағам = k[A]' 'Бағам = k[A]^2' 'Бағам = k[A]^0' 'Бағам = k[A]^-1'],1,Sheet1
" Аудитор дебиторлық берешектің оң растауының бос нысанын пайдалану туралы шешім қабылдайды. Аудитор бос нысанның тиімсіз болуы мүмкін екенін білуі керек, себебі", кәсіби_бухгалтерлік_есеп,"['Барлық шоттардың растау үшін таңдалу мүмкіндігі бірдей емес.' 'Расталмаған шоттар өндіріп алынбайтын ретінде есептен шығарылған болуы мүмкін.' 'Алушылардан көбірек күш жұмсау қажет болғандықтан, жауаптар аз болуы мүмкін.' 'Нақты расталған шоттар халық санын көрсетпеуі мүмкін.']",2,Sheet1
" Полиция отбасылық дау бойынша шақырылды. Әйелі полицияға күйеуінің зорлық-зомбылық көрсететінін және оның кокаинді көп қолданатынын айтты. Күйеуі қасында болып, айыптауды жоққа шығарды. Полиция үй-жайды есірткі іздеуге рұқсат сұрады, оған әйелі келісім берді. Алайда, күйеуі тінтуге келісім беруден бас тартты. Полиция бәрібір алға жылжып, күйеуінің заттарынан есірткі тапты. Есірткі сақтағаны үшін қамауға алынғаннан кейін, күйеуі келісім бермегендіктен дәлелдемелерді жоққа шығару туралы өтініш берді. Бірінші сатыдағы соттың ықтимал шешімі қандай болуы керек?", кәсіби_құқық,"[«Тінту жарамсыз болды және дәлелдемелер жасырын болуы керек, себебі үй-жайда бірге тұратын адам болды және тінтуге келісім беруден бас тартты». «Тінту жарамды болды, себебі істерде бір тұрғынның тінтуге келісім беруі екінші тұрғынның келісім беруден бас тартуынан бас тартылады деп көрсетілген». «Тінту жарамды болды, себебі әйелінің мәлімдемесі қылмыс жасалып жатқанының ықтимал себебін анықтады \x80\x93 бұл тінту үшін шұғыл жағдайлар туғызды». «Тінту жарамсыз болды, себебі келісім берілгенімен, полиция алдымен үйге кіру үшін тінту ордерін алуға тырысуы керек».",0,Sheet1
 АҚШ заңдарының иерархиясы қандай?, кәсіби_құқық,"['Атқарушы келісімдер, АҚШ Конституциясы, келісімшарттар және федералдық заңдар, штаттық заң' 'АҚШ конституциясы, келісімшарттар және федералдық заңдар, атқарушы келісімдер, штаттық заң' 'Келісімшарттар және федералдық заңдар, АҚШ Конституциясы, атқарушы келісімдер, штаттық заң' 'АҚШ конституциясы, атқарушы келісімдер, келісімшарттар және федералдық заңдар, штаттық заң']",1,Sheet1
 Төмендегілердің қайсысы бірге тең?, орта мектеп_макроэкономикасы,['Ұзақ мерзімді жиынтық ұсыныс қисығының икемділігі' 'Шығындар (немесе шығыстар) мультипликаторы' 'Ақша (немесе банк) мультипликаторы' 'Теңгерімді бюджет мультипликаторы'],3,Sheet1
 Далматин күшігі қашан туылады?, әртүрлі, ['Қара' 'ақ дақтармен қара' 'ақ' 'қара дақтармен ақ'],2,Sheet1
 Пайғамбардан кейін келген діни және әкімшілік көсемдердің лауазымы қандай?, әлем_діндері, ['Расул' 'Нәби' 'Халиф' 'Мәхди'],2,Sheet1
"Әйелдердің белсенділер тобы бірнеше ай бойы жергілікті кәсіби ерлер клубымен әйелдерді мүшелікке қабылдау туралы келісімге келуге тырысты, бірақ сәтсіз аяқталды. Әйелдер тобы ерлер клубының штаттың кемсітушілікке қарсы заңына бағынатындығын анықтау үшін федералды сотта декларациялық шешім шығару туралы талап арыз берді. Қала шенеуніктерін сайлау алдында әйелдер тобының төрт мүшесі ерлер клубының көрнекті мүшелері - мэр мен аудан прокурорының кеңселерінің алдында пикетке жіберілді. Екі мүше әкім кеңсесі ғимаратының алдынан шығып, «Әкім барлық адамдарға қызмет етуі керек, бірақ оның түскі ас клубы ТЕК ерлерге арналған. Сондықтан оған дауыс бермеңіздер» деген жазуы бар плакаттарды көтерді. Қалған екі пикет аудан прокуроры кеңсесі ғимаратының артқы жағынан шығып, көпшілікке оған дауыс бермеуді бұйыратын ұқсас плакаттарды көтерді. Бұл пикет таңғы сағат 9-дан кешкі 5-ке дейін жалғасты. Сол күні тағы екі пикетке әкімнің ресми резиденциясының алдында бірдей плакаттарды көтеру тапсырылды. Кешкі уақытта аудан прокурорының қала маңындағы үйінің алдында екі пикет қайталанатын белгілерді іліп қойды. Барлық орындардағы пикеттер ешқандай кедергісіз бейбіт түрде өтті. Пикеттер туралы тиісті қалалық қаулыларда былай делінген: «201-бап. Әкімнің тікелей рұқсатынсыз қала әкімдігінің ішінде немесе оған тікелей жақын немесе іргелес кез келген тротуарда немесе көшеде пикет өткізуге рұқсат етілмейді. Мұндай рұқсат алуға өтініштер мұндай пикет басталу жоспарланғанға дейін кемінде үш күн бұрын берілуі тиіс және онда ұсынылған пикеттің мақсаты, орны және уақыты көрсетілуі тиіс. 202-бап. Кез келген адамның жеке тұлғаның тұрғылықты жерінің алдында немесе оның айналасында пикет өткізуі заңсыз болып табылады. Осы құжаттағы ешбір ереже жалпы қоғамдық мүдделерді қозғайтын тақырыптарды талқылау үшін пайдаланылатын кез келген жерде жиналыс немесе жиналыс өткізуге тыйым салады деп саналмайды. «Федералды аудандық сот талап арыздың мәні бойынша шешім қабылдаудан жалтарады, себебі...»",кәсіби_құқық, [«іс жеткілікті түрде пісіп-жетілген емес». «ешқандай іс немесе дау жоқ». «сұралып отырған көмек негізінен кеңес беру қорытындысы үшін берілген». «әйелдер тобының беделі жоқ».],2,Sheet1
