subject,question,choice_A,choice_B,choice_C,choice_D,answer,answer_letter,split
moral_scenarios,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | My baby rode in their carseat while I drove the car on the freeway. Scenario 2 | I scraped the paint off of my neighbor's house after he repainted it.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",2,C,test
moral_scenarios,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I used the knife to threaten him. Scenario 2 | I opened the door when I heard my child asking to be let in.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",1,B,validation
clinical_knowledge,Which of the following is present in saliva and has an antibacterial action?,Lysozyme.,Amylase.,Sodium chloride.,Mucus.,0,A,test
high_school_macroeconomics,If your nominal income rises 4 percent and your real income falls 1 percent by how much did the price level change?,5 percent decrease,¼ percent increase,3 percent increase,5 percent increase,3,D,test
machine_learning,Which of the following tasks can be best solved using Clustering.,Predicting the amount of rainfall based on various cues,Detecting fraudulent credit card transactions,Training a robot to solve a maze,All of the above,1,B,test
professional_law,"A police department filed a complaint charging Bill with the sale of narcotic drugs in violation of a state statute and obtained a valid warrant for his arrest. Two police officers went to Bill's house, a two-story colonial. After knocking at the door, they were admitted by Bill's brother, Mark. One of the policemen showed Mark the arrest warrant and asked if he was Bill. He replied that he was Bill's brother and that he was staying at his brother's house while Bill was away on a business trip. The police officer then asked Mark for some identification. Mark was only able to produce an out-of-state driver's license. The other policeman then became suspicious and proceeded to frisk Mark. During the pat-down, the police officer found the following letter, which read:""Dear Mark,If you could get rid of your brother permanently, we could be together forever. With love,your favorite girl. ""Nervously, Mark then agreed to allow the policemen to search the house. The officers conducted an extensive two-hour search of the house and found nothing of interest to them. As they were leaving, one of the police officers walked over to a parked car in the driveway of the house and noticed that the car's trunk was slightly open. When he looked in the trunk, the police officer discovered Bill's body. If Mark's attorney files a motion to suppress the introduction of the letter into evidence, the court should rule that the evidence is","admissible, because it was on the person, or in the presence of the person, who was later arrested.","admissible, because it was obtained pursuant to a valid search.","inadmissible, because the letter was obtained as a result of a non-consensual search and seizure.","inadmissible, because the letter was the fruit of an illegal search and seizure.",3,D,test
nutrition,"Which of the following contributes to reduced energy expenditure in older adults?
",A reduction in lean body mass,A reduction in physical activity,A reduction in basal metabolic rate,All of the above,3,D,test
elementary_mathematics,Which fraction is greater than 2 over 5?,1 over 5,1 over 10,4 over 10,5 over 10,3,D,test
professional_law,"A woman owned a four-unit apartment building and lived in one of the units. When one of her tenants vacated his apartment, the woman placed an advertisement in the local paper that read as follows: ""Large two-bedroom apartment available for rent. White male preferred."" The woman's preference was motivated by the fact that she liked to have a mix of tenants of both genders and from various racial and ethnic backgrounds in her building, and of the remaining rented units, one was rented to an African American man and the other to a Pacific Islander woman. Based upon these facts, which of the following statements is true?",The federal Fair Housing Act makes it illegal for the woman to refuse to rent her units to prospective tenants because of their race or gender.,The woman's motive absolves her from any liability under the federal Fair Housing Act.,There are no violations of any federal laws under these facts.,"Under the federal Fair Housing Act, the woman was not permitted to state a racial or gender preference in the advertisement.",3,D,test
marketing, A key benefit of the STP process is:,More effective and efficient matching of company resources to targeted market segments promising the greatest ROMI.,Enhancing a company's competitive position by providing direction and focus for marketing strategies.,"Examining and identifying growth opportunities in the market through the identification of new customers, growth segments, or new product uses.",All of the above.,3,D,test
professional_law,"A young man suggested to his friend that they steal a large-screen TV from a neighbor's house. The friend wasangry with the young man and decided to use the opportunity to get even with him by having him arrested. Thefriend said he would help, and that night, he drove the young man to the neighbor's house. The young manbroke in while the friend remained outside. The friend called the police on his cell phone and then drove away. Police officers arrived at the scene just as the young man was carrying the TV out the back door. The friend is guilty of what offense in a common law jurisdiction?",No crime.,Conspiracy.,Burglary.,Conspiracy and larceny.,0,A,test
virology,Chemotherapy is now an option for clinical care of patients. Typical drug regimens now include which of the following?,Interferon and ribavirin,Lamivudine and ribavirin,Combinations of adefovir and entecavir and/or tenofovir (DAA),Interferons alone,1,B,test
high_school_government_and_politics,All of the following are specifically mentioned in the Constitution EXCEPT,judicial review,the national census,rules of impeachment,the State of the Union address,0,A,test
miscellaneous,Where are fireworks first known to have been developed?,Italy,China,Great Britain,Greece,1,B,test
business_ethics,"In a business to business context, conflicts of interest can arise in two main ways: conflict of _______ and _______ interests, which might arise, for example, when a firm is hired as a supplier of professional services by another firm or conflict of _________ and ________ interests, such as where an individual's interests may conflict with that of their employer.","Professional, Organizational, Personal, Organizational","Professional, Individual, Personal, Organizational","Individual, Organizational, Organizational, Professional","Individual, Professional, Organizational, Personal",0,A,test
high_school_biology,Which of the following is an incorrect statement about gel electrophoresis?,DNA migrates from positive charge to negative charge.,Smaller DNA travels faster.,The DNA migrates only when the current is running.,"The longer the current is running, the farther the DNA will travel.",0,A,test
