question,choice_A,choice_B,choice_C,choice_D,answer,category,split
"Who is attributed to the statement, ""Those who live for others live in true sense, the rest though live are like corpse""?", Swami Vivekananda, Ram Manohar Lohia, Sri Krishna, Dr Sarvpalli Radhakrishnan,A,,val
Who first challenged Freud’s perspective on the role of the ego?, Freud himself., None of the other choices, Jung., Erikson.,B,,val
Which one of the following is linked to the secondary processes?, ego, ego-ideal, id, superego,A,,val
"In Marxist theory, the idea of hegemony is linked to which concept?", Gramsci, Lenin, Mao, Marx,A,,val
Which process in Project Procurement Management includes analytical techniques as a tool and technique?, Close Procurements, Conduct Procurements, None of the other choices, Plan Procurement Management,B,,val
What kind of powder is utilized to develop fingerprints on dark or colored surfaces by creating a contrast with the background?, Fluorescent Powder, None of the other choices, Magnetic Powder, White Powder,D,,val
What is the paper strip used in partition chromatography known as?, Chroma, Chromatographing strip, Chromatograph, Chromatogram,B,,val
Which instruction is used to store the coprocessor's environment into a specified memory location?, FSTENV, FFREE, FLDENV, FINCSTP,D,,val
What is the value of 3a - 2b given that 5b = 6a + 16 and 9a = 7b - 20?, –8,4, –4,8,C,,val
What is the name of the Artificial Intelligence system created by Terry A. Winograd that enables interactive dialogue within the blocks-world domain?, None of the other choices, SIMD, SHRDLU, STUDENT,C,,val
What material is commonly used to make photoconductive cells?, Cadmium sulphide, Lithium, Germanium, Phosphorous,A,,val
The assertion that utility can be indirectly measured using the ‘Measuring rod of money’ is attributed to whom?, Marshall, Samuelson, Adam Smith, Lionel Robbins,A,,val
Which one of Johnson's works is an imitation of Juvenal's tenth satire?, None of the other choices, Vanity of Human Wishes, Rasselas, The Life of Savage,B,,val
With what does chromosomal DNA complex?," three types of histone as H1, H2A and H4"," five types of histone as H1, H2A, H2B, H3 and H4", two types of histone as H1 and H4," four types of histone as H1, H2A, H3 and H4",B,,val
"Consider a wire carrying a constant current \(I\), placed in a uniform magnetic field \(B\) that is perpendicular to its length. Focus on the charges within the wire. Given that magnetic forces do no work, this implies that..."," if the wire moves under the influence of B, no work is done by the force"," if the wire moves under the influence of B, no work is done by the magnetic force on the ions, assumed fixed within the wire", None of the other choices, motion of charges inside the conductor is unaffected by B since they do not absorb energy,C,,val
Efforts to empirically validate Jung’s theory have primarily focused on which of his concepts?, the collective unconscious., None of the other choices, entropy., individuation.,B,,val
What is typically regarded as a crucial component of an infant’s initial psychosocial development?, Becoming aware of pleasurable genital sensations and sharing these sensations with others," Becoming purposeful, goal-oriented, and assertive, which leads to conflicts with parents", Learning to trust a primary caregiver and one’s own ability to make things happen, Learning to control bodily sensations or developing shame if unsuccessful,C,,val
"According to Article 284 of the Indian Constitution, where should all money received by or deposited with any officer working for the Union's affairs, in his official capacity, be deposited, excluding revenues or public money raised or received by the Government?", The Consolidated Fund., The Current Account., The Contingency Fund., The Public Account.,D,,val
Which basic demand pattern is challenging to forecast due to the influence of national or international events or the absence of historical demand data spanning from product development to decline?, seasonal, None of the other choices, random, horizontal,B,,val
"Dr. Sullivan is running a clinical trial to assess the effect of vitamin Z on the test performance of students in an introductory college nutrition course. He randomly assigns students to either the control group or the experimental group by drawing names from a hat. The experimental group takes a vitamin Z capsule, while the control group takes a ""sugar pill"" that is indistinguishable from the vitamin Z capsule. Neither Dr. Sullivan nor the participants know who receives which treatment. What is the BEST description of this experiment?"," single-blind, random selection."," double-blind, random selection, placebo-controlled.", None of the other choices," single-blind, random selection, placebo-controlled.",B,,val
Which scheme has not been integrated into the Swarna Jayanti Gramin Swarojgar Yojana?, Training for Rural Youth Self – employment Mission, District poverty Alleviation Program, Development of Rural Women and Children Program, Integrated Rural Development Program,B,,val
Which of the following individuals was not involved in the establishment of the U.P. Kisan Sabha in February 1918?, Indra Narain Dwivedi, None of the other choices, Madan Mohan Malviya, Jawaharlal Nehru,D,,val
Which of the following hormones is not produced by the human placenta?, Progesterone, Estrogens, hCG, LH,D,,val
What percentage of India's total merchandise imports was comprised of food imports in 1961?,19.10%,3.90%,15.40%,20.80%,A,,val
What is the primary source of energy for a star as it expands into a red giant?, helium fusion in the central core., gravitational contraction., None of the other choices, hydrogen fusion in a shell surrounding the central core.,D,,val
Which of the following was not a characteristic of the flourishing economy after World War II?, Detente, Baby Boom, GI Bill, NDEA,D,,val
"What was India's position in the 2018 Global Democracy Index, as compiled by the Economist Intelligence Unit (EIU)?", 38th, 42nd, 52nd, 68th,B,,val
Which process is utilized to create small circuits in the micron range on a silicon wafer?, Photo etching, None of the other choices, Coordinatograph, Ion implantation,A,,val
The involvement of two distinct photosystems in electron flow is a characteristic of which process?, anoxygenic phototrophs., purple bacteria., None of the other choices, oxygenic phototrophs.,D,,val
Who is the author of ‘The Khadias’?, S.C. Roy, Dr. K. N. Singh, Dr. K.S. Singh, Dr. L.P. Vidyarthi,A,,val
"The ""witches broom"" condition in legumes is caused by ________", mycoplasma, Bacteria, Virus, Protozoa,A,,val
Which type of cell plays the primary role in regulating neurotransmitter concentrations within the synaptic cleft to ensure proper neuronal function?, astrocytes, oligodendrocytes, satellite cells, Schwann cells,A,,val
When is the average product of labor at its peak in relation to the marginal product of labor?, Is maximized., Equals zero., Equals the average product of labour., None of these.,C,,val
How frequently do major epidemics of influenza A occur?, 10-15 years, 1 year, 2-3 years, 20-25 years,D,,val
What should be the primary objective of a financial manager in a profit-seeking organization?, have healthy cash flow, None of the other choices, increase sales and profit, maximize market share,B,,val
Which intestinal parasite causes a blockage of the intestinal passage and has eggs that are excreted with the faeces of an infected person?, Wuchereria bancrofti, Ascaris, Epidermophyton, Microsporum,B,,val
"The selling price of an item, including a sales tax of 10%, is ₹616. If the shopkeeper has gained a profit of 12%, what is the cost price of the item?", ₹ 600, ₹ 500, ₹ 515, None of the other choices,B,,val
