subject,question,choice_A,choice_B,choice_C,choice_D,answer,answer_letter,error_type,correct_answer,potential_reason,source
high_school_physics,Spring scales are used to measure the net force applied to an object; a sonic motion detector is used to measure the object’s resulting acceleration. A graph is constructed with the net force on the vertical axis and the acceleration on the horizontal axis. Which of the following quantities is directly measured using the slope of this graph?,Gravitational mass,Weight,Velocity,Inertial mass,3,D,ok,,,https://www.crackap.com/ap/physics-1/question-103.html
marketing,These sell directly to end consumers and may purchase directly from manufacturers and/or deal with wholesalers:,Distributors.,Franchising.,Merchant.,Retailers.,3,D,ok,,,https://www.collegesidekick.com/study-docs/5563078
human_sexuality,Approximately how many sperm are in the typical ejaculate?,"300,000",300 million,3 million,30 million,1,B,ok,,,https://pdfcoffee.com/nur-194-ob-quiz-p1-p2-rbe-pdf-free.html
elementary_mathematics,Maria spends $9 on lunch each day she is at work. To find how much money she spends on lunch during a 5-day work week she multiplies 5 × 9. How much money does Maria spend on lunch during a 5-day work week?,$40 ,$45 ,$50 ,$59 ,1,B,ok,1,,
college_biology,Which of the following is NOT a source of atmospheric carbon?,Respiration,Photosynthesis,Bacterial decomposition,Combustion of fossil fuels,1,B,ok,,,expert
high_school_psychology,All of the following are conditions sanctioned by the APA regarding the use of deception in a study EXCEPT,the research is of great importance and cannot be conducted without the use of deception,participants are expected to find the procedures reasonable upon being informed of them,participants must be allowed to withdraw from the experiment at any time,the research must be conducted as a double-blind study,3,D,ok,,,https://www.crackap.com/ap/psychology/question-44-answer-and-explanation.html
formal_logic," Construct a complete truth table for the following pairs of propositions. Then, using the truth tables, determine whether the statements are logically equivalent or contradictory. If neither, determine whether they are consistent or inconsistent. Justify your answers.
I ≡ ~H and ~(~I ≡ H)",Logically equivalent,Contradictory,"Neither logically equivalent nor contradictory, but consistent",Inconsistent,1,B,ok,,,Expert
computer_security,The ______________ is categorized as an unknown segment of the Deep Web which has been purposely kept hidden & is inaccessible using standard web browsers.,Haunted web,World Wide Web,Dark web,Surface web,2,C,ok,,,"https://www.sanfoundry.com/cyber-security-questions-answers-deep-web-darknet/#:~:text=Explanation%3A%20The%20Dark%20web%20is,inaccessible%20using%20standard%20web%20browsers."
anatomy,"In relation to the rib, the corresponding intercostal nerve lies",deep to its superior border.,superficial to its superior border.,deep to its inferior border.,superficial to its inferior border.,2,C,ok,,,https://global.oup.com/uk/orc/dentistry/atkinson/student/mcqs/ch10/
college_biology,"During the mammalian cardiac cycle, a volume of blood equivalent to ventricular stroke volume is transferred from the more compliant venous side to the less compliant arterial side of the circulation. In terms of pressures within the venous and arterial compartments, this transfer results in",no change in pressure in either compartment,no effect on venous pressure and a small increase in arterial pressure,an increase in venous pressure and an equal but opposite decrease in arterial pressure,little effect on venous pressure and a large increase in arterial pressure,3,D,ok,,,https://maktabkhooneh.org/mag/wp-content/uploads/2020/12/practice_book_biology.pdf
