id,source,group,subject,level,language,subset,question,choice_A,choice_B,choice_C,choice_D,choice_E,answer,split
9689,https://ymnik.kz/tests_old/history/?v=59,Humanities,Kazakh_History,High School,Russian,Kazakh History (High School in rus),"Выдающийся востоковед, академик, опубликовавший серию текстов «Образцы народной литературы тюркских племен»:",П.П.Семенов-Тянь-Шанский.,Н.А.Северцов.,А.И.Добромыслов.,И.В.Мушкетов.,В.В.Радлов.,E,test
693,https://ymnik.kz/tests_old/biology_kz/?v=34,STEM,Biology,High School,Kazakh,Biology (High School in kaz),Дәрумендер (витаминдер)... түзілуіне қатысады.,тұздардың,гормондардың,көмірсулардың,майлардың,ферменттердің,E,test
10829,https://itest.kz/kz/endless,Language,Kazakh_Language,High School,Kazakh,Kazakh Language (High School in kaz),"Көп нүктенің орнына қай еліктеу сөз қойылатынын белгілеңіз. ...-... басқан, ... басқан, Шудаларын шаң басқан.","Гүрс-гүрс, гүрс","Тарс-тарс, тарс","Елп-елп, елп","Маң-маң, маң",,D,test
467,https://ymnik.kz/tests_old/biology_kz/?v=5,STEM,Biology,High School,Kazakh,Biology (High School in kaz),"Атақты селекционер, ғалым:",С.П.Боткин.,И.П.Павлов.,И.В.Мичурин.,И.И.Мечников.,И.М.Сеченов.,C,test
17964,https://itest.kz/ru/endless,STEM,Physics,High School,Russian,Physics (High School in rus),"Концентрация молекул паров ртути в одном кубическом метре воздуха \(3\cdot10^{16}\: м^{-3} \). Масса ртути в воздухе 
\((M=200\cdot10^{-3}\: кг/моль, \: N_A=6\cdot10^{23}\: моль^{-1})\)",\(10^{-8}\:кг\),\(10^{-6}\:кг\),\(10^{-9}\:кг\),\(10^{-10}\:кг\),,A,test
10986,https://ymnik.kz/tests_old/kazakh_kz/?v=38,Language,Kazakh_Language,High School,Kazakh,Kazakh Language (High School in kaz),"Баяндауыш құрамында келетін ""жөн"" сөзі қайсысына тән.",Жақты.,Толымсыз,Атаулы.,Жақсыз.,Толымды.,D,test
10648,https://itest.kz/ru/endless,Humanities,Kazakh_History,High School,Russian,Kazakh History (High School in rus),"Казахское ханство относительно сильно ук­репилось экономически, из-за чего привлекло к нему и другие разрозненные ка­захские племена к",Концу XIV века,Концу XVII века,Концу XVI века,Концу XV века,,D,test
7272,https://ymnik.kz/tests_old/geography/?v=10,Social Science,Geography,High School,Russian,Geography (High School in rus),Ильменский заповедник находится на,п-ове Таймыр.,Кольском п-ове.,Кавказе.,Урале.,Дальнем Востоке.,D,test
11485,https://ymnik.kz/tests_old/kazakh_kz/?v=38,Language,Kazakh_Language,High School,Kazakh,Kazakh Language (High School in kaz),“Айгүлдің әжесі”тіркесінің лексика-грамматикалық мағынасын айқындаңыз.,Туыстық мағына.,Көлемдік мағына.,Қимыл-сындық мағына.,Бүтіннің бөлшекке қатысы.,Істің мақсаты.,A,test
18457,https://itest.kz/ru/endless,STEM,Physics,High School,Russian,Physics (High School in rus),Беспорядочное движение молекул в теле называется,Испарение,Тепловое движение,Кипение,Сублимация,,B,test
