question,тақырып,таңдаулар,жауап,sheet
 Табиғи сұрыпталудың тікелей әсер ететін ең кіші бірлігі қайсысы?, орта мектеп_биологиясы,"[""түрдің ген жиілігі"" ""популяцияның ген жиілігі"" ""жеке тұлғаның геномы"" ""жеке тұлғаның фенотипі""]",3,Sheet1
 Егде жастағы адамдардың оптимизмнің жоғары деңгейін көрсетуінің бір себебі -, адам_қартаюы, ['Көптеген пессимистер жас кезінде қайтыс болады' 'Олар не болып жатқанын шынымен білмейді' 'Бұл деменцияның ескерту белгісі болуы мүмкін' 'Біздің өлшемдеріміздің жарамдылығы төмен'],0,Sheet1
 II ТИПТІ ҚАТЕЛІК – жалған нөлдік гипотезаны қабылдамау. Дәреже – II типті қателік жасамау ықтималдығы және бірнеше факторларға байланысты. Дәрежеге әсер ететін келесі факторлардың қайсысы дұрыс анықталмаған?, кәсіби_психология," ['Үлгі өлшемі→ қуат үлгі өлшемінің ұлғаюымен төмендейді' 'Альфа→ қуат альфа деңгейі жоғарылаған сайын артады' '1-жақты тесттердің қуаты жоғарырақ' 'популяциялар арасындағы айырмашылықтар артуды білдіреді, қуат артады']",0,Sheet1
" Сатып алу мінез-құлқына көзқарастардың әртүрлілігін атап өту үшін Сван мен Вестерлунд (2009) ұйымдар қолданатын алты негізгі сатып алу стратегиясын анықтайды. __________ стратегиясы сатып алушының тиімділік бағытын білдіреді, мұндағы негізгі сатып алу мақсаты ұсыныс үшін ең төменгі бағаны іздеу болып табылады. Бұған қол жеткізу үшін сатып алушы бірнеше әлеуетті жеткізушілер арасында бәсекелестікті белсенді түрде ынталандырады.", маркетинг," [""'Келесі' сатып алу."" ""'Адаптер' сатып алу."" ""Бағаны азайтушы сатып алу."" ""'Проектор' сатып алу.""]",2,Sheet1
" Төмендегілердің барлығы түраралық көбеюдің алдын алатын оқиғалардың мысалдары болып табылады, ТЕК БАСҚАСЫ", орта мектеп_биологиясы, ['әлеуетті жұптар географиялық оқшаулануды бастан кешіреді' 'әлеуетті жұптар мінез-құлық оқшаулануын бастан кешіреді' 'әлеуетті жұптардың кездесу рәсімдері әртүрлі' 'әлеуетті жұптардың көбею маусымдары ұқсас'],3,Sheet1
 Шың ағын өлшегіштерінің рекорды:, клиникалық_білім, ['ашық ауыз арқылы өкпеден ауаның ең төменгі жылдамдығы.' 'мәжбүрлі тыныс шығару көлемі.' 'мәжбүрлі тіршілік сыйымдылығы.' 'ашық ауыз арқылы өкпеден ауаның ең жоғары жылдамдығы.'],3,Sheet1
 Федералдық резерв жүйесі рецессияға қарсы тұру үшін келесі саясаттардың қайсысын қолдануы мүмкін?, орта мектеп_макроэкономикасы, ['Салықтардың төмендеуі' 'Мемлекеттік шығындардың өсуі' 'Дисконт мөлшерлемесінің өсуі' 'Облигацияларды сатып алу'],3,Sheet1
" Мемлекеттік шығындардың өзгеруі нақты өнімге қысқа мерзімді әсер етеді, егер:", орта мектеп_макроэкономикасы, ['тұтынуға шекті бейімділік төмен.' 'ақша айналымының жылдамдығы төмен.' 'ақша айналымының жылдамдығы жоғары.' 'тұтынуға шекті бейімділік жоғары.'],3,Sheet1
 Тегіс беттен шағылысқан жарық өзгеріске ұшырайды, тұжырымдамалық_физика, ['жиілік.' 'толқын ұзындығы.' 'Мұлардың барлығы.' 'Ешқайсысы емес.'],3,Sheet1
Хлор газы ең оңай әрекеттеседі, орта мектеп химиясы, ['толуол' 'этилен' 'этан қышқылы' 'этан']],1,Sheet1
 Тәуелсіздіктің хи-квадрат сынағы 3 × 4 шартты кестеде орындалуы керек. Бұл сынақтың қанша еркіндік дәрежесі бар?, орта мектеп статистикасы, ['6' '8' '10' '11'],0,Sheet1
"2020 жылғы жағдай бойынша АҚШ-тағы қарапайым моральдық стандарттарға сәйкес, осы екі сценарийдің қайсысы үшін басты кейіпкер (мен/мен/менің сөздерімді қолданатын) моральдық тұрғыдан дұрыс емес нәрсе жасайды? 1-жағдай | Мен көңіл көтеретін заттарды жасөспірім қызымның шкафына жасырдым. 2-жағдай | Мен шіркеуде порно көріп отырған жерімнен ұсталдым.", моральдық_сценарийлер," ['Қате, қате' 'Қате, қате емес' 'Қате емес, қате' 'Қате емес, қате емес' 'Қате емес, қате емес']",0,Sheet1
"Бұл сұрақ келесі ақпаратқа қатысты. «Біздің істеріміз дағдарысқа тез жақындап келеді деген сіздің пікіріңіз менің пікіріммен сәйкес келеді. Оқиғаның не болатыны да менің болжауымнан тыс. Бізде түзететін қателіктер бар. Біз конфедерациямызды құруда адам табиғаты туралы тым жақсы пікірде болған шығармыз. Тәжірибе бізге мәжбүрлеуші күштің араласуынсыз адамдар өз пайдасына ең жақсы есептелген шараларды қабылдамайтынын және орындауға енгізбейтінін көрсетті. Мен бүкіл Одақты штат үкіметтерінің билігі бірнеше штаттарға таралғандай қуатты түрде жайлаған күшке ие болмай, ұлт ретінде ұзақ өмір сүре аламыз деп ойламаймын... «Бірнеше жыл ішінде қандай таңғажайып өзгерістер жасай алады. Маған тіпті құрметті тұлғалар да монархиялық басқару формасы туралы қорқынышсыз айтады деп айтылды... Жауларымыздың өз болжамдарын растауы қандай жеңіс! Деспотизмді жақтаушылар үшін біздің өзімізді басқара алмайтынымызды және тең бостандық негізінде құрылған жүйелердің тек идеалды және қате екенін анықтау қандай жеңіс...» ."" —Джордж Вашингтон, Джон Джейге хат, 1786 жылғы 1 тамыз Хаттың мәнмәтініне сүйене отырып, Вашингтонның «Біз адам табиғаты туралы тым жақсы пікірде болған шығармыз» деген сөз тіркесінің мағынасын төмендегілердің қайсысы ең жақсы сипаттайды?",жоғары мектептің_АҚШ_тарихы, [«Қазіргі деистік рухани сенімдер кальвинистік «түпнұсқа күнә» ұғымдарынан бас тартуымен қателесті». «Америка Құрама Штаттары Париж келісімінің (1783) шарттарын орындау тұрғысынан Ұлыбританияның ізгі ниеті мен абыройын асыра бағалады». «АҚШ армиясы Огайо алқабы мен Ұлы көлдер аймақтарындағы американдық үндістердің ақ қоныстанушылармен қатар тұруға дайындығын дұрыс түсінбеді». «Конфедерация баптарының негізін қалаушылар жаңа республикада демократияның тым жоғары деңгейіне жол беру арқылы қателік жіберді».,3,Sheet1
 ФРЖ дисконттық мөлшерлемені төмендеткен кезде оның мақсаты,орта мектеп_макроэкономикасы, ['депозиттік мекемелерге қарыз алу бойынша жеңілдік беру.' 'қаржы нарықтарындағы қатысушыларға рецессия келе жатқаны туралы сигнал беру.' 'қаржы нарықтарындағы қатысушыларға инфляциялық кезең келе жатқаны туралы сигнал беру.' 'ақша массасы кеңеюі үшін депозиттік мекемелердің қарыз алуын ынталандыру.'],3,Sheet1
 Ұйымның стратегиялық бағытының негізінде қандай негізгі философия жатыр?, басқару, ['Көрініс туралы мәлімдеме' 'Миссия туралы мәлімдеме' 'Стратегия туралы мәлімдеме' 'Бизнес туралы мәлімдеме'],1,Sheet1
