subject,question,choice_A,choice_B,choice_C,choice_D,answer,answer_letter,split,instance,generated_options,option_a,option_b,option_c,option_d
global_facts,"As of 2017, how many people in the world have some access to electricity?",60%,70%,80%,90%,2,C,test,"question: As of 2017, how many people in the world have some access to electricity?","A)
question: As of 2017, how many people worldwide have some access to electricity?

B)
question: As of 2017, how many individuals in the world have some access to electricity?

C)
question: As of 2017, how many people across the globe have some access to electricity?

D)
question: As of 2017, how many persons in the world have some access to electricity?","question: As of 2017, how many people worldwide have some access to electricity?","question: As of 2017, how many individuals in the world have some access to electricity?","question: As of 2017, how many people across the globe have some access to electricity?","question: As of 2017, how many persons in the world have some access to electricity?"
professional_law,"A state's constitution reserves to the people of each municipality in the state the power of referendum with respect to all questions that the municipality is authorized to control by legislation. A real estate developer applied for a zoning change to permit construction of a water park on land he owned in a city within the state. While the application was pending, the city's charter was amended by popular vote so as to require that any changes in land use agreed to by the city council be approved by a 55% vote in a referendum. The city planning commission and the city council both approved the proposed zoning change. However, the commission rejected the developer's subsequent application for ""recreational area"" approval for the proposed water park on the grounds that the council's rezoning action had not been submitted to a referendum. Assume that while the action was pending in the state court, the proposed zoning change was defeated in a referendum. Which would be the most applicable rule of constitutional law with respect to the referendum procedure when applied to a rezoning ordinance?",The referendum procedure as a basic instrument of the democratic process does not violate the due process clause of the Fourteenth Amendment.,The referendum procedure is arbitrary and capricious and thus should be held invalid as an unlawful delegation of legislative power.,The referendum procedure is violative of the due process clause of the FourteenthAmendment.,The referendum procedure in this context is invalid as against publicpolicy.,0,A,test,"question: A state's constitution reserves to the people of each municipality in the state the power of referendum with respect to all questions that the municipality is authorized to control by legislation. A real estate developer applied for a zoning change to permit construction of a water park on land he owned in a city within the state. While the application was pending, the city's charter was amended by popular vote so as to require that any changes in land use agreed to by the city council be approved by a 55% vote in a referendum. The city planning commission and the city council both approved the proposed zoning change. However, the commission rejected the developer's subsequent application for ""recreational area"" approval for the proposed water park on the grounds that the council's rezoning action had not been submitted to a referendum. Assume that while the action was pending in the state court, the proposed zoning change was defeated in a referendum. Which would be the most applicable rule of constitutional law with respect to the referendum procedure when applied to a rezoning ordinance?","A)
question: A state's constitution vests in the citizens of each municipality in the state the power of referendum with respect to all questions that the municipality is authorized to regulate by statute. A real estate developer sought a zoning amendment to allow construction of a water park on land he owned in a city within the state. While the application was pending, the city's charter was amended by popular vote so as to require that any changes in land use approved by the city council be ratified by a 55% vote in a referendum. The city planning commission and the city council both approved the proposed zoning amendment. However, the commission rejected the developer's subsequent application for ""recreational area"" approval for the proposed water park on the grounds that the council's rezoning action had not been submitted to a referendum. Assume that while the action was pending in the state court, the proposed zoning amendment was defeated in a referendum. Which would be the most applicable rule of constitutional law with respect to the referendum procedure when applied to a rezoning ordinance?

B)
question: A state's constitution confers on the residents of each municipality in the state the power of referendum with respect to all questions that the municipality is authorized to govern by law. A real estate developer filed for a zoning change to permit construction of a water park on land he owned in a city within the state. While the application was pending, the city's charter was altered by popular vote so as to require that any modifications in land use approved by the city council be sanctioned by a 55% vote in a referendum. The city planning commission and the city council both approved the proposed zoning change. However, the commission refused the developer's subsequent application for ""recreational area"" approval for the proposed water park on the grounds that the council's rezoning action had not been submitted to a referendum. Assume that while the action was pending in the state court, the proposed zoning change was defeated in a referendum. Which would be the most applicable rule of constitutional law with respect to the referendum procedure when applied to a rezoning ordinance?

C)
question: A state's constitution allocates to the populace of each municipal corporation in the state the referendum authority with respect to all questions that the municipality is empowered to regulate by statute. A real estate developer petitioned for a rezoning to allow the construction of a water park on property he owned in a city within the state. While the application was pending, the city's charter was amended by popular vote so as to require that any changes in land use concurred in by the city council be approved by a 55% vote in a referendum. The city planning commission and the city council both endorsed the proposed rezoning. However, the commission rejected the developer's subsequent application for ""recreational area"" approval for the proposed water park on the grounds that the council's rezoning action had not been submitted to a referendum. Assume that while the action was pending in the state court, the proposed rezoning was defeated in a referendum. Which would be the most applicable rule of constitutional law with respect to the referendum procedure when applied to a rezoning ordinance?

D)
question: A state's constitution grants to the inhabitants of each municipality in the state the referendum power with respect to all questions that the municipality is authorized to oversee by statute. A property developer sought a zoning amendment to permit the building of a water park on a parcel he owned in a city within the state. While the application remained pending, the city's charter was revised by popular vote so as to require that any changes in land use agreed to by the city council be approved by a 55% vote in a referendum. The city planning commission and the city council both ratified the proposed zoning amendment. However, the commission denied the developer's later application for ""recreational area"" approval for the proposed water park on the grounds that the council's rezoning action had not been submitted to a referendum. Assume that while the action was pending in the state court, the proposed zoning amendment was defeated in a referendum. Which would be the most applicable rule of constitutional law with respect to the referendum procedure when applied to a rezoning ordinance?","question: A state's constitution vests in the citizens of each municipality in the state the power of referendum with respect to all questions that the municipality is authorized to regulate by statute. A real estate developer sought a zoning amendment to allow construction of a water park on land he owned in a city within the state. While the application was pending, the city's charter was amended by popular vote so as to require that any changes in land use approved by the city council be ratified by a 55% vote in a referendum. The city planning commission and the city council both approved the proposed zoning amendment. However, the commission rejected the developer's subsequent application for ""recreational area"" approval for the proposed water park on the grounds that the council's rezoning action had not been submitted to a referendum. Assume that while the action was pending in the state court, the proposed zoning amendment was defeated in a referendum. Which would be the most applicable rule of constitutional law with respect to the referendum procedure when applied to a rezoning ordinance?","question: A state's constitution confers on the residents of each municipality in the state the power of referendum with respect to all questions that the municipality is authorized to govern by law. A real estate developer filed for a zoning change to permit construction of a water park on land he owned in a city within the state. While the application was pending, the city's charter was altered by popular vote so as to require that any modifications in land use approved by the city council be sanctioned by a 55% vote in a referendum. The city planning commission and the city council both approved the proposed zoning change. However, the commission refused the developer's subsequent application for ""recreational area"" approval for the proposed water park on the grounds that the council's rezoning action had not been submitted to a referendum. Assume that while the action was pending in the state court, the proposed zoning change was defeated in a referendum. Which would be the most applicable rule of constitutional law with respect to the referendum procedure when applied to a rezoning ordinance?","question: A state's constitution allocates to the populace of each municipal corporation in the state the referendum authority with respect to all questions that the municipality is empowered to regulate by statute. A real estate developer petitioned for a rezoning to allow the construction of a water park on property he owned in a city within the state. While the application was pending, the city's charter was amended by popular vote so as to require that any changes in land use concurred in by the city council be approved by a 55% vote in a referendum. The city planning commission and the city council both endorsed the proposed rezoning. However, the commission rejected the developer's subsequent application for ""recreational area"" approval for the proposed water park on the grounds that the council's rezoning action had not been submitted to a referendum. Assume that while the action was pending in the state court, the proposed rezoning was defeated in a referendum. Which would be the most applicable rule of constitutional law with respect to the referendum procedure when applied to a rezoning ordinance?","question: A state's constitution grants to the inhabitants of each municipality in the state the referendum power with respect to all questions that the municipality is authorized to oversee by statute. A property developer sought a zoning amendment to permit the building of a water park on a parcel he owned in a city within the state. While the application remained pending, the city's charter was revised by popular vote so as to require that any changes in land use agreed to by the city council be approved by a 55% vote in a referendum. The city planning commission and the city council both ratified the proposed zoning amendment. However, the commission denied the developer's later application for ""recreational area"" approval for the proposed water park on the grounds that the council's rezoning action had not been submitted to a referendum. Assume that while the action was pending in the state court, the proposed zoning amendment was defeated in a referendum. Which would be the most applicable rule of constitutional law with respect to the referendum procedure when applied to a rezoning ordinance?"
professional_law,"A manufacturer of widgets sent a letter to an international widget retailer offering to sell ten truckloads of construction-quality widgets for $1,000 per truck. The retailer emailed a note back saying ""Please send 10 truckloads as promised."" No shipment was sent, but four months later when the market demand for widgets skyrocketed, the retailer sued the manufacturer for breach claiming that the retailer suffered damages by not having received the shipment of ten trucks as agreed. Does the retailer have a legal right to collect damages under these facts?","Yes, there is a specific and detailed enough offer, followed by an unequivocal acceptance, indicating an intent to form a contract.","No, the parties do not set a date for delivery, which always invalidates a contract between merchants for the delivery of goods.","No, the retailer never called back and asked for the widgets, which means that the contract was not finally confirmed and legalized.","Yes, the retailer is entitled to collect damages because the manufacturer violated the doctrine of avoidable consequences.",0,A,test,"question: A manufacturer of widgets sent a letter to an international widget retailer offering to sell ten truckloads of construction-quality widgets for $1,000 per truck. The retailer emailed a note back saying ""Please send 10 truckloads as promised."" No shipment was sent, but four months later when the market demand for widgets skyrocketed, the retailer sued the manufacturer for breach claiming that the retailer suffered damages by not having received the shipment of ten trucks as agreed. Does the retailer have a legal right to collect damages under these facts?","A)
question: A producer of widgets mailed a letter to an international widget retailer proposing to sell ten truckloads of construction-grade widgets for $1,000 per truck. The retailer emailed a note back saying ""Please send 10 truckloads as promised."" No shipment was sent, but four months later when the market demand for widgets surged, the retailer sued the producer for breach claiming that the retailer suffered damages by not having received the shipment of ten trucks as agreed. Does the retailer have a legal right to collect damages under these facts?

B)
question: A maker of widgets sent correspondence to a foreign widget retailer offering to sell ten truckloads of construction-quality widgets for $1,000 per truck. The retailer sent an email in reply saying ""Please send 10 truckloads as promised."" No shipment was sent, but four months later when the market demand for widgets exploded, the retailer sued the maker for breach alleging that the retailer suffered damages by not having received the shipment of ten trucks as agreed. Does the retailer have a legal right to collect damages under these facts?

C)
question: A manufacturer of widgets issued a letter to a global widget retailer offering to sell ten truckloads of construction-quality widgets for $1,000 per truck. The retailer emailed a reply saying ""Please send 10 truckloads as promised."" No shipment was sent, but four months later when the market demand for widgets soared, the retailer sued the manufacturer for breach claiming that the retailer sustained damages by not having received the shipment of ten trucks as agreed. Does the retailer have a legal right to collect damages under these facts?

D)
question: A fabricator of widgets delivered a letter to an international widget merchant offering to sell ten truckloads of construction-quality widgets for $1,000 per truck. The retailer emailed a note back saying ""Please send 10 truckloads as promised."" No shipment was sent, but four months later when the market demand for widgets spiked, the retailer sued the fabricator for breach asserting that the retailer suffered damages by not having received the shipment of ten trucks as agreed. Does the retailer have a legal right to collect damages under these facts?","question: A producer of widgets mailed a letter to an international widget retailer proposing to sell ten truckloads of construction-grade widgets for $1,000 per truck. The retailer emailed a note back saying ""Please send 10 truckloads as promised."" No shipment was sent, but four months later when the market demand for widgets surged, the retailer sued the producer for breach claiming that the retailer suffered damages by not having received the shipment of ten trucks as agreed. Does the retailer have a legal right to collect damages under these facts?","question: A maker of widgets sent correspondence to a foreign widget retailer offering to sell ten truckloads of construction-quality widgets for $1,000 per truck. The retailer sent an email in reply saying ""Please send 10 truckloads as promised."" No shipment was sent, but four months later when the market demand for widgets exploded, the retailer sued the maker for breach alleging that the retailer suffered damages by not having received the shipment of ten trucks as agreed. Does the retailer have a legal right to collect damages under these facts?","question: A manufacturer of widgets issued a letter to a global widget retailer offering to sell ten truckloads of construction-quality widgets for $1,000 per truck. The retailer emailed a reply saying ""Please send 10 truckloads as promised."" No shipment was sent, but four months later when the market demand for widgets soared, the retailer sued the manufacturer for breach claiming that the retailer sustained damages by not having received the shipment of ten trucks as agreed. Does the retailer have a legal right to collect damages under these facts?","question: A fabricator of widgets delivered a letter to an international widget merchant offering to sell ten truckloads of construction-quality widgets for $1,000 per truck. The retailer emailed a note back saying ""Please send 10 truckloads as promised."" No shipment was sent, but four months later when the market demand for widgets spiked, the retailer sued the fabricator for breach asserting that the retailer suffered damages by not having received the shipment of ten trucks as agreed. Does the retailer have a legal right to collect damages under these facts?"
college_medicine,Karen is a college student working on developing a stronger sense of self-esteem and self-efficacy with her therapist. She has noticed a great change in her ability to handle situations after 3 months of therapy. Which of the following would NOT be a strategy that her therapist would ask her to employ to raise her sense of self-efficacy?,Seek positive feedback from friends.,Put in daily practice on the tasks she wishes to improve on.,Find others her age and ability who excel at tasks she is interested in.,Avoid potential pitfalls by withholding from tasks she is not proficient in.,3,D,test,question: Karen is a college student working on developing a stronger sense of self-esteem and self-efficacy with her therapist. She has noticed a great change in her ability to handle situations after 3 months of therapy. Which of the following would NOT be a strategy that her therapist would ask her to employ to raise her sense of self-efficacy?,"A)
question: Karina is a college student working on developing a stronger sense of self-worth and self-efficacy with her therapist. She has noticed a great change in her ability to handle situations after 3 months of therapy. Which of the following would NOT be a strategy that her therapist would ask her to employ to raise her sense of self-efficacy?

B)
question: Kara is a university student working to develop a greater sense of self-worth and self-efficacy with her therapist. She has noticed a significant improvement in her ability to handle situations after 3 months of therapy. Which of the following would NOT be a strategy that her therapist would ask her to employ to raise her sense of self-efficacy?

C)
question: Keira is a college pupil working on developing a firmer sense of self-regard and self-efficacy with her therapist. She has observed a marked change in her ability to handle situations after 3 months of therapy. Which of the following would NOT be a strategy that her therapist would ask her to employ to raise her sense of self-efficacy?

D)
question: Karin is a university student actively developing a stronger sense of self-esteem and confidence in her abilities with her therapist. She has noticed a great change in her ability to handle situations after 3 months of therapy. Which of the following would NOT be a strategy that her therapist would ask her to employ to raise her sense of self-efficacy?",question: Karina is a college student working on developing a stronger sense of self-worth and self-efficacy with her therapist. She has noticed a great change in her ability to handle situations after 3 months of therapy. Which of the following would NOT be a strategy that her therapist would ask her to employ to raise her sense of self-efficacy?,question: Kara is a university student working to develop a greater sense of self-worth and self-efficacy with her therapist. She has noticed a significant improvement in her ability to handle situations after 3 months of therapy. Which of the following would NOT be a strategy that her therapist would ask her to employ to raise her sense of self-efficacy?,question: Keira is a college pupil working on developing a firmer sense of self-regard and self-efficacy with her therapist. She has observed a marked change in her ability to handle situations after 3 months of therapy. Which of the following would NOT be a strategy that her therapist would ask her to employ to raise her sense of self-efficacy?,question: Karin is a university student actively developing a stronger sense of self-esteem and confidence in her abilities with her therapist. She has noticed a great change in her ability to handle situations after 3 months of therapy. Which of the following would NOT be a strategy that her therapist would ask her to employ to raise her sense of self-efficacy?
human_aging,Research has offered some longitudinal as well as cross sectional support for the theory put forth by,Peck,Foos,Levenson,Erikson,3,D,test,question: Research has offered some longitudinal as well as cross sectional support for the theory put forth by,"A)
question: Investigation has provided some longitudinal as well as cross sectional support for the theory put forth by

B)
question: Studies have yielded some longitudinal as well as cross sectional support for the theory put forth by

C)
question: Research has provided some longitudinal as well as cross sectional evidence for the theory put forth by

D)
question: Inquiry has offered some longitudinal as well as cross sectional support for the theory put forth by",question: Investigation has provided some longitudinal as well as cross sectional support for the theory put forth by,question: Studies have yielded some longitudinal as well as cross sectional support for the theory put forth by,question: Research has provided some longitudinal as well as cross sectional evidence for the theory put forth by,question: Inquiry has offered some longitudinal as well as cross sectional support for the theory put forth by
high_school_macroeconomics,The domestic purchasing power of a currency,varies directly with the cost of living,is inversely related to the savings rate,is inversely related to the price level,varies directly with economic growth,2,C,test,question: The domestic purchasing power of a currency,"A)
question: The internal buying capacity of a currency

B)
question: The home buying ability of a currency

C)
question: The national purchasing capacity of a currency

D)
question: The internal purchasing strength of a currency",question: The internal buying capacity of a currency,question: The home buying ability of a currency,question: The national purchasing capacity of a currency,question: The internal purchasing strength of a currency
professional_law,"A woman and a defendant entered into an arrangement where the woman promised to pay the defendant $10,000 to act as a surrogate mother. In return, the defendant agreed to be implanted with the woman's embryo and carry the baby to term. The woman paid the defendant the $10,000 upfront. During the seventh month of the pregnancy, the defendant changed her mind and decided to keep the child herself. The defendant moved out of state and gave birth to the baby, which she refuses to turn over to the woman. The defendant is guilty of",no crime.,embezzlement.,kidnapping.,false pretenses.,0,A,validation,"question: A woman and a defendant entered into an arrangement where the woman promised to pay the defendant $10,000 to act as a surrogate mother. In return, the defendant agreed to be implanted with the woman's embryo and carry the baby to term. The woman paid the defendant the $10,000 upfront. During the seventh month of the pregnancy, the defendant changed her mind and decided to keep the child herself. The defendant moved out of state and gave birth to the baby, which she refuses to turn over to the woman. The defendant is guilty of","A)
question: A female and a defendant entered into an agreement in which the female undertook to pay the defendant $10,000 to serve as a surrogate. In exchange, the defendant consented to have the female's embryo implanted and to carry the baby to term. The female paid the defendant the $10,000 upfront. During the seventh month of the pregnancy, the defendant changed her mind and decided to keep the child herself. The defendant moved out of state and gave birth to the baby, which she refuses to turn over to the female. The defendant is guilty of

B)
question: A woman and the defendant entered into an arrangement where the woman agreed to pay the defendant $10,000 to act as a gestational carrier. In return, the defendant agreed to be implanted with the woman's embryo and to carry the child to term. The woman paid the defendant the $10,000 in advance. During the seventh month of the pregnancy, the defendant changed her mind and elected to keep the child herself. The defendant moved to another state and delivered the baby, which she refuses to surrender to the woman. The defendant is guilty of

C)
question: A woman and a defendant made an arrangement in which the woman promised to pay the defendant $10,000 to act as a surrogate mother. In return, the defendant consented to having the woman's embryo implanted and to carrying the infant to term. The woman paid the defendant the $10,000 upfront. In the seventh month of gestation, the defendant changed her mind and determined to keep the infant herself. The defendant relocated out of state and gave birth to the child, which she refuses to relinquish to the woman. The defendant is guilty of

D)
question: A female and a defendant entered an arrangement where the female promised to pay the defendant $10,000 to function as a surrogate. In return, the defendant agreed to receive the female's embryo via implantation and to carry the baby to full term. The female paid the defendant the $10,000 up front. During the seventh month of the pregnancy, the defendant reversed her decision and opted to retain the child herself. The defendant moved out of state and bore the baby, which she refuses to hand over to the female. The defendant is guilty of","question: A female and a defendant entered into an agreement in which the female undertook to pay the defendant $10,000 to serve as a surrogate. In exchange, the defendant consented to have the female's embryo implanted and to carry the baby to term. The female paid the defendant the $10,000 upfront. During the seventh month of the pregnancy, the defendant changed her mind and decided to keep the child herself. The defendant moved out of state and gave birth to the baby, which she refuses to turn over to the female. The defendant is guilty of","question: A woman and the defendant entered into an arrangement where the woman agreed to pay the defendant $10,000 to act as a gestational carrier. In return, the defendant agreed to be implanted with the woman's embryo and to carry the child to term. The woman paid the defendant the $10,000 in advance. During the seventh month of the pregnancy, the defendant changed her mind and elected to keep the child herself. The defendant moved to another state and delivered the baby, which she refuses to surrender to the woman. The defendant is guilty of","question: A woman and a defendant made an arrangement in which the woman promised to pay the defendant $10,000 to act as a surrogate mother. In return, the defendant consented to having the woman's embryo implanted and to carrying the infant to term. The woman paid the defendant the $10,000 upfront. In the seventh month of gestation, the defendant changed her mind and determined to keep the infant herself. The defendant relocated out of state and gave birth to the child, which she refuses to relinquish to the woman. The defendant is guilty of","question: A female and a defendant entered an arrangement where the female promised to pay the defendant $10,000 to function as a surrogate. In return, the defendant agreed to receive the female's embryo via implantation and to carry the baby to full term. The female paid the defendant the $10,000 up front. During the seventh month of the pregnancy, the defendant reversed her decision and opted to retain the child herself. The defendant moved out of state and bore the baby, which she refuses to hand over to the female. The defendant is guilty of"
college_biology,Which of the following statements is true of air as compared to water?,Air provides more physical support.,Air has a higher O2 concentration.,Air offers more resistance to motion.,Air has more thermal inertia.,1,B,test,question: Which of the following statements is true of air as compared to water?,"A)
Which of the following statements is correct about air as compared to water?

B)
Which of the following statements is accurate about air as compared to water?

C)
Which of the following statements is correct regarding air as compared to water?

D)
Which of the following statements is true concerning air as compared to water?",Which of the following statements is correct about air as compared to water?,Which of the following statements is accurate about air as compared to water?,Which of the following statements is correct regarding air as compared to water?,Which of the following statements is true concerning air as compared to water?
astronomy,What dangers are currently faced by each Mars Exploration Rover?,Opportunity may not be able to drive out of Victoria Crater due to its broken sixth wheel; Spirit's instruments are being corroded by the acidic hot spring environment it is exploring.,Opportunity may not be able to move its arm again; Spirit may not be able to drive out of Victoria Crater due to its broken sixth wheel.,Opportunity may not be able to drive out of Victoria Crater due to its broken sixth wheel; Spirit may not get enough solar power during the winter months immediately ahead.,Opportunity may not be able to move its arm again; Spirit may not get enough solar power during the winter months immediately ahead.,3,D,validation,question: What dangers are currently faced by each Mars Exploration Rover?,"A)
question: What hazards are presently confronted by each Mars Exploration Rover?

B)
question: What threats are currently faced by each Mars Exploration Rover?

C)
question: Which perils are at present confronted by each Mars Exploration Rover?

D)
question: What risks are currently faced by each Mars Exploration Rover?",question: What hazards are presently confronted by each Mars Exploration Rover?,question: What threats are currently faced by each Mars Exploration Rover?,question: Which perils are at present confronted by each Mars Exploration Rover?,question: What risks are currently faced by each Mars Exploration Rover?
computer_security,Exploitation of the Heartbleed bug permits,overwriting cryptographic keys in memory,a kind of code injection,a read outside bounds of a buffer,a format string attack,2,C,dev,question: Exploitation of the Heartbleed bug permits,"A)
question: Abuse of the Heartbleed bug allows

B)
question: Exploitation of the Heartbleed vulnerability permits

C)
question: Leveraging of the Heartbleed flaw enables

D)
question: Misuse of the Heartbleed defect grants",question: Abuse of the Heartbleed bug allows,question: Exploitation of the Heartbleed vulnerability permits,question: Leveraging of the Heartbleed flaw enables,question: Misuse of the Heartbleed defect grants
