subject,question,choice_A,choice_B,choice_C,choice_D,answer,answer_letter,error_type,correct_answer,potential_reason,source,instance,generated_options,option_a,option_b,option_c,option_d
astronomy,You observe the visible spectrum of a star viewed through a cloud of cool hydrogen gas.,You see only the star’s blackbody spectrum.,You see the star’s blackbody spectrum with absorption lines due to hydrogen.,You see only emission lines characteristic of hydrogen.,You see only emission lines characteristic of the star’s composition.,1,B,ok,1,,Expert,You observe the visible spectrum of a star viewed through a cloud of cool hydrogen gas.,"A)
You notice the optical range of a sun seen across a mass of chilly hydrogen gas.

B)
You witness the detectable frequencies of a sun perceived through a plume of cold hydrogen gas.

C)
You examine the apparent range of a sun glimpsed via a layer of frigid hydrogen gas.

D)
You monitor the radiant light of a sun observed through a mist of chilled hydrogen gas.",You notice the optical range of a sun seen across a mass of chilly hydrogen gas.,You witness the detectable frequencies of a sun perceived through a plume of cold hydrogen gas.,You examine the apparent range of a sun glimpsed via a layer of frigid hydrogen gas.,You monitor the radiant light of a sun observed through a mist of chilled hydrogen gas.
moral_scenarios,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I ran around loudly at the park. Scenario 2 | While visiting the Louvre, I admired many of the paintings.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",3,D,ok,,,,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I ran around loudly at the park. Scenario 2 | While visiting the Louvre, I admired many of the paintings.","A)
In which of these two situations does the primary individual (who employs I/me/my) perform something obviously ethically incorrect, based on typical ethical benchmarks in the US as of 2020? Situation 1 | I dashed about noisily at the park. Situation 2 | During a visit to the Louvre, I appreciated several of the artworks.

B)
For which of these two cases does the central figure (who utilizes I/me/my) do something plainly virtuous-defying, following common behavioral norms in the US as of 2020? Case 1 | I sprinted around boisterously at the park. Case 2 | While touring the Louvre, I gazed at many of the masterpieces.

C)
Under which of these two examples does the lead actor (who uses I/me/my) act in an unmistakably dishonorable way, per standard social conventions in the US as of 2020? Example 1 | I rushed around loudly at the park. Example 2 | While exploring the Louvre, I marveled at many of the canvases.

D)
Within which of these two narratives does the first person (who adopts I/me/my) execute something distinctly immoral, according to prevailing moral criteria in the US as of 2020? Narrative 1 | I jogged around vociferously at the park. Narrative 2 | While attending the Louvre, I viewed many of the illustrations.","In which of these two situations does the primary individual (who employs I/me/my) perform something obviously ethically incorrect, based on typical ethical benchmarks in the US as of 2020? Situation 1 | I dashed about noisily at the park. Situation 2 | During a visit to the Louvre, I appreciated several of the artworks.","For which of these two cases does the central figure (who utilizes I/me/my) do something plainly virtuous-defying, following common behavioral norms in the US as of 2020? Case 1 | I sprinted around boisterously at the park. Case 2 | While touring the Louvre, I gazed at many of the masterpieces.","Under which of these two examples does the lead actor (who uses I/me/my) act in an unmistakably dishonorable way, per standard social conventions in the US as of 2020? Example 1 | I rushed around loudly at the park. Example 2 | While exploring the Louvre, I marveled at many of the canvases.","Within which of these two narratives does the first person (who adopts I/me/my) execute something distinctly immoral, according to prevailing moral criteria in the US as of 2020? Narrative 1 | I jogged around vociferously at the park. Narrative 2 | While attending the Louvre, I viewed many of the illustrations."
miscellaneous,What was the revenue for flat screen televisions sold in Australia in the past 12 months (as of 2013)?,$120 million annual Revenue,$1.2 billion annual Revenue,$12 billion annual Revenue,$120 billion annual Revenue,1,B,ok,,,,What was the revenue for flat screen televisions sold in Australia in the past 12 months (as of 2013)?,"A)
What was the income for flat panel monitors marketed in Australia in the previous 12 months (as of 2013)?

B)
What was the earnings for thin screen displays traded in Australia in the preceding 12 months (as of 2013)?

C)
What was the turnover for flat display televisions purchased in Australia in the prior 12 months (as of 2013)?

D)
What was the profit for slim screen TVs distributed in Australia in the last 12 months (as of 2013)?",What was the income for flat panel monitors marketed in Australia in the previous 12 months (as of 2013)?,What was the earnings for thin screen displays traded in Australia in the preceding 12 months (as of 2013)?,What was the turnover for flat display televisions purchased in Australia in the prior 12 months (as of 2013)?,What was the profit for slim screen TVs distributed in Australia in the last 12 months (as of 2013)?
world_religions, Which Guru donned the two swords symbolling temporal and spiritual authority?,Guru Nanak,Guru Arjan,Guru Hargobind,Guru Ram Das,2,C,ok,,,https://learninglink.oup.com/access/content/amore4e-student-resources/amore4e-chapter-8-self-quiz, Which Guru donned the two swords symbolling temporal and spiritual authority?,"A)
Which Mentor wore the two blades representing worldly and religious power?

B)
What Teacher carried the pair of sabers signifying secular and sacred leadership?

C)
Which Leader donned the twin rapiers denoting physical and divine sovereignty?

D)
What Guide sported the dual weapons symbolizing earthly and ethereal command?",Which Mentor wore the two blades representing worldly and religious power?,What Teacher carried the pair of sabers signifying secular and sacred leadership?,Which Leader donned the twin rapiers denoting physical and divine sovereignty?,What Guide sported the dual weapons symbolizing earthly and ethereal command?
jurisprudence,Why is it important to separate the concept of punishment from its justification?,Because its justification depends on the concept employed.,Because any definition of punishment should be value-neutral.,Because the concept of punishment is controversial.,Because the practice of punishment is separate from its justification.,1,B,ok,,,,Why is it important to separate the concept of punishment from its justification?,"A)
Why is it crucial to detach the notion of penalty from its defense?

B)
Why is it vital to disconnect the idea of retribution from its rationale?

C)
Why is it significant to isolate the principle of sanction from its validation?

D)
Why is it essential to distinguish the theory of chastisement from its logic?",Why is it crucial to detach the notion of penalty from its defense?,Why is it vital to disconnect the idea of retribution from its rationale?,Why is it significant to isolate the principle of sanction from its validation?,Why is it essential to distinguish the theory of chastisement from its logic?
high_school_mathematics,"If we take sin x and change it to 3 sin 2x, what will happen to the domain and range of the function?",Domain and range remain the same,Domain is double; range remains the same,Domain is tripled; range is doubled,Domain is the same; range is tripled,3,D,ok,,,,"If we take sin x and change it to 3 sin 2x, what will happen to the domain and range of the function?","A)
If we select sin x and adjust it to 3 sin 2x, what shall occur to the domain and range of the function?

B)
If we use sin x and modify it to 3 sin 2x, what will result to the domain and range of the mapping?

C)
If we pick sin x and transform it to 3 sin 2x, what will happen to the extent and span of the operator?

D)
If we consider sin x and convert it to 3 sin 2x, what shall transpire to the domain and range of the relation?","If we select sin x and adjust it to 3 sin 2x, what shall occur to the domain and range of the function?","If we use sin x and modify it to 3 sin 2x, what will result to the domain and range of the mapping?","If we pick sin x and transform it to 3 sin 2x, what will happen to the extent and span of the operator?","If we consider sin x and convert it to 3 sin 2x, what shall transpire to the domain and range of the relation?"
professional_medicine,"While you are on rounds at a local nursing facility, the nurse mentions that your patient, a 79-year-old woman, appears to be a ""poor eater."" She was admitted to the nursing facility 3 months ago from the hospital where she was treated for congestive heart failure. Her daughter had moved away from the area, and nursing home placement was necessary because the patient could no longer function independently. Her present medications include furosemide and digoxin. Physical examination is normal except for a weight loss of 3.5 kg (7 lb) during the past 3 months. In your conversation with the patient, she says, ""No, I'm not depressed, I just don't have an appetite anymore. Nothing tastes good to me. I have a little bit of nausea most of the time."" Which of the following is the most appropriate initial diagnostic study?",Chest x-ray,Complete blood count,Determination of serum albumin concentration,Determination of serum digoxin level,3,D,ok,,,https://www.fsmb.org/siteassets/spex/pdfs/spex-practice-test.pdf,"While you are on rounds at a local nursing facility, the nurse mentions that your patient, a 79-year-old woman, appears to be a ""poor eater."" She was admitted to the nursing facility 3 months ago from the hospital where she was treated for congestive heart failure. Her daughter had moved away from the area, and nursing home placement was necessary because the patient could no longer function independently. Her present medications include furosemide and digoxin. Physical examination is normal except for a weight loss of 3.5 kg (7 lb) during the past 3 months. In your conversation with the patient, she says, ""No, I'm not depressed, I just don't have an appetite anymore. Nothing tastes good to me. I have a little bit of nausea most of the time."" Which of the following is the most appropriate initial diagnostic study?","A)
While you are on rounds at a local nursing facility, the nurse mentions that your patient, a 79-year-old woman, appears to be a ""poor eater."" She was admitted to the nursing facility 3 months ago from the hospital where she was treated for congestive heart failure. Her daughter had moved away from the area, and nursing home placement was necessary because the patient could no longer function independently. Her present medications include furosemide and digoxin. Physical examination is normal except for a weight loss of 3.5 kg (7 lb) during the past 3 months. In your conversation with the patient, she says, ""No, I'm not depressed, I just don't have an appetite anymore. Nothing tastes good to me. I have a little bit of nausea most of the time."" Which of the following is the most appropriate initial diagnostic study?

B)
During your visits at a nearby care center, the nurse notes that your patient, a 79-year-old female, seems to be a ""poor eater."" She was taken to the care center 3 months ago from the infirmary where she was managed for congestive heart failure. Her daughter had shifted away from the region, and nursing home residence was required because the patient could no longer live autonomously. Her current drugs include furosemide and digoxin. Medical examination is unremarkable except for a weight reduction of 3.5 kg (7 lb) during the previous 3 months. In your dialogue with the patient, she states, ""No, I'm not sad, I simply don't have a hunger anymore. Nothing tastes pleasant to me. I have a small amount of sickness most of the time."" Which of the following is the most suitable primary diagnostic test?

C)
As you perform rounds at a regional nursing home, the nurse reports that your patient, a 79-year-old lady, looks to be a ""poor eater."" She was transferred to the nursing home 3 months ago from the clinic where she was cared for congestive heart failure. Her daughter had relocated away from the vicinity, and nursing home admission was vital because the patient could no longer operate separately. Her existing treatments include furosemide and digoxin. Clinical evaluation is normal aside from a weight drop of 3.5 kg (7 lb) during the last 3 months. In your talk with the patient, she remarks, ""No, I'm not miserable, I just don't have a craving anymore. Nothing tastes delicious to me. I have a slight bit of queasiness most of the time."" Which of the following is the most fitting starting diagnostic evaluation?

D)
When you are on rounds at a neighborhood nursing site, the nurse observes that your patient, a 79-year-old individual, tends to be a ""poor eater."" She was placed in the nursing site 3 months ago from the ward where she was handled for congestive heart failure. Her daughter had departed away from the district, and nursing home housing was essential because the patient could no longer manage alone. Her active prescriptions include furosemide and digoxin. Physical assessment is standard except for a weight decrease of 3.5 kg (7 lb) over the prior 3 months. In your discussion with the patient, she utters, ""No, I'm not unhappy, I just don't have a desire anymore. Nothing tastes savory to me. I have a tiny degree of nausea most of the time."" Which of the following is the most proper first diagnostic investigation?","While you are on rounds at a local nursing facility, the nurse mentions that your patient, a 79-year-old woman, appears to be a ""poor eater."" She was admitted to the nursing facility 3 months ago from the hospital where she was treated for congestive heart failure. Her daughter had moved away from the area, and nursing home placement was necessary because the patient could no longer function independently. Her present medications include furosemide and digoxin. Physical examination is normal except for a weight loss of 3.5 kg (7 lb) during the past 3 months. In your conversation with the patient, she says, ""No, I'm not depressed, I just don't have an appetite anymore. Nothing tastes good to me. I have a little bit of nausea most of the time."" Which of the following is the most appropriate initial diagnostic study?","During your visits at a nearby care center, the nurse notes that your patient, a 79-year-old female, seems to be a ""poor eater."" She was taken to the care center 3 months ago from the infirmary where she was managed for congestive heart failure. Her daughter had shifted away from the region, and nursing home residence was required because the patient could no longer live autonomously. Her current drugs include furosemide and digoxin. Medical examination is unremarkable except for a weight reduction of 3.5 kg (7 lb) during the previous 3 months. In your dialogue with the patient, she states, ""No, I'm not sad, I simply don't have a hunger anymore. Nothing tastes pleasant to me. I have a small amount of sickness most of the time."" Which of the following is the most suitable primary diagnostic test?","As you perform rounds at a regional nursing home, the nurse reports that your patient, a 79-year-old lady, looks to be a ""poor eater."" She was transferred to the nursing home 3 months ago from the clinic where she was cared for congestive heart failure. Her daughter had relocated away from the vicinity, and nursing home admission was vital because the patient could no longer operate separately. Her existing treatments include furosemide and digoxin. Clinical evaluation is normal aside from a weight drop of 3.5 kg (7 lb) during the last 3 months. In your talk with the patient, she remarks, ""No, I'm not miserable, I just don't have a craving anymore. Nothing tastes delicious to me. I have a slight bit of queasiness most of the time."" Which of the following is the most fitting starting diagnostic evaluation?","When you are on rounds at a neighborhood nursing site, the nurse observes that your patient, a 79-year-old individual, tends to be a ""poor eater."" She was placed in the nursing site 3 months ago from the ward where she was handled for congestive heart failure. Her daughter had departed away from the district, and nursing home housing was essential because the patient could no longer manage alone. Her active prescriptions include furosemide and digoxin. Physical assessment is standard except for a weight decrease of 3.5 kg (7 lb) over the prior 3 months. In your discussion with the patient, she utters, ""No, I'm not unhappy, I just don't have a desire anymore. Nothing tastes savory to me. I have a tiny degree of nausea most of the time."" Which of the following is the most proper first diagnostic investigation?"
clinical_knowledge,Which of the following is true of Systemic Sclerosis?,It affects males more than females,If telangiectasia are seen this clinches the diagnosis,Arachnodactyly is a feature of the disease,Patients have a beaked shaped nose and waxy skin,3,D,ok,,,https://global.oup.com/uk/orc/medicine/cox/01student/mcqs/ch14/?view=Standard,Which of the following is true of Systemic Sclerosis?,"A)
Which of the following is accurate regarding Systemic Sclerosis?

B)
Which of the following is correct concerning Systemic Sclerosis?

C)
Which of the following is valid about Systemic Sclerosis?

D)
Which of the following is factual relating to Systemic Sclerosis?",Which of the following is accurate regarding Systemic Sclerosis?,Which of the following is correct concerning Systemic Sclerosis?,Which of the following is valid about Systemic Sclerosis?,Which of the following is factual relating to Systemic Sclerosis?
high_school_statistics,Which of the following statements about any two events A and B is true?,P(A ∪ B) implies events A and B are independent.,P(A ∪ B) = 1 implies events A and B are mutually exclusive.,P(A ∩ B) = 0 implies events A and B are independent.,P(A ∩ B) = 0 implies events A and B are mutually exclusive.,3,D,ok,,,,Which of the following statements about any two events A and B is true?,"A)
Which of the subsequent assertions concerning any two occurrences A and B is correct?

B)
Which of the following declarations regarding any two incidents A and B is accurate?

C)
Which of the succeeding remarks about any two occasions A and B is valid?

D)
Which of the below propositions relating to any two circumstances A and B is right?",Which of the subsequent assertions concerning any two occurrences A and B is correct?,Which of the following declarations regarding any two incidents A and B is accurate?,Which of the succeeding remarks about any two occasions A and B is valid?,Which of the below propositions relating to any two circumstances A and B is right?
clinical_knowledge,Which of the following is present in saliva and has an antibacterial action?,Lysozyme.,Amylase.,Sodium chloride.,Mucus.,0,A,ok,,,https://global.oup.com/uk/orc/nursing/endacott/01student/quizzes/ch04/04mouth/?view=Standard,Which of the following is present in saliva and has an antibacterial action?,"A)
Which of the following is found in spit and possesses an antimicrobial effect?

B)
Which of the following is located in saliva and exerts an antiseptic function?

C)
Which of the following is contained in spittle and exhibits a germicidal property?

D)
Which of the following is situated in saliva and maintains a bactericidal influence?",Which of the following is found in spit and possesses an antimicrobial effect?,Which of the following is located in saliva and exerts an antiseptic function?,Which of the following is contained in spittle and exhibits a germicidal property?,Which of the following is situated in saliva and maintains a bactericidal influence?
