question_id,question,choice_A,choice_B,choice_C,choice_D,choice_E,choice_F,choice_G,choice_H,choice_I,choice_J,answer,answer_index,category,src,cot_content,split,instance,generated_options,option_a,option_b,option_c,option_d,bdq_results,bcq_results_for_position_b,bcq_results_for_position_c,bcq_results_for_position_d
4483,"Under standard temperature and pressure conditions, compare the relative rates at which inert gases,Ar, He, and Kr diffuse through a common orifice.",.1002 : .3002 : .4002,.3582 : .4582 : .0582,.2582 : .4998 : .3092,.1582 : .6008 : .2092,.1582 : .4998 : .1092,.2002 : .4002 : .1092,.1582 : .3998 : .2592,.2502 : .4502 : .1502,.2082 : .5998 : .1592,.1802 : .4802 : .2802,E,4,chemistry,stemez-Chemistry,,test,"Under standard temperature and pressure conditions, compare the relative rates at which inert gases,Ar, He, and Kr diffuse through a common orifice.","A)
Beneath normal temperature and pressure states, contrast the proportional speeds at which noble vapors,Ar, He, and Kr permeate through a shared opening.

B)
In typical temperature and pressure environments, evaluate the comparative velocities at which stable gases,Ar, He, and Kr spread through a single aperture.

C)
Below regular temperature and pressure settings, examine the respective paces at which nonreactive elements,Ar, He, and Kr pass through a mutual hole.

D)
At conventional temperature and pressure levels, analyze the fractional rates at which unreactive fluids,Ar, He, and Kr disperse through a collective vent.","Beneath normal temperature and pressure states, contrast the proportional speeds at which noble vapors,Ar, He, and Kr permeate through a shared opening.","In typical temperature and pressure environments, evaluate the comparative velocities at which stable gases,Ar, He, and Kr spread through a single aperture.","Below regular temperature and pressure settings, examine the respective paces at which nonreactive elements,Ar, He, and Kr pass through a mutual hole.","At conventional temperature and pressure levels, analyze the fractional rates at which unreactive fluids,Ar, He, and Kr disperse through a collective vent.",A,B,C,D
11541,"A friction cone clutch operates at 250 rpm and delivers 25 hp. Evaluate the required cone surface width if the clutch angleis 12°, the mean radius of the cone is 7(1 / 2) in., the maximumpermissible pressure is 30 psi and the coefficient offriction is 0.40.",2.0 in,2.5 in,2.8 in,1.2 in,1.8 in,3.0 in,1.0 in,1.5 in,1.6 in,3.5 in,H,7,engineering,stemez-MachineDesign,,test,"A friction cone clutch operates at 250 rpm and delivers 25 hp. Evaluate the required cone surface width if the clutch angleis 12°, the mean radius of the cone is 7(1 / 2) in., the maximumpermissible pressure is 30 psi and the coefficient offriction is 0.40.","A)
A resistance cone coupling functions at 250 rpm and provides 25 hp. Assess the necessary cone face breadth if the clutch angle is 12°, the average radius of the cone is 7(1 / 2) in., the highest allowable pressure is 30 psi and the coefficient of friction is 0.40.

B)
A sliding cone clutch runs at 250 rpm and produces 25 hp. Calculate the needed cone surface span if the clutch angle is 12°, the central radius of the cone is 7(1 / 2) in., the peak tolerable pressure is 30 psi and the coefficient of friction is 0.40.

C)
A traction cone clutch works at 250 rpm and supplies 25 hp. Determine the requisite cone surface width if the clutch angle is 12°, the middle radius of the cone is 7(1 / 2) in., the utmost permitted pressure is 30 psi and the coefficient of friction is 0.40.

D)
A rubbing cone clutch revolves at 250 rpm and yields 25 hp. Compute the essential cone exterior extent if the clutch angle is 12°, the median radius of the cone is 7(1 / 2) in., the extreme authorized pressure is 30 psi and the coefficient of friction is 0.40.","A resistance cone coupling functions at 250 rpm and provides 25 hp. Assess the necessary cone face breadth if the clutch angle is 12°, the average radius of the cone is 7(1 / 2) in., the highest allowable pressure is 30 psi and the coefficient of friction is 0.40.","A sliding cone clutch runs at 250 rpm and produces 25 hp. Calculate the needed cone surface span if the clutch angle is 12°, the central radius of the cone is 7(1 / 2) in., the peak tolerable pressure is 30 psi and the coefficient of friction is 0.40.","A traction cone clutch works at 250 rpm and supplies 25 hp. Determine the requisite cone surface width if the clutch angle is 12°, the middle radius of the cone is 7(1 / 2) in., the utmost permitted pressure is 30 psi and the coefficient of friction is 0.40.","A rubbing cone clutch revolves at 250 rpm and yields 25 hp. Compute the essential cone exterior extent if the clutch angle is 12°, the median radius of the cone is 7(1 / 2) in., the extreme authorized pressure is 30 psi and the coefficient of friction is 0.40.",A,A,A,A
8083,"In a set of 20 positive integers, at least how many pairs of numbers have a difference that is a multiple of 10?",15,10,2,30,5,9,20,25,18,35,B,1,math,theoremQA-Math,,test,"In a set of 20 positive integers, at least how many pairs of numbers have a difference that is a multiple of 10?","A)
Within a collection of 20 natural numbers, at minimum how many sets of figures possess a gap that is a product of 10?

B)
Among a group of 20 whole integers, at least how many duos of values have a remainder that is a factor of 10?

C)
Inside a series of 20 counting integers, at least how many couples of digits share a distance that is a multiple of 10?

D)
Given a list of 20 positive values, at minimum how many pairs of entries show a variance that is a multiple of 10?","Within a collection of 20 natural numbers, at minimum how many sets of figures possess a gap that is a product of 10?","Among a group of 20 whole integers, at least how many duos of values have a remainder that is a factor of 10?","Inside a series of 20 counting integers, at least how many couples of digits share a distance that is a multiple of 10?","Given a list of 20 positive values, at minimum how many pairs of entries show a variance that is a multiple of 10?",A,B,C,D
984,"In 2006, an investor purchased a 100-acre tract located in a rural county. Shortly thereafter, the investor prepared a subdivision plan that created 90 one-acre residential building lots on this tract with the remaining 10-acre lot proposed for a public school building. In the investor's sales brochure promoting the subdivision, he stated that ""in addition to the close proximity of the proposed school for subdivision residents, the county school district would not need to expend tax money to acquire this property for school construction. "" In 2007, the subdivision plan was recorded with the county recorder's office. On January 15, 2009, the county school board voted to build a new school on the 10-acre tract. The investor's proposed designation of the 1 0-acre tract for construction of a school building would best be described as a (an)",equitable servitude.,easement for public use.,invalid legal agreement.,implied easement.,adverse possession.,restrictive covenant.,real estate lien.,unenforceable restriction.,right of way easement.,zoning regulation.,B,1,law,ori_mmlu-professional_law,,test,"In 2006, an investor purchased a 100-acre tract located in a rural county. Shortly thereafter, the investor prepared a subdivision plan that created 90 one-acre residential building lots on this tract with the remaining 10-acre lot proposed for a public school building. In the investor's sales brochure promoting the subdivision, he stated that ""in addition to the close proximity of the proposed school for subdivision residents, the county school district would not need to expend tax money to acquire this property for school construction. "" In 2007, the subdivision plan was recorded with the county recorder's office. On January 15, 2009, the county school board voted to build a new school on the 10-acre tract. The investor's proposed designation of the 1 0-acre tract for construction of a school building would best be described as a (an)","A)
During 2006, a financier bought a 100-acre parcel situated in a rustic region. Briefly afterward, the financier drafted a development layout that established 90 one-acre domestic housing sites on this parcel with the leftover 10-acre site intended for a communal academy structure. In the financier's marketing pamphlet advertising the development, he declared that ""besides the near distance of the intended academy for development inhabitants, the regional academy zone would not require spending levy funds to obtain this land for academy erection. "" During 2007, the development layout was filed with the regional registrar's bureau. On January 15, 2009, the regional academy council opted to construct a fresh academy on the 10-acre site. The financier's intended identification of the 10-acre site for erection of an academy structure would most accurately be defined as a (an)

B)
In 2006, a capitalist acquired a 100-acre plot positioned in a country district. Soon following, the capitalist formulated a partitioning scheme that formed 90 one-acre dwelling construction plots on this plot with the surviving 10-acre plot suggested for a state education facility. In the capitalist's promotional booklet endorsing the partitioning, he asserted that ""along with the short proximity of the suggested education facility for partitioning occupants, the district education board would not have to utilize revenue cash to procure this estate for education assembly. "" In 2007, the partitioning scheme was registered with the district clerk's department. On January 15, 2009, the district education committee decided to erect a modern education facility on the 10-acre plot. The capitalist's suggested allocation of the 10-acre plot for assembly of an education facility would best be characterized as a (an)

C)
Throughout 2006, a backer procured a 100-acre area located in a non-urban territory. Shortly later, the backer organized a layout strategy that produced 90 one-acre living building spaces on this area with the extra 10-acre space envisioned for a governmental learning center. In the backer's trade manual pitching the layout, he mentioned that ""apart from the immediate neighborhood of the envisioned learning center for layout dwellers, the county learning sector would not need to disburse tariff wealth to gain this asset for learning creation. "" Throughout 2007, the layout strategy was entered with the county logger's workplace. On January 15, 2009, the county learning agency selected to frame a different learning center on the 10-acre space. The backer's envisioned labeling of the 10-acre space for creation of a learning center would optimally be explained as a (an)

D)
Within 2006, a stakeholder obtained a 100-acre expanse set in a pastoral province. Quickly thereafter, the stakeholder devised a mapping blueprint that generated 90 one-acre residence construction parcels on this expanse with the remaining 10-acre parcel projected for a public institute hall. In the stakeholder's commercial flyer advocating the mapping, he remarked that ""together with the tight closeness of the projected institute for mapping citizens, the local institute circuit would not need to consume duty capital to attain this realty for institute fabrication. "" Within 2007, the mapping blueprint was documented with the local archivist's station. On January 15, 2009, the local institute authority resolved to raise a novel institute on the 10-acre parcel. The stakeholder's projected specification of the 10-acre parcel for fabrication of an institute hall would ideally be portrayed as a (an)","During 2006, a financier bought a 100-acre parcel situated in a rustic region. Briefly afterward, the financier drafted a development layout that established 90 one-acre domestic housing sites on this parcel with the leftover 10-acre site intended for a communal academy structure. In the financier's marketing pamphlet advertising the development, he declared that ""besides the near distance of the intended academy for development inhabitants, the regional academy zone would not require spending levy funds to obtain this land for academy erection. "" During 2007, the development layout was filed with the regional registrar's bureau. On January 15, 2009, the regional academy council opted to construct a fresh academy on the 10-acre site. The financier's intended identification of the 10-acre site for erection of an academy structure would most accurately be defined as a (an)","In 2006, a capitalist acquired a 100-acre plot positioned in a country district. Soon following, the capitalist formulated a partitioning scheme that formed 90 one-acre dwelling construction plots on this plot with the surviving 10-acre plot suggested for a state education facility. In the capitalist's promotional booklet endorsing the partitioning, he asserted that ""along with the short proximity of the suggested education facility for partitioning occupants, the district education board would not have to utilize revenue cash to procure this estate for education assembly. "" In 2007, the partitioning scheme was registered with the district clerk's department. On January 15, 2009, the district education committee decided to erect a modern education facility on the 10-acre plot. The capitalist's suggested allocation of the 10-acre plot for assembly of an education facility would best be characterized as a (an)","Throughout 2006, a backer procured a 100-acre area located in a non-urban territory. Shortly later, the backer organized a layout strategy that produced 90 one-acre living building spaces on this area with the extra 10-acre space envisioned for a governmental learning center. In the backer's trade manual pitching the layout, he mentioned that ""apart from the immediate neighborhood of the envisioned learning center for layout dwellers, the county learning sector would not need to disburse tariff wealth to gain this asset for learning creation. "" Throughout 2007, the layout strategy was entered with the county logger's workplace. On January 15, 2009, the county learning agency selected to frame a different learning center on the 10-acre space. The backer's envisioned labeling of the 10-acre space for creation of a learning center would optimally be explained as a (an)","Within 2006, a stakeholder obtained a 100-acre expanse set in a pastoral province. Quickly thereafter, the stakeholder devised a mapping blueprint that generated 90 one-acre residence construction parcels on this expanse with the remaining 10-acre parcel projected for a public institute hall. In the stakeholder's commercial flyer advocating the mapping, he remarked that ""together with the tight closeness of the projected institute for mapping citizens, the local institute circuit would not need to consume duty capital to attain this realty for institute fabrication. "" Within 2007, the mapping blueprint was documented with the local archivist's station. On January 15, 2009, the local institute authority resolved to raise a novel institute on the 10-acre parcel. The stakeholder's projected specification of the 10-acre parcel for fabrication of an institute hall would ideally be portrayed as a (an)",A,B,C,D
467,"Mr. Ed Williams, owner of a newspaper delivery service, bought a new truck for his business on the installment plan. The pertinent information is given below: Price of truck $3,000 Additional equipment 240 Sales tax 5% Insurance $ 60 Cash deposit $ 500 Used car allowance $ 732 Assume a 5% finance charge, find the amount to be financed, and deter-mine the amount to be paid each month to pay off the truck in one year",$196.50,"$2,800",$185.42,$195,"$2,068","$2,500","$2,341.50",$210.50,$2145,$220.75,D,3,business,stemez-Business,,test,"Mr. Ed Williams, owner of a newspaper delivery service, bought a new truck for his business on the installment plan. The pertinent information is given below: Price of truck $3,000 Additional equipment 240 Sales tax 5% Insurance $ 60 Cash deposit $ 500 Used car allowance $ 732 Assume a 5% finance charge, find the amount to be financed, and deter-mine the amount to be paid each month to pay off the truck in one year","A)
Mr. Edward Williams, proprietor of a newsprint distribution firm, purchased a fresh vehicle for his company on the payment scheme. The relevant data is provided beneath: Cost of vehicle $3,000 Extra accessories 240 Purchase tax 5% Coverage $ 60 Monetary downpayment $ 500 Secondhand auto credit $ 732 Suppose a 5% interest fee, calculate the sum to be funded, and establish the total to be remitted every month to settle the vehicle in twelve months

B)
Mr. Ed Williams, possessor of a periodical transport agency, acquired a modern pickup for his enterprise on the credit arrangement. The applicable facts are listed below: Value of pickup $3,000 Supplementary gear 240 State tax 5% Protection $ 60 Currency deposit $ 500 Pre-owned motor trade-in $ 732 Presume a 5% lending cost, identify the balance to be bankrolled, and calculate the figure to be disbursed each month to clear the pickup in one year

C)
Mr. Ed Williams, holder of a gazette shipping operation, procured a novel truck for his trade on the deferred schedule. The related details are shown below: Rate of truck $3,000 Added apparatus 240 Levy tax 5% Policy $ 60 Funds deposit $ 500 Former vehicle rebate $ 732 Postulate a 5% credit charge, discover the quantity to be subsidized, and decide the value to be paid per month to discharge the truck in a year

D)
Mr. Ed Williams, master of a journal hauling company, obtained a different van for his profession on the monthly plan. The significant figures are noted below: Worth of van $3,000 Surplus hardware 240 Revenue tax 5% Indemnity $ 60 Capital deposit $ 500 Antique car concession $ 732 Expect a 5% service fee, evaluate the total to be leveraged, and compute the amount to be tendered every month to satisfy the van in single year","Mr. Edward Williams, proprietor of a newsprint distribution firm, purchased a fresh vehicle for his company on the payment scheme. The relevant data is provided beneath: Cost of vehicle $3,000 Extra accessories 240 Purchase tax 5% Coverage $ 60 Monetary downpayment $ 500 Secondhand auto credit $ 732 Suppose a 5% interest fee, calculate the sum to be funded, and establish the total to be remitted every month to settle the vehicle in twelve months","Mr. Ed Williams, possessor of a periodical transport agency, acquired a modern pickup for his enterprise on the credit arrangement. The applicable facts are listed below: Value of pickup $3,000 Supplementary gear 240 State tax 5% Protection $ 60 Currency deposit $ 500 Pre-owned motor trade-in $ 732 Presume a 5% lending cost, identify the balance to be bankrolled, and calculate the figure to be disbursed each month to clear the pickup in one year","Mr. Ed Williams, holder of a gazette shipping operation, procured a novel truck for his trade on the deferred schedule. The related details are shown below: Rate of truck $3,000 Added apparatus 240 Levy tax 5% Policy $ 60 Funds deposit $ 500 Former vehicle rebate $ 732 Postulate a 5% credit charge, discover the quantity to be subsidized, and decide the value to be paid per month to discharge the truck in a year","Mr. Ed Williams, master of a journal hauling company, obtained a different van for his profession on the monthly plan. The significant figures are noted below: Worth of van $3,000 Surplus hardware 240 Revenue tax 5% Indemnity $ 60 Capital deposit $ 500 Antique car concession $ 732 Expect a 5% service fee, evaluate the total to be leveraged, and compute the amount to be tendered every month to satisfy the van in single year",A,B,C,D
5952,Erection in the male and vaginal lubrication in the female mark the __________ stage of sexual response.,resolution,relaxation,refractory,orgasm,pre-plateau,arousal,excitement,post-orgasm,recovery,plateau,G,6,other,ori_mmlu-human_sexuality,,test,Erection in the male and vaginal lubrication in the female mark the __________ stage of sexual response.,"A)
Penile tumescence in the man and genital moistening in the woman signify the __________ phase of sexual reaction.

B)
Physiological arousal in the gentleman and fluid secretion in the lady indicate the __________ period of sexual activity.

C)
Tissue engorgement in the male and canal lubrication in the female denote the __________ step of sexual behavior.

D)
Organ stiffness in the male and internal wetting in the female characterize the __________ interval of sexual feedback.",Penile tumescence in the man and genital moistening in the woman signify the __________ phase of sexual reaction.,Physiological arousal in the gentleman and fluid secretion in the lady indicate the __________ period of sexual activity.,Tissue engorgement in the male and canal lubrication in the female denote the __________ step of sexual behavior.,Organ stiffness in the male and internal wetting in the female characterize the __________ interval of sexual feedback.,A,A,A,D
12130,"The length of bus cycle in 8086/8088 is four clock cycles, T1, T2, T3, T4 and an indeterminate number of wait state clock cycles denoted by Tw. The wait states are always inserted between",T1 & T2,T2 & T3,T3 & T4,T4 & T1,,,,,,,C,2,engineering,ori_mmlu-electrical_engineering,,test,"The length of bus cycle in 8086/8088 is four clock cycles, T1, T2, T3, T4 and an indeterminate number of wait state clock cycles denoted by Tw. The wait states are always inserted between","A)
The duration of bus cycle in 8086/8088 is four clock periods, T1, T2, T3, T4 and an indefinite quantity of wait state clock cycles represented by Tw. The wait states are always added between

B)
The span of bus cycle in 8086/8088 is four clock intervals, T1, T2, T3, T4 and an unspecified amount of wait state clock cycles indicated by Tw. The wait states are always placed between

C)
The extent of bus cycle in 8086/8088 is four clock phases, T1, T2, T3, T4 and an unknown number of wait state clock cycles symbolized by Tw. The wait states are always included between

D)
The period of bus cycle in 8086/8088 is four clock pulses, T1, T2, T3, T4 and an uncertain total of wait state clock cycles signified by Tw. The wait states are always internal between","The duration of bus cycle in 8086/8088 is four clock periods, T1, T2, T3, T4 and an indefinite quantity of wait state clock cycles represented by Tw. The wait states are always added between","The span of bus cycle in 8086/8088 is four clock intervals, T1, T2, T3, T4 and an unspecified amount of wait state clock cycles indicated by Tw. The wait states are always placed between","The extent of bus cycle in 8086/8088 is four clock phases, T1, T2, T3, T4 and an unknown number of wait state clock cycles symbolized by Tw. The wait states are always included between","The period of bus cycle in 8086/8088 is four clock pulses, T1, T2, T3, T4 and an uncertain total of wait state clock cycles signified by Tw. The wait states are always internal between",A,A,A,A
6790,"A 19-year-old Asian female college student comes to the university health center because of a 1-week history of nasal stuffiness, occasional clear rhinorrhea, and a mild sore throat. Two days ago, she began to feel hot, but she has not taken her temperature. Medical history is unremarkable and her only medication is an oral contraceptive. She has no history of allergies. She does not smoke cigarettes. BMI is 22 kg/m2 . Vital signs are temperature 38.1°C (100.6°F), pulse 88/min, respirations 16/min, and blood pressure 116/74 mm Hg. Physical examination discloses tenderness over the left maxillary sinus without purulent drainage. There is clear fluid behind the left tympanic membrane, enlarged tonsils bilaterally, and pain with tapping of the left upper incisors. Left frontal sinus does not transilluminate. Cardiopulmonary examination discloses no abnormalities. Which of the following is the most likely underlying mechanism of this patient's sinusitis?",Mucosal edema,Fungal infection,Bacterial infection,Chronic sinusitis,Oral contraceptive use,Viral infection,Allergic reaction,Immune system disorder,Nasal polyps,Eustachian tube dysfunction,A,0,health,ori_mmlu-professional_medicine,,test,"A 19-year-old Asian female college student comes to the university health center because of a 1-week history of nasal stuffiness, occasional clear rhinorrhea, and a mild sore throat. Two days ago, she began to feel hot, but she has not taken her temperature. Medical history is unremarkable and her only medication is an oral contraceptive. She has no history of allergies. She does not smoke cigarettes. BMI is 22 kg/m2 . Vital signs are temperature 38.1°C (100.6°F), pulse 88/min, respirations 16/min, and blood pressure 116/74 mm Hg. Physical examination discloses tenderness over the left maxillary sinus without purulent drainage. There is clear fluid behind the left tympanic membrane, enlarged tonsils bilaterally, and pain with tapping of the left upper incisors. Left frontal sinus does not transilluminate. Cardiopulmonary examination discloses no abnormalities. Which of the following is the most likely underlying mechanism of this patient's sinusitis?","A)
A 19-year-old Asian female university student visits the campus medical clinic due to a 7-day history of nasal congestion, intermittent watery rhinorrhea, and a slight pharyngitis. Forty-eight hours ago, she started to feel febrile, but she has not measured her temperature. Past medical history is noncontributory and her sole medication is a birth control pill. She has no record of hypersensitivities. She does not use tobacco. BMI is 22 kg/m2 . Vital signs are temperature 38.1°C (100.6°F), heart rate 88/min, breathing 16/min, and blood pressure 116/74 mm Hg. Clinical evaluation shows sensitivity over the left maxillary antrum without suppurative discharge. There is serous fluid behind the left eardrum, hypertrophied tonsils on both sides, and discomfort with percussion of the left maxillary incisors. Left frontal sinus fails to transilluminate. Heart and lung examination shows no anomalies. Which of the following is the most probable primary cause of this patient's sinusitis?

B)
A 19-year-old Asian female undergraduate student presents to the school health office because of a 1-week timeline of nasal blockage, occasional thin discharge, and a minor sore throat. Two days prior, she felt warm, but she has not checked her temperature. Medical history is unremarkable and her only drug is an oral contraceptive. She has no history of atopy. She does not smoke. BMI is 22 kg/m2 . Vital signs are temperature 38.1°C (100.6°F), pulse 88/min, respirations 16/min, and blood pressure 116/74 mm Hg. Physical assessment reveals soreness over the left maxillary sinus without yellowish drainage. There is translucent liquid behind the left tympanic membrane, swollen tonsils bilaterally, and ache with tapping of the left upper teeth. Left frontal sinus does not transilluminate. Cardiopulmonary exam reveals no abnormalities. Which of the following is the most likely fundamental process of this patient's sinusitis?

C)
A 19-year-old Asian female college pupil arrives at the university infirmary owing to a 1-week duration of nasal fullness, sporadic clear drainage, and a mild throat irritation. Two days back, she began to feel hot, but she has not recorded her temperature. Medical background is negative and her only medication is a hormonal contraceptive. She has no history of allergies. She does not consume cigarettes. BMI is 22 kg/m2 . Vital signs are temperature 38.1°C (100.6°F), pulse 88/min, respirations 16/min, and blood pressure 116/74 mm Hg. Physical examination demonstrates tenderness over the left maxillary sinus without purulent discharge. There is clear fluid behind the left tympanic membrane, enlarged tonsils bilaterally, and pain with tapping of the left upper incisors. Left frontal sinus does not transilluminate. Chest examination discloses no abnormalities. Which of the following is the most likely underlying mechanism of this patient's sinusitis?

D)
A 19-year-old Asian female college student reports to the university wellness center because of a 7-day period of nasal obstruction, periodic clear rhinorrhea, and a mild sore throat. Two days ago, she started feeling feverish, but she has not assessed her temperature. Medical history is benign and her only medication is an oral contraceptive agent. She has no history of allergic reactions. She does not smoke cigarettes. BMI is 22 kg/m2 . Vital signs are temperature 38.1°C (100.6°F), pulse 88/min, respirations 16/min, and blood pressure 116/74 mm Hg. Physical examination shows pressure over the left maxillary sinus without pus-like drainage. There is clear fluid behind the left tympanic membrane, enlarged tonsils bilaterally, and pain with tapping of the left upper incisors. Left frontal sinus does not transilluminate. Cardiopulmonary examination discloses no abnormalities. Which of the following is the most likely underlying mechanism of this patient's sinusitis?","A 19-year-old Asian female university student visits the campus medical clinic due to a 7-day history of nasal congestion, intermittent watery rhinorrhea, and a slight pharyngitis. Forty-eight hours ago, she started to feel febrile, but she has not measured her temperature. Past medical history is noncontributory and her sole medication is a birth control pill. She has no record of hypersensitivities. She does not use tobacco. BMI is 22 kg/m2 . Vital signs are temperature 38.1°C (100.6°F), heart rate 88/min, breathing 16/min, and blood pressure 116/74 mm Hg. Clinical evaluation shows sensitivity over the left maxillary antrum without suppurative discharge. There is serous fluid behind the left eardrum, hypertrophied tonsils on both sides, and discomfort with percussion of the left maxillary incisors. Left frontal sinus fails to transilluminate. Heart and lung examination shows no anomalies. Which of the following is the most probable primary cause of this patient's sinusitis?","A 19-year-old Asian female undergraduate student presents to the school health office because of a 1-week timeline of nasal blockage, occasional thin discharge, and a minor sore throat. Two days prior, she felt warm, but she has not checked her temperature. Medical history is unremarkable and her only drug is an oral contraceptive. She has no history of atopy. She does not smoke. BMI is 22 kg/m2 . Vital signs are temperature 38.1°C (100.6°F), pulse 88/min, respirations 16/min, and blood pressure 116/74 mm Hg. Physical assessment reveals soreness over the left maxillary sinus without yellowish drainage. There is translucent liquid behind the left tympanic membrane, swollen tonsils bilaterally, and ache with tapping of the left upper teeth. Left frontal sinus does not transilluminate. Cardiopulmonary exam reveals no abnormalities. Which of the following is the most likely fundamental process of this patient's sinusitis?","A 19-year-old Asian female college pupil arrives at the university infirmary owing to a 1-week duration of nasal fullness, sporadic clear drainage, and a mild throat irritation. Two days back, she began to feel hot, but she has not recorded her temperature. Medical background is negative and her only medication is a hormonal contraceptive. She has no history of allergies. She does not consume cigarettes. BMI is 22 kg/m2 . Vital signs are temperature 38.1°C (100.6°F), pulse 88/min, respirations 16/min, and blood pressure 116/74 mm Hg. Physical examination demonstrates tenderness over the left maxillary sinus without purulent discharge. There is clear fluid behind the left tympanic membrane, enlarged tonsils bilaterally, and pain with tapping of the left upper incisors. Left frontal sinus does not transilluminate. Chest examination discloses no abnormalities. Which of the following is the most likely underlying mechanism of this patient's sinusitis?","A 19-year-old Asian female college student reports to the university wellness center because of a 7-day period of nasal obstruction, periodic clear rhinorrhea, and a mild sore throat. Two days ago, she started feeling feverish, but she has not assessed her temperature. Medical history is benign and her only medication is an oral contraceptive agent. She has no history of allergic reactions. She does not smoke cigarettes. BMI is 22 kg/m2 . Vital signs are temperature 38.1°C (100.6°F), pulse 88/min, respirations 16/min, and blood pressure 116/74 mm Hg. Physical examination shows pressure over the left maxillary sinus without pus-like drainage. There is clear fluid behind the left tympanic membrane, enlarged tonsils bilaterally, and pain with tapping of the left upper incisors. Left frontal sinus does not transilluminate. Cardiopulmonary examination discloses no abnormalities. Which of the following is the most likely underlying mechanism of this patient's sinusitis?",D,A,C,D
6890,What is the main contrast between the short-run and long-run Phillips curve?,In the short run there is a negative relationship between inflation and unemployment and in the long run the relationship is positive.,In the short run there is a constant relationship between inflation and unemployment and in the long run the relationship is positive.,In the short run there is a constant relationship between inflation and unemployment and in the long run the relationship is negative.,In the short run there is a negative relationship between inflation and unemployment and in the long run the relationship is constant.,"In the short run there is a positive relationship between inflation and unemployment, in the long run the relationship is non-existent.","In the short run, inflation and unemployment are unrelated, while in the long run, there is a positive relationship.",In the short run there is a positive relationship between inflation and unemployment and in the long run the relationship is constant.,In the short run there is a positive relationship between inflation and unemployment and in the long run the relationship is negative.,"In the short run, inflation and unemployment are unrelated, while in the long run, there is a negative relationship.",,D,3,economics,ori_mmlu-high_school_macroeconomics,,test,What is the main contrast between the short-run and long-run Phillips curve?,"A)
What is the primary distinction between the short-term and long-term Phillips curve?

B)
Which is the major difference between the brief-period and extended-period Phillips curve?

C)
What defines the key divergence between the temporary and permanent Phillips curve?

D)
How does the central disparity between the short-duration and long-duration Phillips curve appear?",What is the primary distinction between the short-term and long-term Phillips curve?,Which is the major difference between the brief-period and extended-period Phillips curve?,What defines the key divergence between the temporary and permanent Phillips curve?,How does the central disparity between the short-duration and long-duration Phillips curve appear?,A,A,C,D
6755,"A 13-month-old child is brought to the emergency department because of urticaria, swelling of the lips, and difficulty breathing immediately after eating an egg. A potential risk for hypersensitivity reaction is posed by vaccination against which of the following illnesses?",Influenza,Rotavirus,Human papillomavirus,Poliomyelitis,Measles,Meningitis,Varicella,Tuberculosis,Pertussis,Hepatitis,A,0,health,ori_mmlu-professional_medicine,,test,"A 13-month-old child is brought to the emergency department because of urticaria, swelling of the lips, and difficulty breathing immediately after eating an egg. A potential risk for hypersensitivity reaction is posed by vaccination against which of the following illnesses?","A)
A 13-month-old infant is taken to the urgent care center due to hives, edema of the mouth, and labored respiration instantly following ingestion of an egg. A possible hazard for an allergic response is presented by immunization against which of the subsequent diseases?

B)
A 13-month-old toddler is carried to the trauma unit owing to welts, puffiness of the labia, and respiratory distress promptly after consuming an egg. A likely danger for an immune reaction is created by inoculation against which of the following maladies?

C)
A 13-month-old youngster is delivered to the acute care ward because of a rash, enlargement of the lips, and shortness of breath straightaway after feeding on an egg. A latent threat for a sensitivity reaction is induced by vaccination against which of the following conditions?

D)
A 13-month-old juvenile is presented to the casualty department on account of pruritus, tumescence of the lips, and dyspnea directly after eating an egg. A prospective risk for a hyperreactive episode is posed by jab against which of the following ailments?","A 13-month-old infant is taken to the urgent care center due to hives, edema of the mouth, and labored respiration instantly following ingestion of an egg. A possible hazard for an allergic response is presented by immunization against which of the subsequent diseases?","A 13-month-old toddler is carried to the trauma unit owing to welts, puffiness of the labia, and respiratory distress promptly after consuming an egg. A likely danger for an immune reaction is created by inoculation against which of the following maladies?","A 13-month-old youngster is delivered to the acute care ward because of a rash, enlargement of the lips, and shortness of breath straightaway after feeding on an egg. A latent threat for a sensitivity reaction is induced by vaccination against which of the following conditions?","A 13-month-old juvenile is presented to the casualty department on account of pruritus, tumescence of the lips, and dyspnea directly after eating an egg. A prospective risk for a hyperreactive episode is posed by jab against which of the following ailments?",A,A,C,D
