id,domain,subject,question,choice_A,choice_B,choice_C,choice_D,answer,instruction,split,instance,generated_options,option_a,option_b,option_c,option_d
9020,moral_scenarios,Философия,"В каком из этих двух сценариев главный герой (использующий ""я/мне/мой"") совершает поступок, явно противоречащий моральным нормам, принятым в США по состоянию на 2020 год? Сценарий 1 | Я решил подать омлет из мозгов и бекона. Сценарий 2 | Я бросил раскаленный уголь своему другу.","Неправильно, Неправильно","Неправильно, Правильно","Правильно, Неправильно","Правильно, Правильно",A,"Задание содержит вопрос по теме {subject} и 4 варианта ответа A, B, C, D, из которых только один правильный.
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Запишите букву правильного ответа
Ответ:",test,"question: В каком из этих двух сценариев главный герой (использующий ""я/мне/мой"") совершает поступок, явно противоречащий моральным нормам, принятым в США по состоянию на 2020 год? Сценарий 1 | Я решил подать омлет из мозгов и бекона. Сценарий 2 | Я бросил раскаленный уголь своему другу.","A)
question: В каком из этих двух сценариев главный персонаж (использующий ""я/мне/мой"") совершает деяние, явно нарушающее нравственные нормы, принятые в США по состоянию на 2020 год? Сценарий 1 | Я решил подать омлет из мозгов и бекона. Сценарий 2 | Я бросил раскаленный уголь своему другу.

B)
question: В каком из этих двух сценариев главный герой (использующий ""я/мне/мой"") совершает действие, явно противоречащее моральным нормам, принятым в США по состоянию на 2020 год? Сценарий 1 | Я решил подать омлет из мозгов и бекона. Сценарий 2 | Я кинул раскалённый уголь своему другу.

C)
question: В каком из этих двух сценариев протагонист (употребляющий ""я/мне/мой"") совершает поступок, очевидно противоречащий моральным нормам, принятым в США по состоянию на 2020 год? Сценарий 1 | Я решил подать яичницу из мозгов и бекона. Сценарий 2 | Я швырнул раскаленный уголь своему другу.

D)
question: В каком из этих двух сценариев главный герой (использующий ""я/мне/мой"") совершает поступок, явно противоречащий нравственным установкам, утверждённым в США по состоянию на 2020 год? Сценарий 1 | Я решил подать омлет из головного мозга и бекона. Сценарий 2 | Я метнул раскалённый уголь своему другу.","question: В каком из этих двух сценариев главный персонаж (использующий ""я/мне/мой"") совершает деяние, явно нарушающее нравственные нормы, принятые в США по состоянию на 2020 год? Сценарий 1 | Я решил подать омлет из мозгов и бекона. Сценарий 2 | Я бросил раскаленный уголь своему другу.","question: В каком из этих двух сценариев главный герой (использующий ""я/мне/мой"") совершает действие, явно противоречащее моральным нормам, принятым в США по состоянию на 2020 год? Сценарий 1 | Я решил подать омлет из мозгов и бекона. Сценарий 2 | Я кинул раскалённый уголь своему другу.","question: В каком из этих двух сценариев протагонист (употребляющий ""я/мне/мой"") совершает поступок, очевидно противоречащий моральным нормам, принятым в США по состоянию на 2020 год? Сценарий 1 | Я решил подать яичницу из мозгов и бекона. Сценарий 2 | Я швырнул раскаленный уголь своему другу.","question: В каком из этих двух сценариев главный герой (использующий ""я/мне/мой"") совершает поступок, явно противоречащий нравственным установкам, утверждённым в США по состоянию на 2020 год? Сценарий 1 | Я решил подать омлет из головного мозга и бекона. Сценарий 2 | Я метнул раскалённый уголь своему другу."
9058,moral_scenarios,Философия,"Для какого из этих двух сценариев главный герой (использующий ""я/мне/мой"") совершает что-то явно морально неправильное, согласно обычным моральным стандартам в США по состоянию на 2020 год?  Сценарий 1 | Я вызвал полицию на группу за хорошую музыку Сценарий 2 | Я толкнул старушку в инвалидном кресле через оживленное шоссе.","Неправильно, Неправильно","Неправильно, Правильно","Правильно, Неправильно","Правильно, Правильно",B,"В вопросе ""{text}"" по теме ""{subject}"" есть только один правильный ответ. Варианты ответа:
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Все варианты индексируются одной буквой. Найди правильный ответ и выведи только его букву. Ответ:",test,"question: Для какого из этих двух сценариев главный герой (использующий ""я/мне/мой"") совершает что-то явно морально неправильное, согласно обычным моральным стандартам в США по состоянию на 2020 год?  Сценарий 1 | Я вызвал полицию на группу за хорошую музыку Сценарий 2 | Я толкнул старушку в инвалидном кресле через оживленное шоссе.","A)
question: Для какого из этих двух сценариев главный герой (использующий ""я/мне/мой"") совершает что-то явно морально неправильное, согласно обычным моральным стандартам в США по состоянию на 2020 год?  Сценарий 1 | Я позвал полицию на коллектив за хорошую музыку Сценарий 2 | Я толкнул старушку в кресле-коляске через оживлённое шоссе.

B)
question: Для какого из этих двух случаев протагонист (использующий ""я/мне/мой"") совершает нечто очевидно аморальное, в соответствии с общепринятыми моральными нормами в США на 2020 год?  Сценарий 1 | Я вызвал полицию на ансамбль за отличную музыку Сценарий 2 | Я сдвинул пожилую женщину в инвалидном кресле через оживленное шоссе.

C)
question: Для какого из этих двух сценариев главный персонаж (использующий ""я/мне/мой"") делает что-то явно морально неприемлемое, согласно типичным моральным нормам в США по состоянию на 2020 год?  Сценарий 1 | Я позвонил в полицию на группу за хорошую музыку Сценарий 2 | Я пихнул старушку в инвалидном кресле через насыщенное шоссе.

D)
question: Для какого из этих двух сценариев главный герой (использующий ""я/мне/мой"") совершает нечто явно неправомерное с моральной точки зрения, согласно привычным моральным стандартам в США по состоянию на 2020 год?  Сценарий 1 | Я вызвал полицию на оркестр из-за хорошей музыки Сценарий 2 | Я толкнул пожилую женщину в кресле-коляске через оживленное шоссе.","question: Для какого из этих двух сценариев главный герой (использующий ""я/мне/мой"") совершает что-то явно морально неправильное, согласно обычным моральным стандартам в США по состоянию на 2020 год?  Сценарий 1 | Я позвал полицию на коллектив за хорошую музыку Сценарий 2 | Я толкнул старушку в кресле-коляске через оживлённое шоссе.","question: Для какого из этих двух случаев протагонист (использующий ""я/мне/мой"") совершает нечто очевидно аморальное, в соответствии с общепринятыми моральными нормами в США на 2020 год?  Сценарий 1 | Я вызвал полицию на ансамбль за отличную музыку Сценарий 2 | Я сдвинул пожилую женщину в инвалидном кресле через оживленное шоссе.","question: Для какого из этих двух сценариев главный персонаж (использующий ""я/мне/мой"") делает что-то явно морально неприемлемое, согласно типичным моральным нормам в США по состоянию на 2020 год?  Сценарий 1 | Я позвонил в полицию на группу за хорошую музыку Сценарий 2 | Я пихнул старушку в инвалидном кресле через насыщенное шоссе.","question: Для какого из этих двух сценариев главный герой (использующий ""я/мне/мой"") совершает нечто явно неправомерное с моральной точки зрения, согласно привычным моральным стандартам в США по состоянию на 2020 год?  Сценарий 1 | Я вызвал полицию на оркестр из-за хорошей музыки Сценарий 2 | Я толкнул пожилую женщину в кресле-коляске через оживленное шоссе."
9645,nutrition,Медицина,Что из перечисленного будет увеличено при дефиците витамина К,Концентрация кальцитонина в плазме крови,Концентрация протромбина в плазме крови,Время свертывания крови,Гемолиз вследствие окислительного повреждения мембран эритроцитов,C,"Дан вопрос по теме {subject}: {text}. Варианты ответа:
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Определи, какой вариант ответа правильный. Напиши только букву этого ответа: A, B, C, D. Ответ:",test,question: Что из перечисленного будет увеличено при дефиците витамина К,"A)
question: Что из указанного будет повышено при недостатке витамина К

B)
question: Какое из нижеперечисленного будет повышено при дефиците витамина К

C)
question: Что из перечисленного будет увеличено при недостатке витамина К

D)
question: Какое из названного будет повышено при дефиците витамина К",question: Что из указанного будет повышено при недостатке витамина К,question: Какое из нижеперечисленного будет повышено при дефиците витамина К,question: Что из перечисленного будет увеличено при недостатке витамина К,question: Какое из названного будет повышено при дефиците витамина К
10781,professional_law,Право,"Как это называется, когда остаток в наследствах наследников лица, предоставляющего право, признается недействительным и становится возвратом в наследство наследодателя?",Правило в деле Шелли,Связанная доктрина слияния,Условное выжидательное право,Доктрина более достойного титула,D,"Задание содержит вопрос по теме {subject} и 4 варианта ответа A, B, C, D, из которых только один правильный. Выберите букву правильного ответа:
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответ:",test,"question: Как это называется, когда остаток в наследствах наследников лица, предоставляющего право, признается недействительным и становится возвратом в наследство наследодателя?","A)
question: Как это именуется, когда остаток в наследствах наследников лица, предоставляющего право, признается недействительным и становится возвратом в наследство наследодателя?

B)
question: Как это называется, когда оставшаяся часть в наследствах наследников лица, предоставляющего право, признается недействительной и становится возвратом в наследство наследодателя?

C)
question: Как это называется, когда остаток в наследствах преемников лица, предоставляющего право, признается недействительным и становится возвратом в наследство наследодателя?

D)
question: Как это называется, когда остаток в наследствах наследников лица, предоставляющего полномочие, признается недействительным и становится возвратом в наследство наследодателя?","question: Как это именуется, когда остаток в наследствах наследников лица, предоставляющего право, признается недействительным и становится возвратом в наследство наследодателя?","question: Как это называется, когда оставшаяся часть в наследствах наследников лица, предоставляющего право, признается недействительной и становится возвратом в наследство наследодателя?","question: Как это называется, когда остаток в наследствах преемников лица, предоставляющего право, признается недействительным и становится возвратом в наследство наследодателя?","question: Как это называется, когда остаток в наследствах наследников лица, предоставляющего полномочие, признается недействительным и становится возвратом в наследство наследодателя?"
9227,moral_scenarios,Философия,"В каком из этих двух сценариев главный герой (использующий ""я/мне/мой"") совершает поступок, явно противоречащий моральным нормам, принятым в США по состоянию на 2020 год? Сценарий 1 | Находясь в походе, я собрал для костра деревья, охраняемые государством. Сценарий 2 | Я подслушал слух о пандемии, но я потрачу время на проверку фактов, прежде чем поделиться им.","Неправильно, Неправильно","Неправильно, Правильно","Правильно, Неправильно","Правильно, Правильно",B,"Вопрос:
{text}. Варианты ответа:
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Используй знания по теме {subject} и выбери правильный ответ. Выведи только одну букву. Ответ:",test,"question: В каком из этих двух сценариев главный герой (использующий ""я/мне/мой"") совершает поступок, явно противоречащий моральным нормам, принятым в США по состоянию на 2020 год? Сценарий 1 | Находясь в походе, я собрал для костра деревья, охраняемые государством. Сценарий 2 | Я подслушал слух о пандемии, но я потрачу время на проверку фактов, прежде чем поделиться им.","A)
question: В котором из этих двух сценариев главный персонаж (использующий ""я/мне/мой"") совершает действие, явно нарушающее моральные нормы, принятые в США по состоянию на 2020 год? Сценарий 1 | Находясь в походе, я собрал для костра деревья, охраняемые государством. Сценарий 2 | Я услышал слух о пандемии, но я потрачу время на проверку фактов, прежде чем поделиться им.

B)
question: В каком из этих двух сценариев главный герой (использующий ""я/мне/мой"") совершает поступок, явно противоречащий нравственным нормам, действующим в США по состоянию на 2020 год? Сценарий 1 | Находясь в походе, я срубил для костра деревья, охраняемые государством. Сценарий 2 | Я подслушал слух о пандемии, но я потрачу время на проверку информации, прежде чем поделиться им.

C)
question: В каком из этих двух сценариев главный герой (использующий ""я/мне/мой"") делает поступок, явно противоречащий моральным установкам, принятым в США по состоянию на 2020 год? Сценарий 1 | Находясь в походе, я собрал дрова для костра из деревьев, охраняемых государством. Сценарий 2 | Я подслушал слух о пандемии, но я потрачу время на проверку данных, прежде чем поделиться им.

D)
question: В каком из этих двух сценариев главный персонаж (использующий ""я/мне/мой"") совершает поступок, явно противоречащий моральным нормам, принятым в США на 2020 год? Сценарий 1 | Находясь в походе, я собрал для костра деревья, охраняемые государством. Сценарий 2 | Я услышал слух о пандемии, но я потрачу время на проверку фактов, прежде чем поделиться им.","question: В котором из этих двух сценариев главный персонаж (использующий ""я/мне/мой"") совершает действие, явно нарушающее моральные нормы, принятые в США по состоянию на 2020 год? Сценарий 1 | Находясь в походе, я собрал для костра деревья, охраняемые государством. Сценарий 2 | Я услышал слух о пандемии, но я потрачу время на проверку фактов, прежде чем поделиться им.","question: В каком из этих двух сценариев главный герой (использующий ""я/мне/мой"") совершает поступок, явно противоречащий нравственным нормам, действующим в США по состоянию на 2020 год? Сценарий 1 | Находясь в походе, я срубил для костра деревья, охраняемые государством. Сценарий 2 | Я подслушал слух о пандемии, но я потрачу время на проверку информации, прежде чем поделиться им.","question: В каком из этих двух сценариев главный герой (использующий ""я/мне/мой"") делает поступок, явно противоречащий моральным установкам, принятым в США по состоянию на 2020 год? Сценарий 1 | Находясь в походе, я собрал дрова для костра из деревьев, охраняемых государством. Сценарий 2 | Я подслушал слух о пандемии, но я потрачу время на проверку данных, прежде чем поделиться им.","question: В каком из этих двух сценариев главный персонаж (использующий ""я/мне/мой"") совершает поступок, явно противоречащий моральным нормам, принятым в США на 2020 год? Сценарий 1 | Находясь в походе, я собрал для костра деревья, охраняемые государством. Сценарий 2 | Я услышал слух о пандемии, но я потрачу время на проверку фактов, прежде чем поделиться им."
1880,econometrics,Экономика,"Прочитайте запрос, посмотрите результаты поиска
Если МНК применяется отдельно к каждому уравнению, входящему в одновременную систему, то результирующими оценками будут",Несмещенными и согласованными,"Несмещенными, но согласованными",Предвзятыми и непоследовательными,"Невозможно применить МНК к уравнениям, которые являются частью одновременной системы",C,"Задание содержит вопрос по теме {subject} и 4 варианта ответа A, B, C, D, из которых только один правильный.
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Запишите букву правильного ответа
Ответ:",test,"question: Прочитайте запрос, посмотрите результаты поиска
Если МНК применяется отдельно к каждому уравнению, входящему в одновременную систему, то результирующими оценками будут","A)
question: Ознакомьтесь с запросом, просмотрите результаты поиска
Если МНК применяется отдельно к каждому уравнению, входящему в одновременную систему, то результирующими оценками будут

B)
question: Прочтите запрос, посмотрите поисковые результаты
Если МНК используется отдельно для каждого уравнения, входящего в одновременную систему, то результирующими оценками будут

C)
question: Ознакомьтесь с запросом, просмотрите выдачу поиска
Если МНК применяется по отдельности к каждому уравнению, входящему в одновременную систему, то получающимися оценками будут

D)
question: Прочитайте запрос, ознакомьтесь с результатами поиска
Если МНК применяется отдельно к каждому уравнению, входящему в одновременную систему, то итоговыми оценками будут","question: Ознакомьтесь с запросом, просмотрите результаты поиска
Если МНК применяется отдельно к каждому уравнению, входящему в одновременную систему, то результирующими оценками будут","question: Прочтите запрос, посмотрите поисковые результаты
Если МНК используется отдельно для каждого уравнения, входящего в одновременную систему, то результирующими оценками будут","question: Ознакомьтесь с запросом, просмотрите выдачу поиска
Если МНК применяется по отдельности к каждому уравнению, входящему в одновременную систему, то получающимися оценками будут","question: Прочитайте запрос, ознакомьтесь с результатами поиска
Если МНК применяется отдельно к каждому уравнению, входящему в одновременную систему, то итоговыми оценками будут"
5279,high_school_psychology,Общество,"Какой термин описывает явление, когда группы единомышленников занимают более экстремальные позиции, чем отдельные люди, входящие в группу?",социальная фасилитация,деиндивидуализация,групповое мышление,групповая поляризация,D,"Реши задачу. В качестве ответа выведи только одну букву в формате ""letter"", где letter - буква, которой соответствует правильный ответ. Тема вопроса:
{subject}
Вопрос:
{text}Ответы:
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответ:",test,"question: Какой термин описывает явление, когда группы единомышленников занимают более экстремальные позиции, чем отдельные люди, входящие в группу?","A)
question: Какой термин обозначает явление, когда группы единомышленников принимают более радикальные позиции, чем отдельные люди, входящие в группу?

B)
question: Какой термин описывает феномен, когда коллективы единомышленников занимают более крайние позиции, чем отдельные индивиды, входящие в группу?

C)
question: Какой термин называет явление, когда группы единомышленников переходят к более экстремальным позициям, чем отдельные люди, входящие в группу?

D)
question: Какой термин характеризует феномен, когда сообщества единомышленников занимают более радикальные позиции, чем отдельные индивиды, входящие в группу?","question: Какой термин обозначает явление, когда группы единомышленников принимают более радикальные позиции, чем отдельные люди, входящие в группу?","question: Какой термин описывает феномен, когда коллективы единомышленников занимают более крайние позиции, чем отдельные индивиды, входящие в группу?","question: Какой термин называет явление, когда группы единомышленников переходят к более экстремальным позициям, чем отдельные люди, входящие в группу?","question: Какой термин характеризует феномен, когда сообщества единомышленников занимают более радикальные позиции, чем отдельные индивиды, входящие в группу?"
5230,high_school_psychology,Общество,"Радиостанция, спонсируемая слушателями, хочет оценить, сколько денег вносит типичный сторонник во время сбора средств. В ходе выборки из 30 сторонников выяснилось, что 22 из них пожертвовали 60$, шесть - $1000$ и двое - 10000$. На основе этой выборки какой из следующих показателей центральной тенденции даст радиостанции наиболее полезную информацию?",Медиана,Мода,Гистограмма,Дисперсный анализ,B,"Задание содержит вопрос по теме {subject} и 4 варианта ответа A, B, C, D, из которых только один правильный.
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Запишите букву правильного ответа
Ответ:",test,"question: Радиостанция, спонсируемая слушателями, хочет оценить, сколько денег вносит типичный сторонник во время сбора средств. В ходе выборки из 30 сторонников выяснилось, что 22 из них пожертвовали 60$, шесть - $1000$ и двое - 10000$. На основе этой выборки какой из следующих показателей центральной тенденции даст радиостанции наиболее полезную информацию?","A)
question: Радиостанция, финансируемая слушателями, стремится оценить, сколько денег вносит типичный сторонник во время сбора средств. В ходе выборки из 30 сторонников выяснилось, что 22 из них пожертвовали 60$, шесть - $1000$ и двое - 10000$. На основе этой выборки какой из следующих показателей центральной тенденции даст радиостанции наиболее полезную информацию?

B)
question: Радиостанция, поддерживаемая слушателями, хочет определить, сколько средств перечисляет типичный сторонник в ходе сбора средств. В ходе выборки из 30 сторонников выяснилось, что 22 из них пожертвовали 60$, шесть - $1000$ и двое - 10000$. На основе этой выборки какой из следующих показателей центральной тенденции даст радиостанции наиболее полезную информацию?

C)
question: Радиостанция, спонсируемая слушателями, намерена оценить, какую сумму вносит типичный сторонник во время сбора средств. В результате выборки из 30 сторонников выяснилось, что 22 из них пожертвовали 60$, шесть - $1000$ и двое - 10000$. На основе этой выборки какой из следующих показателей центральной тенденции даст радиостанции наиболее полезную информацию?

D)
question: Радиостанция, финансируемая слушателями, хочет оценить, сколько денег перечисляет типичный сторонник при сборе средств. В ходе выборки из 30 сторонников выяснилось, что 22 из них пожертвовали 60$, шесть - $1000$ и двое - 10000$. На основе этой выборки какой из следующих показателей центральной тенденции даст радиостанции наиболее полезную информацию?","question: Радиостанция, финансируемая слушателями, стремится оценить, сколько денег вносит типичный сторонник во время сбора средств. В ходе выборки из 30 сторонников выяснилось, что 22 из них пожертвовали 60$, шесть - $1000$ и двое - 10000$. На основе этой выборки какой из следующих показателей центральной тенденции даст радиостанции наиболее полезную информацию?","question: Радиостанция, поддерживаемая слушателями, хочет определить, сколько средств перечисляет типичный сторонник в ходе сбора средств. В ходе выборки из 30 сторонников выяснилось, что 22 из них пожертвовали 60$, шесть - $1000$ и двое - 10000$. На основе этой выборки какой из следующих показателей центральной тенденции даст радиостанции наиболее полезную информацию?","question: Радиостанция, спонсируемая слушателями, намерена оценить, какую сумму вносит типичный сторонник во время сбора средств. В результате выборки из 30 сторонников выяснилось, что 22 из них пожертвовали 60$, шесть - $1000$ и двое - 10000$. На основе этой выборки какой из следующих показателей центральной тенденции даст радиостанции наиболее полезную информацию?","question: Радиостанция, финансируемая слушателями, хочет оценить, сколько денег перечисляет типичный сторонник при сборе средств. В ходе выборки из 30 сторонников выяснилось, что 22 из них пожертвовали 60$, шесть - $1000$ и двое - 10000$. На основе этой выборки какой из следующих показателей центральной тенденции даст радиостанции наиболее полезную информацию?"
11878,professional_law,Право,"Мужчина и женщина являются соседствующими землевладельцами в районе крупных поместий, расположенных в регионе ""шато"" на юго-востоке Луизианы. В 2000 году, мужчина унаследовал свое поместье от отца, чья семья непрерывно владела имением с 1812 года. Женщина приобрела свое поместье в 2008 году. У этого человека на территории была конюшня, в которой содержалось много ценных скаковых лошадей. Конюшня, построенная в 2002 году, стояла на участке земли мужчины, расположенном всего в 10 футах от границы собственности женщины. Нередко, от собственности мужчины исходила гнилостная вонь, вызванная большими скоплениями конского навоза, которые были оставлены без присмотра. Женщина часто жаловалась мужчине на шум и запахи, исходящие из конюшни. Женщина подала соответствующий иск, чтобы запретить мужчине пользоваться конюшне. Чью сторону, вероятнее всего, примет суд?","Мужчины, потому что женщина переехала в свое владение после того, как была построена конюшня.","Мужчины, потому что землевладелец имеет право на разумное использование своего имущества.","Женщины, потому что поскольку шум в сочетании с запахами существенно мешал ей пользоваться и наслаждаться своим земельным участком.","Женщины, потому что мужчина проявил небрежность, позволив оставить навоз без присмотра.",C,"В вопросе ""{text}"" по теме ""{subject}"" есть только один правильный ответ. Варианты ответа:
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Все варианты индексируются одной буквой. Найди правильный ответ и выведи только его букву. Ответ:",test,"question: Мужчина и женщина являются соседствующими землевладельцами в районе крупных поместий, расположенных в регионе ""шато"" на юго-востоке Луизианы. В 2000 году, мужчина унаследовал свое поместье от отца, чья семья непрерывно владела имением с 1812 года. Женщина приобрела свое поместье в 2008 году. У этого человека на территории была конюшня, в которой содержалось много ценных скаковых лошадей. Конюшня, построенная в 2002 году, стояла на участке земли мужчины, расположенном всего в 10 футах от границы собственности женщины. Нередко, от собственности мужчины исходила гнилостная вонь, вызванная большими скоплениями конского навоза, которые были оставлены без присмотра. Женщина часто жаловалась мужчине на шум и запахи, исходящие из конюшни. Женщина подала соответствующий иск, чтобы запретить мужчине пользоваться конюшне. Чью сторону, вероятнее всего, примет суд?","A)
question: Мужчина и женщина являются смежными собственниками земли в районе больших поместий, расположенных в регионе ""шато"" на юго-востоке Луизианы. В 2000 году, мужчина получил в наследство свое поместье от отца, чья семья непрерывно владела имением с 1812 года. Женщина приобрела свое поместье в 2008 году. На этой территории у этого человека находилась конюшня, в которой содержалось много ценных скаковых лошадей. Конюшня, построенная в 2002 году, стояла на участке земли мужчины, расположенном всего в 10 футах от границы собственности женщины. Нередко, от собственности мужчины исходила гнилостная вонь, вызванная большими скоплениями конского навоза, которые были оставлены без присмотра. Женщина часто жаловалась мужчине на шум и запахи, исходящие из конюшни. Женщина подала соответствующий иск, чтобы запретить мужчине пользоваться конюшне.

B)
question: Мужчина и женщина являются соседними владельцами земель в зоне ""шато"" на юго-востоке Луизианы. В 2000 году, мужчина унаследовал свое поместье от отца, чья семья непрерывно владела имением с 1812 года. Женщина купила свое поместье в 2008 году. На принадлежащем ему участке была конюшня, в которой содержалось много ценных скаковых лошадей. Конюшня, возведённая в 2002 году, стояла на участке мужчины, расположенном всего в 10 футах от границы собственности женщины. Нередко, от собственности мужчины исходила гнилостная вонь, вызванная большими скоплениями конского навоза, которые были оставлены без присмотра. Женщина часто жаловалась мужчине на шум и запахи, исходящие из конюшни. Женщина подала соответствующий иск, чтобы запретить мужчине пользоваться конюшне.

C)
question: Мужчина и женщина находятся рядом и являются землевладельцами в районе крупных поместий, расположенных в регионе ""шато"" на юго-востоке Луизианы. В 2000 году, мужчина унаследовал свое поместье от отца, чья семья постоянно владела поместьем с 1812 года. Женщина стала владелицей своего поместья в 2008 году. На его участке располагалась конюшня, в которой содержалось большое количество ценных скаковых лошадей. Конюшня, построенная в 2002 году, стояла на участке мужчины, расположенном всего в 10 футах от границы собственности женщины. Нередко, от собственности мужчины исходила гнилостная вонь, вызванная большими скоплениями конского навоза, которые были оставлены без присмотра. Женщина часто жаловалась мужчине на шум и запахи, исходящие из конюшни. Женщина подала соответствующий иск, чтобы запретить мужчине пользоваться конюшне.

D)
question: Мужчина и женщина являются примыкающими землевладельцами в районе обширных поместий, расположенных в регионе ""шато"" на юго-востоке Луизианы. В 2000 году, мужчина унаследовал свою усадьбу от отца, чья семья непрерывно владела имением с 1812 года. Женщина приобрела свою усадьбу в 2008 году. На его владениях имелась конюшня, в которой содержалось много ценных скаковых лошадей. Конюшня, возведённая в 2002 году, стояла на участке земли мужчины, расположенном всего в 10 футах от границы собственности женщины. Нередко, от собственности мужчины исходила гнилостная вонь, вызванная большими скоплениями конского навоза, которые были оставлены без ухода. Женщина часто жаловалась мужчине на шум и запахи, исходящие из конюшни. Женщина подала соответствующий иск, чтобы запретить мужчине пользоваться конюшне.","question: Мужчина и женщина являются смежными собственниками земли в районе больших поместий, расположенных в регионе ""шато"" на юго-востоке Луизианы. В 2000 году, мужчина получил в наследство свое поместье от отца, чья семья непрерывно владела имением с 1812 года. Женщина приобрела свое поместье в 2008 году. На этой территории у этого человека находилась конюшня, в которой содержалось много ценных скаковых лошадей. Конюшня, построенная в 2002 году, стояла на участке земли мужчины, расположенном всего в 10 футах от границы собственности женщины. Нередко, от собственности мужчины исходила гнилостная вонь, вызванная большими скоплениями конского навоза, которые были оставлены без присмотра. Женщина часто жаловалась мужчине на шум и запахи, исходящие из конюшни. Женщина подала соответствующий иск, чтобы запретить мужчине пользоваться конюшне.","question: Мужчина и женщина являются соседними владельцами земель в зоне ""шато"" на юго-востоке Луизианы. В 2000 году, мужчина унаследовал свое поместье от отца, чья семья непрерывно владела имением с 1812 года. Женщина купила свое поместье в 2008 году. На принадлежащем ему участке была конюшня, в которой содержалось много ценных скаковых лошадей. Конюшня, возведённая в 2002 году, стояла на участке мужчины, расположенном всего в 10 футах от границы собственности женщины. Нередко, от собственности мужчины исходила гнилостная вонь, вызванная большими скоплениями конского навоза, которые были оставлены без присмотра. Женщина часто жаловалась мужчине на шум и запахи, исходящие из конюшни. Женщина подала соответствующий иск, чтобы запретить мужчине пользоваться конюшне.","question: Мужчина и женщина находятся рядом и являются землевладельцами в районе крупных поместий, расположенных в регионе ""шато"" на юго-востоке Луизианы. В 2000 году, мужчина унаследовал свое поместье от отца, чья семья постоянно владела поместьем с 1812 года. Женщина стала владелицей своего поместья в 2008 году. На его участке располагалась конюшня, в которой содержалось большое количество ценных скаковых лошадей. Конюшня, построенная в 2002 году, стояла на участке мужчины, расположенном всего в 10 футах от границы собственности женщины. Нередко, от собственности мужчины исходила гнилостная вонь, вызванная большими скоплениями конского навоза, которые были оставлены без присмотра. Женщина часто жаловалась мужчине на шум и запахи, исходящие из конюшни. Женщина подала соответствующий иск, чтобы запретить мужчине пользоваться конюшне.","question: Мужчина и женщина являются примыкающими землевладельцами в районе обширных поместий, расположенных в регионе ""шато"" на юго-востоке Луизианы. В 2000 году, мужчина унаследовал свою усадьбу от отца, чья семья непрерывно владела имением с 1812 года. Женщина приобрела свою усадьбу в 2008 году. На его владениях имелась конюшня, в которой содержалось много ценных скаковых лошадей. Конюшня, возведённая в 2002 году, стояла на участке земли мужчины, расположенном всего в 10 футах от границы собственности женщины. Нередко, от собственности мужчины исходила гнилостная вонь, вызванная большими скоплениями конского навоза, которые были оставлены без ухода. Женщина часто жаловалась мужчине на шум и запахи, исходящие из конюшни. Женщина подала соответствующий иск, чтобы запретить мужчине пользоваться конюшне."
