id,source,group,subject,level,language,subset,question,choice_A,choice_B,choice_C,choice_D,choice_E,answer,split,instance,generated_options,option_a,option_b,option_c,option_d,bdq_results,bcq_results_for_position_a,bcq_results_for_position_b,bcq_results_for_position_c,bcq_results_for_position_d
20519,https://itest.kz/ru/endless,Humanities,Russian_Literature,High School,Russian,Russian Literature (High School in rus),"Тучки небесные, вечные странники! 
Степью лазурною, цепью жемчужною 
Мчитесь вы, будто как я же, изгнанники, 
С милого севера в сторону южную.  
 
Эти лермонтовские строки написаны",дактилем,анапестом,ямбом,хореем,,A,test,"Тучки небесные, вечные странники! 
Степью лазурною, цепью жемчужною 
Мчитесь вы, будто как я же, изгнанники, 
С милого севера в сторону южную.  
 
Эти лермонтовские строки написаны","A)
Облака небесные, бесконечные кочевники! 
Равниной бирюзовою, нитью драгоценною 
Несётесь вы, словно как я же, отшельники, 
С родного полночного края в область южную. 
 
Данные лермонтовские фразы созданы

B)
Тучи поднебесные, постоянные пилигримы! 
Полем лазоревым, чередой перламутровою 
Спешите вы, точно как я же, отверженные, 
С дорогого севера в местность южную. 
 
Сии лермонтовские стихи сочинены

C)
Хмари эфирные, вековые скитальцы! 
Простором голубым, связкой малахитовою 
Летите вы, будто как я же, ссыльные, 
С любимого севера в сторону южную. 
 
Указанные лермонтовские предложения начертаны

D)
Облачки высотные, бессменные путники! 
Пустошью синею, рядом сверкающим 
Мчитесь вы, как будто я же, депортированные, 
С близкого севера в край южный. 
 
Эти лермонтовские выражения зафиксированы","Облака небесные, бесконечные кочевники! 
Равниной бирюзовою, нитью драгоценною 
Несётесь вы, словно как я же, отшельники, 
С родного полночного края в область южную. 
 
Данные лермонтовские фразы созданы","Тучи поднебесные, постоянные пилигримы! 
Полем лазоревым, чередой перламутровою 
Спешите вы, точно как я же, отверженные, 
С дорогого севера в местность южную. 
 
Сии лермонтовские стихи сочинены","Хмари эфирные, вековые скитальцы! 
Простором голубым, связкой малахитовою 
Летите вы, будто как я же, ссыльные, 
С любимого севера в сторону южную. 
 
Указанные лермонтовские предложения начертаны","Облачки высотные, бессменные путники! 
Пустошью синею, рядом сверкающим 
Мчитесь вы, как будто я же, депортированные, 
С близкого севера в край южный. 
 
Эти лермонтовские выражения зафиксированы",E,A,A,E,E
3505,https://itest.kz/kz/endless,STEM,Chemistry,High School,Kazakh,Chemistry (High School in kaz),"Тізбектер айналымындағы Х заты: 
\(C_6H_{12}O_6 → X → CH_2=CH_2 \).",\(C_2H_6\),\(CO_2\),\(C_2H_6O \),\(C_2H_4O\),,C,test,"Тізбектер айналымындағы Х заты: 
\(C_6H_{12}O_6 → X → CH_2=CH_2 \).","A)
Тізбектік өзгерісіндегі Х заты: 
\(C_6H_{12}O_6 → X → CH_2=CH_2 \).

B)
Тізбекті түрленудегі Х қосылысы: 
\(C_6H_{12}O_6 → X → CH_2=CH_2 \).

C)
Қатардағы айналымдағы Х компоненті: 
\(C_6H_{12}O_6 → X → CH_2=CH_2 \).

D)
Тізбектегі реакциядағы Х реагенті: 
\(C_6H_{12}O_6 → X → CH_2=CH_2 \).","Тізбектік өзгерісіндегі Х заты: 
\(C_6H_{12}O_6 → X → CH_2=CH_2 \).","Тізбекті түрленудегі Х қосылысы: 
\(C_6H_{12}O_6 → X → CH_2=CH_2 \).","Қатардағы айналымдағы Х компоненті: 
\(C_6H_{12}O_6 → X → CH_2=CH_2 \).","Тізбектегі реакциядағы Х реагенті: 
\(C_6H_{12}O_6 → X → CH_2=CH_2 \).",E,E,E,E,E
22359,https://ymnik.kz/tests_old/worldhistory/?v=22,Humanities,World_History,High School,Russian,World History (High School in rus),Кем были раджи в Древней Индии?,Вождями племен,Крестьянами,Главами духовенства,Воинами,Рабами,A,test,Кем были раджи в Древней Индии?,"A)
Кто являлся правителями в Античной Индии?

B)
Кем считались вожди в Старинной Индии?

C)
Что представляли князья в Давней Индии?

D)
Кем выступали монархи в Прежней Индии?",Кто являлся правителями в Античной Индии?,Кем считались вожди в Старинной Индии?,Что представляли князья в Давней Индии?,Кем выступали монархи в Прежней Индии?,A,E,E,A,A
7116,https://ymnik.kz/tests_old/geography/?v=101,Social Science,Geography,High School,Russian,Geography (High School in rus),Степная зона субтропиков Южной Америки называется:,Кампос.,Гилей.,Пампа.,Тропики.,Сельва.,C,test,Степная зона субтропиков Южной Америки называется:,"A)
Равнинный пояс субтропического пояса Южной Америки именуется:

B)
Травянистая область субтропиков Южного континента обозначается как:

C)
Открытая местность субтропической части Южной Америки зовётся:

D)
Безлесный регион субтропиков Южного материка определяется как:",Равнинный пояс субтропического пояса Южной Америки именуется:,Травянистая область субтропиков Южного континента обозначается как:,Открытая местность субтропической части Южной Америки зовётся:,Безлесный регион субтропиков Южного материка определяется как:,A,E,A,A,A
14964,https://itest.kz/kz/endless,STEM,Math,High School,Kazakh,Math (High School in kaz),"Бөлшекті қысқартыңыз.
 \(\frac{ab+ac+b^2+bc}{ax+ay+bx+by}\)",\(\frac{b+c}{a+b}\),\(\frac{1}{a+b}\),\(\frac{1}{x+y}\),\(\frac{b+c}{x+y}\),,D,test,"Бөлшекті қысқартыңыз.
 \(\frac{ab+ac+b^2+bc}{ax+ay+bx+by}\)","A)
Бөлшекті ықшамдаңыз.
 \(\frac{ab+ac+b^2+bc}{ax+ay+bx+by}\)

B)
Бөлшекті жеңілдетіңіз.
 \(\frac{ab+ac+b^2+bc}{ax+ay+bx+by}\)

C)
Бөлшекті жинақтаңыз.
 \(\frac{ab+ac+b^2+bc}{ax+ay+bx+by}\)

D)
Бөлшекті түрлендіріңіз.
 \(\frac{ab+ac+b^2+bc}{ax+ay+bx+by}\)","Бөлшекті ықшамдаңыз.
 \(\frac{ab+ac+b^2+bc}{ax+ay+bx+by}\)","Бөлшекті жеңілдетіңіз.
 \(\frac{ab+ac+b^2+bc}{ax+ay+bx+by}\)","Бөлшекті жинақтаңыз.
 \(\frac{ab+ac+b^2+bc}{ax+ay+bx+by}\)","Бөлшекті түрлендіріңіз.
 \(\frac{ab+ac+b^2+bc}{ax+ay+bx+by}\)",E,E,E,E,E
15221,https://itest.kz/ru/endless,STEM,Math,High School,Russian,Math (High School in rus),"Вычислите.
\(\frac{2cos40°-cos20°}{sin20°}\)",\(-\sqrt3\),\(\sqrt3\),\(0\),\(1\),,B,test,"Вычислите.
\(\frac{2cos40°-cos20°}{sin20°}\)","A)
Найдите значение.
\(\frac{2cos40°-cos20°}{sin20°}\)

B)
Произведите расчет.
\(\frac{2cos40°-cos20°}{sin20°}\)

C)
Выполните вычисления.
\(\frac{2cos40°-cos20°}{sin20°}\)

D)
Решите выражение.
\(\frac{2cos40°-cos20°}{sin20°}\)","Найдите значение.
\(\frac{2cos40°-cos20°}{sin20°}\)","Произведите расчет.
\(\frac{2cos40°-cos20°}{sin20°}\)","Выполните вычисления.
\(\frac{2cos40°-cos20°}{sin20°}\)","Решите выражение.
\(\frac{2cos40°-cos20°}{sin20°}\)",E,E,E,E,E
13414,https://itest.kz/ru/endless,Humanities,Law,High School,Russian,Law (High School in rus),Понятие «политическая культура» впервые ввел в научный оборот,В. Парето,Т. Парсонс,Д. Истон,И. Гердер,,D,test,Понятие «политическая культура» впервые ввел в научный оборот,"A)
Термин «политическая культура» изначально представил в академический лексикон

B)
Категорию «политическая культура» в первый раз включил в исследовательский дискурс

C)
Определение «политическая культура» прежде всего внедрил в теоретический аппарат

D)
Концепт «политическая культура» вначале интегрировал в профессиональную терминологию",Термин «политическая культура» изначально представил в академический лексикон,Категорию «политическая культура» в первый раз включил в исследовательский дискурс,Определение «политическая культура» прежде всего внедрил в теоретический аппарат,Концепт «политическая культура» вначале интегрировал в профессиональную терминологию,E,E,A,E,E
2003,https://itest.kz/ru/endless,STEM,Biology,High School,Russian,Biology (High School in rus),Для поддержание устойчивости тела рыбы используют плавники,Брюшные и спинные плавники,Анальные и спинные плавники,Грудные и спинные плавники,Хвостовой и спинные плавники,,B,test,Для поддержание устойчивости тела рыбы используют плавники,"A)
Для сохранения стабильности туловища рыбы применяют плавники

B)
Для обеспечения равновесия организма рыбы задействуют плавники

C)
Для удержания баланса корпуса рыбы эксплуатируют плавники

D)
Для соблюдения устойчивости индивида рыбы пользуют плавники",Для сохранения стабильности туловища рыбы применяют плавники,Для обеспечения равновесия организма рыбы задействуют плавники,Для удержания баланса корпуса рыбы эксплуатируют плавники,Для соблюдения устойчивости индивида рыбы пользуют плавники,E,E,E,E,E
13577,https://itest.kz/ru/endless,Humanities,Law,High School,Russian,Law (High School in rus),Закон спроса гласит,"Чем ниже цена, тем меньшее количество товара будет куплено","Чем выше цена, тем меньшее количество товара будет куплено","Чем выше цена, тем больше товаров поступает на рынок","Чем больше снижается цена, тем меньше товаров поступает на рынок",,B,test,Закон спроса гласит,"A)
Принцип востребованности утверждает

B)
Правило потребления постулирует

C)
Положение покупаемости изрекает

D)
Норма надобности гласит",Принцип востребованности утверждает,Правило потребления постулирует,Положение покупаемости изрекает,Норма надобности гласит,E,E,E,A,E
3251,https://itest.kz/kz/endless,STEM,Chemistry,High School,Kazakh,Chemistry (High School in kaz),"Массасы 25 г массалық үлесі 0,3-ге тең мыс (ІІ) сульфаты ерітіндісіне массасы 40 г темір пластинкасы батырылды. Егер реакциядан кейін пластинканың массасы 42 г болса, онда түзілген темір (ІІ) сульфатының массалық үлесі қандай болады?","26 г; 30,6%","1,6 г; 1,53%","2,6 г; 3,0%","16 г; 15,3%",,D,test,"Массасы 25 г массалық үлесі 0,3-ге тең мыс (ІІ) сульфаты ерітіндісіне массасы 40 г темір пластинкасы батырылды. Егер реакциядан кейін пластинканың массасы 42 г болса, онда түзілген темір (ІІ) сульфатының массалық үлесі қандай болады?","A)
Салмағы 25 г пайыздық мөлшері 0,3-ге тең купрум (ІІ) сульфаты сұйықтығына салмағы 40 г темір тақташасы салынды. Егер химиялық әрекеттен соң тақташаның салмағы 42 г болса, онда шыққан феррум (ІІ) сульфатының пайыздық мөлшері қандай болады?

B)
Мөлшері 25 г құрамдық бөлігі 0,3-ге тең мыс (ІІ) купоросы қоспасына мөлшері 40 г болат тілімі батырылды. Егер процесс аяқталған соң тілімнің мөлшері 42 г болса, онда алынған темір (ІІ) купоросының құрамдық бөлігі қанша болады?

C)
Ауырлығы 25 г заттық үлесі 0,3-ге тең мыс (ІІ) тұзы ерітіндісіне ауырлығы 40 г темір пластинасы қойылды. Егер өзара әсерден кейін пластинаның ауырлығы 42 г болса, онда пайда болған темір (ІІ) тұзының заттық үлесі қаншалықты болады?

D)
Көлемі 25 г концентрациясы 0,3-ге тең мыс (ІІ) сульфаты құрамына көлемі 40 г темір қаңылтыры түсірілді. Егер құбылыстан кейін қаңылтырдың көлемі 42 г болса, онда түзілген темір (ІІ) сульфатының концентрациясы қандай болады?","Салмағы 25 г пайыздық мөлшері 0,3-ге тең купрум (ІІ) сульфаты сұйықтығына салмағы 40 г темір тақташасы салынды. Егер химиялық әрекеттен соң тақташаның салмағы 42 г болса, онда шыққан феррум (ІІ) сульфатының пайыздық мөлшері қандай болады?","Мөлшері 25 г құрамдық бөлігі 0,3-ге тең мыс (ІІ) купоросы қоспасына мөлшері 40 г болат тілімі батырылды. Егер процесс аяқталған соң тілімнің мөлшері 42 г болса, онда алынған темір (ІІ) купоросының құрамдық бөлігі қанша болады?","Ауырлығы 25 г заттық үлесі 0,3-ге тең мыс (ІІ) тұзы ерітіндісіне ауырлығы 40 г темір пластинасы қойылды. Егер өзара әсерден кейін пластинаның ауырлығы 42 г болса, онда пайда болған темір (ІІ) тұзының заттық үлесі қаншалықты болады?","Көлемі 25 г концентрациясы 0,3-ге тең мыс (ІІ) сульфаты құрамына көлемі 40 г темір қаңылтыры түсірілді. Егер құбылыстан кейін қаңылтырдың көлемі 42 г болса, онда түзілген темір (ІІ) сульфатының концентрациясы қандай болады?",E,E,E,E,E
